"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0.98900649879806,0.984735940977959,0.983656285617385,0.989360969533357,0.978504898656306,0.982316079354514,0.981131690559275,0.977088685689303,0.98316754608269,0.994047112612815,0.989396143455013,0.985249395787176,0.975762317451677,0.986274510254599,0.987665890579912,0.962365379977298,0.991002232347263,0.990909722525453,0.970266185507899,0.991793045919754,0.982320833834656,0.897306788052269,0.991831749021691,0.980558118874155,0.985277921483216,0.992561939077545,0.988300553734408,0.990364776973526,0.990227787563375,0.986870163946932,0.974542346845376,0.990093795590806,0.970455119749406,0.984942167695917,0.98432987807625,0.979597956829086,0.990142567171364,0.977610024478759,0.986631996167823,0.984277773934407,0.985839073255676,0.981919078000873,0.989958056262717,0.954373834660045,0.990302609292585,0.978134950817888,0.982465558588217,0.982948738871626,0.992928579123395,0.988681290785645,0.98630861370355
"Arg_1.1",0.00159660098313414,0.00157400222067861,0.0037338244511653,0,0.00458743324116423,0.010141403830115,0.00759444716236647,0.00613187466422893,0.0064273488307078,0.00366647503337502,0,0.0082468857410869,0.0121288434277055,0.00346636457895866,0.00197863411731348,0.00616962278214781,0,0,0.00402564880372447,0,0.00719767726886367,0.0327824811669068,0.00586240243039608,0.00537103719912222,0.00421767893586876,0.00230622581043195,0.000631714453217204,0.00701353731452383,0.00503663857630602,0,0.00844637211290653,0.00290026300897968,0.00653143927294818,0.00639402180170435,0.00666952433134551,0.00683023436173535,0,0.00326089450828198,0.00319178364210354,0,0.0044052732771624,0.00609921228040674,0.000197493743607219,0,0,0.00150948509857356,0,0.00343558562813095,0.00402913588939779,0.00421499370310426,0.000378634749057893
"Arg_2.2",0.0079015784620173,0.0109390346375653,0.0104738869245359,0.0088161201373733,0.0144767669375574,0.00613103640719217,0.00958322685667976,0.0142336425477703,0.00871726050293549,0.000978902878696514,0.00901416147333206,0.00496015914614634,0.00965472505494142,0.00835784675159834,0.00880567345727219,0.0278216419056201,0.00714155708520053,0.00729522184644157,0.0224652583345766,0.00698623697937204,0.00839402276149039,0.068673143086334,0.00114516228631271,0.0120460934543434,0.00844268790970133,0.00369080990944079,0.00950983880164753,0.00155657434485163,0.00337251373710301,0.00991851310552685,0.0140943380998297,0.00568585204599224,0.0201430373859394,0.00711711589591728,0.00727319105307368,0.0112397775157731,0.00793862093604358,0.0145113354655221,0.0082500217634561,0.0133753600524683,0.00799773100418216,0.0095669926649333,0.00797163043628839,0.0420649845659095,0.00780374051971565,0.0178015430260932,0.0153377434951165,0.0114252157402417,0.00140090573598021,0.00607905617468099,0.0104971277796252
"Arg_3.3",0.00149532175678859,0.00275102216379734,0.00213600300691355,0.00182291032927027,0.0024309011649723,0.00141148040817926,0.00169063542167882,0.00254579709869748,0.00168784458366627,0.00130750947511306,0.00158969507165483,0.00154355932559079,0.0024541140656756,0.00190127841484382,0.00154980184550198,0.00364335533493393,0.00185621056753603,0.00179505562810519,0.00324290735379979,0.0012207171008735,0.00208746613499044,0.00123758769449033,0.00116068626160005,0.00202475047237938,0.00206171167121379,0.00144102520258215,0.00155789301072728,0.00106511136709848,0.00136306012321584,0.00321132294754086,0.00291694294188755,0.00132008935422238,0.00287040359170601,0.00154669460646155,0.00172740653933087,0.00233203129340573,0.00191881189259224,0.00461774554743688,0.00192619842661777,0.00234686601312499,0.00175792246297914,0.00241471705378688,0.00187281955738753,0.00356118077404535,0.00189365018769991,0.00255402105744487,0.00219669791666611,0.00219045976000144,0.00164137925122642,0.00102465933656991,0.00281562376776713
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",0.99142105204671,0.99419923961002,0.992704781051817,0.992523040512372,0.991208130921773,0.995502208628624,0.991860695263694,0.995797785335187,0.992973452612391,0.9925526459724,0.996137290765101,0.995708298065113,0.989630563133207,0.996075097599039,0.994526375373352,0.992131921538182,0.995173739425176,0.994430068400241,0.99169686874345,0.992106243624934,0.99282790860621,0.996903590075857,0.993616928361221,0.995112367643409,0.994985097603911,0.99481145727764,0.994155636362186,0.995828803993878,0.995334795438922,0.993185777765677,0.996088449060852,0.991044248270845,0.994892493201044,0.989536995076784,0.995135550371311,0.991627259166192,0.994753709683742,0.994401121681087,0.991383414498664,0.995316325902901,0.992534201494903,0.988746525026605,0.993253809127781,0.993322654334986,0.990992139725056,0.994477840297345,0.99760266525817,0.990288142615554,0.999209589778992,0.9943268550355,0.995009146609869
"Ser_1.1",0.00857894795328988,0.00522667786610736,0.00715368226002822,0.00654001677194575,0.00802837476982742,0.00417770858232077,0.00799712583280294,0.00420221466481257,0.00679334450972451,0.00744735402760007,0.00380268990179553,0.00369128509306865,0.00984788716445337,0.00392490240096146,0.00547362462664756,0.00786807846181776,0.00399525813064863,0.00556993159975884,0.00814036939119698,0.00763186759833295,0.00701805424757797,0.00297364338683367,0.00638307163877865,0.00435062337694509,0.00491096867343284,0.00507254912863027,0.00573854042424541,0.00414129504379395,0.0045459347476263,0.00652927132616004,0.0039115509391485,0.00848743429742069,0.00449757380032435,0.0104630049232161,0.00458689246244538,0.00756224924069196,0.00502792125461717,0.00548022359619622,0.00820154557434704,0.00463372762860506,0.0074413576754196,0.0111960874979857,0.00550084265402956,0.00652848635543719,0.00881716834470734,0.00536571305179441,0.00214733460402034,0.00920985623080223,0.000790410221007789,0.00567314496449979,0.00453962464558857
"Ser_2.2",0,0.000574082523873151,0.000141536688154756,0.000936942715682619,0.000763494308399772,0.000320082789055074,0.000142178903502672,0,0.000233202877884023,0,6.00193331030657e-05,0.00060041684181879,0.000521549702339384,0,0,0,0.000831002444175784,0,0.000162761865352632,0.000261888776733098,0.000154037146212057,0.000122766537309601,0,0.000537008979646061,0.000103933722656424,0.000115993593729265,0.000105823213568991,2.99009623276596e-05,0.000119269813451299,0.000284950908162686,0,0.000468317431734424,0.000609932998632168,0,0.00027755716624327,0.000810491593116497,0.000218369061641121,0.000118654722716944,0.000415039926989115,4.99464684941666e-05,2.44408296771007e-05,5.73874754093301e-05,0.00124534821818992,0.00014885930957641,0.000190691930236584,0.000156446650860664,0.000250000137809885,0.00050200115364347,0,0,0.00045122874454209
