"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",3932038.43865484,3026640.06368285,3710065.62676191,3680219.78193943,2936101.15196182,3707015.96196932,3881595.68897085,3808642.2798122,3758016.91464267,4515148.10994893,3862591.0090055,3807530.25129862,3561432.4056864,3320950.93384497,2924572.34686714,2966875.01911468,3833702.37768239,3948919.38134795,2804577.27279343,3613961.29273181,3963568.14879553,315598.190812181,4485463.9581517,3672515.3228978,3830786.66605303,4546807.76595794,4032396.43994113,4383842.35211421,4081610.44595889,3320319.34300053,3382379.81374565,4271117.75540806,2811839.65030617,4053400.98102876,3867953.77562686,3043316.48691715,3639871.70212997,3533537.23246385,3507665.21427544,3617479.340409,3594697.90277718,3544859.44312125,3292621.35238537,2746897.81518483,3639688.80920805,3389693.10330263,3145096.33198547,3300963.01601279,3907058.52283472,3963849.51504065,3665798.58331715
"Arg_1.1",6416.33443935987,4890.10651690347,14235.2174857734,0,13913.9281819665,38685.059630003,30370.4445511819,24160.2520134756,24833.3356269098,16833.9392590537,0,32215.0755224319,44747.8366927138,11798.0675673898,5922.29174587483,19226.0409508354,0,0,11762.0870600527,0,29356.0308510785,11654.8681042899,26798.9009675259,20333.8880287569,16575.8086124355,10678.8084053458,2605.3554833481,31381.1492883662,20985.0120002757,0,29632.1975363935,12646.6232402066,19129.163509326,26598.3649714485,26491.5555209164,21448.9898979237,0,11913.8675023073,11470.1309480402,0,16236.8289912463,22257.1248274693,663.97286182072,0,0,5287.64662374031,0,11662.2556373652,16025.655822291,17081.6478206246,1422.48675951573
"Arg_2.2",32097.8873243922,34352.9444209403,40363.617612658,33507.3794331917,44383.7071436482,23640.1963818891,38738.1381869208,56688.6659396372,34045.1461252015,4543.06154587406,35956.5344728439,19585.5953819802,36005.1443311241,28754.3156218269,26641.5121848627,87636.696608565,28228.0355233424,29704.8020779753,66348.6228683267,26010.5618212031,34605.657019821,24678.8238755834,5291.51929393129,46097.8304826975,33539.295308068,17274.8639313243,39645.264640543,7040.01512415137,14203.4600045957,34096.5462142606,49981.6196839597,25061.366200576,59632.6399117502,29926.5640436531,29201.7975166976,35678.0364383464,29817.923164315,53591.4354052678,29968.293715984,50227.0700415122,29796.629846679,35289.2756729144,27090.4447159071,123705.410729896,29305.0949061398,63032.311316001,50167.4549973236,39202.8986747705,5632.28731231576,24902.3871648673,39863.0237855867
"Arg_3.3",6140.01220516034,8732.75044429272,8320.62698351023,7003.26017020299,7533.40444129265,5501.28355054976,6907.94593490586,10248.8694195899,6663.15051027901,6133.74688386117,6409.70899414355,6160.79111491486,9251.05751755536,6611.90097125202,4739.63022355828,11600.5014619182,7416.29463241046,7388.19011758935,9681.15176921834,4594.02589934944,8698.98107809499,449.55776868007,5421.25932198653,7832.0916031588,8278.90917740566,6817.67861268891,6564.89502013486,4869.3471126643,5802.66406819167,11158.8590458933,10455.9997748456,5881.45133174226,8589.62161024912,6573.99517671241,7010.53464254774,7482.54943535544,7285.12014672651,17238.1238470941,7072.61368480592,8908.2551903199,6620.21447491302,9003.37923473526,6433.34593013948,10586.0507735761,7188.06603203819,9141.17553623701,7262.78065918999,7597.33087231053,6670.47586855397,4242.83670138049,10808.0256936781
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",5400586.20720507,2041703.7858997,5490752.93002233,5588807.54211448,3791764.46352061,5271863.09429357,6245855.74899084,5262008.37466475,5892596.49142093,5094869.05724728,5322185.46548513,2830048.62814743,5869653.58741735,4857790.38031338,4439294.46134283,2312535.05001027,5379584.89753592,5079567.36586105,3959712.21695081,4688121.23774056,6445651.05525944,8822900.89118805,5171909.83933975,4758285.65239341,5898283.70279754,5688335.32563271,6791967.11290442,5893373.89533418,5433721.47554778,3188697.60004995,4162583.18433457,5756704.8582183,3506374.26645634,7083930.05096681,6126727.56364014,2955153.56711326,4927092.10316188,7418150.59198595,2105772.24605001,4962179.07120646,4948949.5184524,5742879.40061448,2665963.07203959,2097182.89604303,4350979.95316174,4448225.28911381,3884287.69431253,3959628.06500077,4509206.60230813,5540229.73556108,3617324.6760902
"Ser_1.1",47237.7050734087,10849.6825798919,39995.7113942809,37224.5460330719,31043.8891839492,22363.1011852508,50903.4466928778,22445.5681982208,40749.7262466163,38641.4545397238,20536.8442078057,10605.0165659104,59041.098127403,19348.5106378726,24697.0254576529,18537.8589655522,21830.6513259941,28759.0363497393,32854.9480707049,36453.8556736412,46055.5025548903,26602.2956877493,33584.0967894433,21028.1887435486,29427.1522722394,29318.5619326813,39629.1385199457,24773.506082584,25085.5354361654,21189.44346113,16522.8896656461,49834.4116166633,16022.5784130654,75713.0339200262,28545.4489031873,22780.0448851999,25173.0345296897,41324.1861467101,17609.1114364052,23351.4470463174,37505.2196793653,65732.9314801128,14924.3389445117,13932.5451274544,39130.7341722069,24260.0169054911,8451.338599261,37223.5386138648,3605.52141390813,31951.7372979555,16682.1627576905
"Ser_2.2",0,1204.58545706029,799.879929322614,5390.58102231172,2984.18870219282,1731.92148604037,914.787899987791,0,1413.99200088616,0,327.646817246139,1743.6472096994,3160.66928051145,0,0,0,4589.8251497266,0,664.020247030018,1264.44959142828,1021.79143917497,1110.15144651031,0,2623.63802236523,629.520020711325,677.67645586348,738.696638754119,180.804176712617,665.277305315547,934.753005656891,0,2779.49069190425,2196.3837829351,0,1745.99403008481,2467.88031508723,1105.12194502854,904.405199678436,900.748625808482,254.4251699574,124.516661863095,340.569559506316,3415.29856570819,321.118960231528,855.447121306341,714.993208815702,994.576098476422,2050.88595925823,0,0,1676.10475234477
