"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0.00086298,0.0010046,0.0010676,-725.67904408,0.00101129,0.00076251,0.00098178,0.0013397,0.00091716,0.00067052,-1058.9619197,0.00077238,0.00110564,0.00083959,0.00067679,0.00163874,-1476.68146726,-582.41862178,0.00132471,-612.98946276,0.00106743,0.00025691,0.00063574,0.00108559,0.00101599,0.00081766,0.00095538,0.00061244,0.00071038,-562.02662083,0.00128044,0.00080894,0.00120357,0.00089306,0.00090624,0.00094642,-260.95379432,0.00174669,0.00088857,-215.68602552,0.00086529,0.00106738,0.00080519,-259.79862573,-558.58536611,0.00128656,-910.44451379,0.00098903,0.00068392,0.00068895,0.00121427
"Arg_1.1",0.48021578,0.5646825,0.59703044,5742.7989627,0.56516895,0.42404726,0.54651191,0.74944532,0.51099318,0.3752467,8380.05168275,0.43108935,0.62002644,0.46931905,0.37655169,0.91593797,11685.45944075,4609.1871024,0.74086142,4850.96057569,0.59758807,0.14006556,0.35447108,0.60548464,0.56881382,0.45682172,0.53135333,0.34044958,0.39635881,4447.97402556,0.71823066,0.44987438,0.67226041,0.4974018,0.50587562,0.52971457,2065.4319106,0.98883384,0.49691018,1707.38371141,0.48297761,0.59881302,0.45030768,2056.82162252,4420.5775152,0.71824952,7204.91556659,0.55294216,0.38450516,0.38077245,0.68322662
"Arg_2.2",-1.54309734,-1.81155856,-1.91691787,-1.63919667,-1.81481358,-1.36274263,-1.75603037,-2.40615581,-1.64166575,-1.20468317,-1.61815319,-1.38456226,-1.9898574,-1.50697476,-1.2100182,-2.9411075,-1.62556527,-1.6531764,-2.37869991,-1.2339783,-1.91836909,-0.45159193,-1.13866667,-1.94489689,-1.82598573,-1.46696905,-1.7075649,-1.09416288,-1.27308119,-2.1198842,-2.3049312,-1.44574041,-2.15888496,-1.59808594,-1.62472105,-1.70054968,-1.61650124,-3.1686443,-1.59545927,-2.10613491,-1.55119809,-1.92165218,-1.4458161,-3.29934064,-1.59733464,-2.30676157,-1.86687152,-1.77544086,-1.23349187,-1.22491193,-2.1915024
"Arg_3.3",-113.09112328,-132.99126101,-140.60531475,-120.20663921,-133.10114465,-99.86303252,-128.70417526,-176.50055967,-120.3401304,-88.3739144,-118.60071268,-101.52368292,-146.02352441,-110.52799535,-88.67808186,-215.70980579,-119.25042084,-121.25753134,-174.47869164,-90.38591759,-140.73757881,-32.98134608,-83.47919355,-142.59403946,-133.96100908,-107.58444838,-125.13364618,-80.17559531,-93.34428774,-155.73707402,-169.15203211,-105.94531761,-158.32138865,-117.13909374,-119.13632529,-124.75254831,-118.58248741,-232.89534517,-117.02620771,-154.48146679,-113.74367424,-141.02785816,-106.05099542,-241.75234693,-117.17368165,-169.15158314,-136.86641191,-130.22196239,-90.55688916,-89.66840025,-160.91117998
"Arg_4.4",1193.11057491,1402.2644735,1482.97144319,1267.92375989,1403.87688304,1053.5901397,1357.8016712,1861.52600822,1269.49922519,932.04607595,1251.2054993,1070.89332258,1539.87789683,1165.77297123,935.56093649,2275.17113204,1257.68490652,1278.91788752,1840.22943813,953.74815802,1484.2755707,348.35837264,880.60568462,1504.17016336,1412.80373114,1134.75930198,1320.19801163,845.90060576,984.63286632,1641.70752564,1783.7523727,1117.75991425,1669.93694969,1235.75343434,1256.66509719,1315.70898818,1250.65106073,2454.68336499,1234.28214523,1629.3340225,1199.78771937,1487.16314092,1118.52226497,2550.66569758,1235.80266522,1784.22163633,1443.7764231,1373.47902483,954.82423386,946.36516959,1696.55728143
"Arg_5.5",100.70737642,125.72445608,129.0166028,109.39576471,121.64743855,88.59890421,114.8536083,162.26819622,107.97546509,81.44751843,105.90030952,92.07387281,136.19612907,101.15633499,78.89550751,197.28964218,109.93369335,111.18698434,160.15053045,78.85576679,129.97609449,25.63273286,75.25706765,128.78180249,123.74886801,98.16354211,111.07183928,70.95310687,84.49571044,150.8159811,157.99701065,93.99994823,144.2261339,104.89464923,108.13840428,115.04585294,109.22006317,229.13126305,107.37514692,141.65453141,103.19715934,131.84439261,97.33914926,213.60466393,107.83211438,153.62924229,123.37891841,119.29213346,85.71315016,76.49703732,153.00121549
"Arg_6.6",6.1115621,7.85839743,7.96135841,6.71343432,7.52051455,5.35100471,6.9942777,10.05384484,6.58374214,4.93977835,6.44573745,5.60582864,8.45524001,6.21950963,4.79271601,12.27592473,6.76886855,6.8312718,9.9607397,4.73101696,8.02375305,1.50547309,4.51513455,7.90579104,7.64051749,5.9741916,6.74715459,4.22210237,5.11881546,9.51025134,9.85039076,5.6705294,8.93441606,6.37412106,6.61404177,7.11947825,6.73009153,14.57644857,6.60826547,8.76257201,6.31730673,8.19249193,5.98909573,13.1670398,6.64085065,9.49506487,7.59024616,7.36320862,5.27879824,4.52974136,9.58220102
"Ser_0.0",-8.20873253,0.74956927,2.00011484,2.14309013,1.46264242,1.8721268,2.30033991,-25.65685679,2.15141431,-1.66519217,1.84224651,1.02046209,2.27568874,-10.80360048,-9.16895297,0.39695662,1.98190247,-2.45662105,1.4633241,1.73408763,2.34604076,3.03483426,-0.65292796,1.72224434,2.07970677,2.01192869,2.42177381,2.04446225,1.90883654,1.16479188,-3.23477935,2.18590059,1.27865068,-22.43305319,2.18034299,1.1372112,1.75562444,2.63861382,0.79359363,1.73571536,1.79341147,2.18922209,1.03193469,0.75814056,1.62533371,1.58447055,1.33463358,1.52091276,-8.89307453,-0.55870192,1.30391486
"Ser_1.1",-164.43304931,-10.2551155,-27.36426052,-29.32035484,-20.01091517,-25.61321211,-31.4717432,-395.16614342,-29.43424079,-72.47990014,-25.20440947,-13.96129365,-31.13448204,-191.07382335,-166.01080338,-17.49240527,-27.11509088,-81.76487408,-20.02024145,-23.72465057,-32.09699231,-41.52061356,-58.88923907,-23.56261845,-28.45318528,-27.52588997,-33.1331223,-27.97099274,-26.1154507,-15.93591927,-82.57797183,-29.9060594,-17.49366064,-374.5866428,-29.83002396,-15.55857848,-24.01930313,-36.09978514,-10.85742793,-23.74692013,-24.53628055,-29.95150201,-14.11825417,-10.37238232,-22.23675076,-21.67768775,-18.25958205,-20.80813169,-160.26272863,-60.68124995,-17.83930864
"Ser_2.2",1649.89581011,-102.34991819,-273.10563457,-292.62819325,-199.71647623,-255.62951144,-314.09985999,4929.77695396,-293.76481799,409.48304701,-251.54950702,-139.3389732,-310.73386648,2123.00708258,1809.13904186,-31.14481961,-270.61882763,555.9976869,-199.80955601,-236.7809554,-320.34008177,-414.39137396,218.80762429,-235.16381379,-283.97351414,-274.71875747,-330.68104962,-279.16105085,-260.64204192,-159.04648114,684.15778606,-298.47374555,-174.59332721,4365.92551216,-297.71488319,-155.28047789,-239.72169897,-360.28946306,-108.36122331,-237.00321396,-244.88132856,-298.92727986,-140.90549836,-103.52028533,-221.93115448,-216.35149487,-182.23751156,-207.6729976,1753.26542232,206.90285825,-178.04302454
