"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0.988952701673191,0.98466600993911,0.983564960375043,0.989192595023196,0.978388547338574,0.9821658255845,0.980999129985499,0.976954067103447,0.983051922316153,0.99399286524372,0.989235290567504,0.98512522304734,0.975571398071936,0.986194662728889,0.987604166252094,0.962180857669497,0.990895132599685,0.990766717436388,0.970126412965682,0.991662293531063,0.982195081970007,0.896698097621914,0.99175115018238,0.980442415687022,0.985187961990967,0.992514173637502,0.988252626748104,0.990269358788885,0.990148556539913,0.986668413115929,0.974378667372211,0.990032670244126,0.970294752604193,0.984833011309628,0.984215996778083,0.979465929721064,0.989974917741121,0.977498882020547,0.986555694138488,0.983992484958602,0.9857498446337,0.981801004665641,0.989919014838433,0.953505561139122,0.990149235185772,0.978043892399235,0.982171349859166,0.982857546012884,0.992866847979896,0.988604444700253,0.986254223753244
"Arg_1.1",0.00145302130149984,0.00136774222676816,0.00356301128207885,0,0.0043441892321205,0.0101374074220381,0.00748840946916601,0.00591226031082673,0.00632518070245678,0.00369097933786038,0,0.00824434760034528,0.0120760487637364,0.00333602106228869,0.00182098706222876,0.00566966063277625,0,0,0.00361067814499697,0,0.00711158555764404,0.0317503174480336,0.0059099464930158,0.00518737975037552,0.00409468286628966,0.00225825667128035,0.000443268003150868,0.00706643637174663,0.00502819183852903,0,0.00825755051576673,0.00281817419197816,0.00619445105898811,0.00632452154288808,0.00660016490122804,0.00668090188907515,0,0.00300164065910151,0.00306036768345848,0,0.00429365153267337,0.0059757197077516,3.57026831220228e-05,0,0,0.0011605181113814,0,0.00324152288687059,0.00404939177274165,0.0041405473419116,0.000167125722589236
"Arg_2.2",0.00804506111688447,0.0111161226677398,0.010659076265243,0.00891485540099086,0.0147488332414888,0.00623442798252404,0.00976092354733535,0.0144962163937494,0.00887424210399731,0.000961491632202752,0.00911226971681078,0.00503124107896669,0.0098100671947186,0.00849952646153989,0.00896919388330366,0.0283751546020963,0.00717420316552062,0.00737055613370704,0.0229033405921617,0.00706954217267533,0.00853066342693403,0.0702697418375069,0.0011363626031542,0.0122725298773368,0.00858135645612158,0.00373458657338143,0.00969006969375036,0.0015606889108655,0.00341104982414751,0.010001333279075,0.0143418347543218,0.00578147913994027,0.0205371161774483,0.00724003728530365,0.00739418814379481,0.011437149276723,0.00803561033310206,0.014715503089152,0.00838832889795166,0.0135748576301529,0.00813523533875624,0.00972157555815802,0.00810496216611295,0.0428040599947087,0.00788578226368161,0.0181496238118671,0.0155471283322466,0.0116315675018069,0.00138319251589038,0.00619341379635791,0.0106615863207035
"Arg_3.3",0.00154921590842501,0.0028501251663824,0.00221295207763544,0.001892549575813,0.00251843018781674,0.0014623390109375,0.00175153699799928,0.00263745619197644,0.00174865487739277,0.00135466378621683,0.00165243971568482,0.0015991882733481,0.00254248596960901,0.00196978974728198,0.00160565280237364,0.00377432709563092,0.00193066423479406,0.00186272642990465,0.00335956829715942,0.00126816429626204,0.0021626690454147,0.00128184309254586,0.00120254072144997,0.00209767468526544,0.00213599868662203,0.00149298311783612,0.00161403555499494,0.0011035159285033,0.00141220179741042,0.00333025360499584,0.00302194735770041,0.00136767642395508,0.00297368015937066,0.00160242986217999,0.00178965017689403,0.00241601911313823,0.00198947192577689,0.00478397423119971,0.00199560928010201,0.00243265741124497,0.00182126849487035,0.00250170006844983,0.00194032031233175,0.00369037886616963,0.00196498255054626,0.00264596567751691,0.00228152180858778,0.00226936359843893,0.00170056773147214,0.00106159416147756,0.00291706420346356
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",0.9913211616501,0.994136897231928,0.992621112212147,0.992444495984864,0.991112713513505,0.995452722760796,0.991767212608713,0.995748829255203,0.992893743974701,0.99246591916098,0.996092833930229,0.995663761839552,0.989514600181129,0.996029370641657,0.994462617471178,0.992040300097178,0.99512507752846,0.994365189484211,0.991601667797061,0.992016706846001,0.992745786101884,0.996868628251366,0.993542585527411,0.995060316700234,0.994927625108464,0.994752073123948,0.994088525947549,0.995780481037551,0.995281533622561,0.993109010582933,0.996042877582667,0.990944238159811,0.994838546159006,0.989415196162133,0.995081408937869,0.991537144061624,0.994694584711491,0.994336985305922,0.991286863939787,0.995262218401133,0.992447482396656,0.988616059678458,0.993186572999626,0.993246241469991,0.990888996510666,0.994414940756421,0.997577003414857,0.990179646873728,0.999200377496237,0.994260774740943,0.994955113657625
"Ser_1.1",0.00867883834990034,0.00527569215203979,0.00723406526156998,0.0065968117103499,0.00810607017729676,0.00421976255745463,0.00808730790296924,0.00425117074479673,0.00686763926597407,0.00753408083902037,0.00384575303354752,0.0037218805532734,0.00995174503806621,0.003970629358343,0.00553738252882242,0.00795969990282151,0.00402462633400958,0.00563481051578889,0.00823179199643348,0.00771532488887035,0.00709660069885278,0.00300575442469283,0.00645741447258855,0.0043902061995591,0.00496602795051441,0.00512924008750191,0.0058031938652754,0.00418892364188703,0.0045964272209798,0.00659942324245942,0.00395712241733325,0.00857657383793619,0.00453735985552559,0.0105848038378672,0.00463458950845655,0.00763355102102134,0.00508197616283789,0.00554160505627975,0.00828846198981451,0.00468667536053488,0.00752750925377574,0.011325220744675,0.00553916926066198,0.00660144326825709,0.00891588507090903,0.00542498025310635,0.00216719100109248,0.00930670011709129,0.000799622503762483,0.00573922525905682,0.00458318110164371
"Ser_2.2",0,0.000587410616032613,0.000144822526282585,0.000958692304786317,0.000781216309198605,0.000327514681749488,0.000145479488317512,0,0.000238616759325087,0,6.14130362237293e-05,0.000614357607174822,0.000533654780804741,0,0,0,0.000850296137530039,0,0.000166540206505034,0.000267968265128532,0.000157613199263503,0.000125617323941623,0,0.000549477100206694,0.00010634694102126,0.000118686788549862,0.000108280187175698,3.05953205619636e-05,0.000122039156458795,0.00029156617460764,0,0.000479188002252732,0.000624093985468512,0,0.000284001553674886,0.000829304917355015,0.000223439125670927,0.000121409637798628,0.000424674070398467,5.11062383319191e-05,2.50083495681035e-05,5.87195768665969e-05,0.00127425773971213,0.000152315261752185,0.000195118418425319,0.000160078990472235,0.000255805584050034,0.000513653009180759,0,0,0.000461705240731537
