"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0.00085959,0.0010006,0.00106337,-807.38409549,0.0010073,0.00075951,0.00097792,0.0013344,0.00091355,0.00066786,-1145.97284674,0.00076933,0.00110125,0.00083627,0.00067413,0.00163227,-1543.26932838,-654.96057821,0.00131947,-676.32054692,0.0010632,0.00025593,0.00063323,0.00108131,0.00101196,0.00081443,0.00095163,0.00061003,0.00070758,-645.4612224,0.00127535,0.00080576,0.00119882,0.00088954,0.00090267,0.00094267,-334.59482901,0.00173967,0.00088506,-340.42447705,0.00086187,0.00106315,0.00080201,-568.13596103,-630.19543429,0.00128148,-1033.34077267,0.00098512,0.00068119,0.00068627,0.00120943
"Arg_1.1",0.48023903,0.56470994,0.5970593,6403.16018069,0.5651962,0.42406754,0.54653813,0.74948144,0.51101776,0.37526497,9088.19846552,0.43111008,0.62005622,0.46934176,0.37656989,0.91598202,12238.80501963,5194.42983655,0.74089713,5363.68381546,0.59761689,0.14007208,0.35448823,0.6055138,0.56884135,0.45684394,0.53137905,0.34046597,0.39637798,5119.24726359,0.71826528,0.44989614,0.67229274,0.49742573,0.50589999,0.52974011,2653.88349668,0.98888198,0.49693424,2700.26776716,0.48300094,0.59884196,0.45032958,4506.42001071,4998.02199305,0.7182842,8195.09261761,0.55296889,0.3845239,0.38079076,0.68325988
"Arg_2.2",-1.54306929,-1.81152544,-1.9168827,-130.90295547,-1.81478019,-1.36271716,-1.75599785,-2.40611139,-1.64163544,-1.20466122,-185.09069465,-1.38453654,-1.98982017,-1.50694716,-1.20999616,-2.94105319,-248.70623123,-106.5136321,-2.37865613,-109.51422048,-1.91833359,-0.45158339,-1.13864572,-1.94486107,-1.82595221,-1.4669424,-1.70753391,-1.09414264,-1.27305782,-105.45945932,-2.30488847,-1.44571407,-2.15884508,-1.59805644,-1.62469103,-1.70051825,-55.1856874,-3.168586,-1.59543007,-56.60848874,-1.55116962,-1.92161671,-1.44578987,-94.25814866,-102.49283594,-2.30671935,-167.30664206,-1.7754083,-1.23346931,-1.22488953,-2.19146243
"Arg_3.3",-113.09098801,-132.99111214,-140.60513022,-118.22785192,-133.10095472,-99.8628533,-128.7039664,-176.50030018,-120.33994761,-88.3738303,-115.80074598,-101.52352552,-146.0232812,-110.52785611,-88.67797045,-215.7094681,-115.49482993,-119.65043597,-174.47843705,-88.72987845,-140.73737486,-32.98125134,-83.47908913,-142.59382848,-133.96083796,-107.58433994,-125.13349663,-80.17547892,-93.34417062,-154.14970742,-169.15177853,-105.94518857,-158.32114132,-117.13891826,-119.13615023,-124.75236566,-117.75055378,-232.89508841,-117.02606347,-153.62017604,-113.74352209,-141.02766697,-106.05088577,-240.28509189,-115.62681301,-169.15135329,-134.32838192,-130.22179057,-90.55680223,-89.66827011,-160.9110131
"Arg_4.4",1193.10961649,1402.2634464,1482.97009405,1267.67495152,1403.87546897,1053.58868901,1357.80004124,1861.52405309,1269.49782052,932.04549498,1250.94332902,1070.89208508,1539.8759722,1165.77196108,935.56013537,2275.16858143,1257.49068054,1278.69635896,1840.2275488,953.55580881,1484.27401639,348.35757761,880.60488885,1504.16856898,1412.8024814,1134.75856162,1320.1969618,845.89968514,984.63199302,1641.45163312,1783.75044247,1117.75898116,1669.93507112,1235.75208346,1256.66375557,1315.7076037,1250.42297815,2454.6815984,1234.28110644,1628.94555539,1199.78659161,1487.16171717,1118.52153241,2549.70303961,1235.58382605,1784.21996837,1443.40049012,1373.47777037,954.82363558,946.3641781,1696.55616686
"Arg_5.5",100.70581158,125.72272312,129.01452141,109.42445083,121.64524,88.5972197,114.85141164,162.26527027,107.97353771,81.44685443,105.95035159,92.07241042,136.19373399,101.15480072,78.89421434,197.28555227,110.0171747,111.20819988,160.14743847,78.88146863,129.97399831,25.63160377,75.25625914,128.77943339,123.74701482,98.16245398,111.07002458,70.95218732,84.49463079,150.83294344,157.99425299,93.99857196,144.22323523,104.89285703,108.13662376,115.04387941,109.21915889,229.12835217,107.37355256,141.63775525,103.19552056,131.84236109,97.3378472,213.54508149,107.85195024,153.62639251,123.40989147,119.29016277,85.71243473,76.49566861,152.99923915
"Arg_6.6",6.11063779,7.8573348,7.96016971,6.71520654,7.5192652,5.35025952,6.99315938,10.0522216,6.58274037,4.93945022,6.4492565,5.60515536,8.45408739,6.21863754,4.79196068,12.27357907,6.77518708,6.83245931,9.95893509,4.73270141,8.02266414,1.50490491,4.51480583,7.9044879,7.63947805,5.97356553,6.74605312,4.22175034,5.11828292,9.51092264,9.84890275,5.66976307,8.93279034,6.37321129,6.61313284,7.11841515,6.72946365,14.57466131,6.60735099,8.76036741,6.31640748,8.19138378,5.98827636,13.1604681,6.64193546,9.49335768,7.59201736,7.36207286,5.27842825,4.52903153,9.58094829
"Ser_0.0",-8.20873412,0.74956799,2.00011139,2.14308646,1.46263989,1.87212363,2.30033593,-25.65686515,2.15141062,-1.6651925,1.8422434,1.02046037,2.27568476,-10.80360477,-9.16895612,0.39695688,1.98189912,-2.4566224,1.46332157,1.73408464,2.34603673,3.03482916,-0.65292847,1.72224142,2.07970324,2.01192527,2.42176968,2.04445879,1.90883331,1.16478989,-3.23478138,2.1858968,1.27864851,-22.43305733,2.18033929,1.13720924,1.75562146,2.63860932,0.79359225,1.73571242,1.79340838,2.18921824,1.03193293,0.75813926,1.62533089,1.58446785,1.33463135,1.52091011,-8.8930794,-0.55870277,1.30391265
"Ser_1.1",-164.43291414,-10.25510133,-27.36422223,-29.32031394,-20.01088699,-25.61317701,-31.47169891,-395.16598771,-29.43419971,-72.47980132,-25.20437506,-13.96127457,-31.1344377,-191.07372414,-166.01070483,-17.49236277,-27.11505371,-81.76478713,-20.02021325,-23.72461726,-32.09694744,-41.52055722,-58.88915038,-23.5625861,-28.4531461,-27.52585203,-33.1330764,-27.97095445,-26.11541484,-15.93589706,-82.5779068,-29.90601717,-17.49363659,-374.58640696,-29.82998297,-15.55855664,-24.01927001,-36.09973522,-10.85741263,-23.7468875,-24.53624616,-29.95145899,-14.1182346,-10.37236787,-22.2367193,-21.6776578,-18.25955742,-20.80810217,-160.26266118,-60.68116127,-17.83928412
"Ser_2.2",1649.89498768,-102.34990186,-273.10558624,-292.62814267,-199.71643907,-255.62947356,-314.09980189,4929.77656968,-293.76476697,409.48237341,-251.54947101,-139.33895307,-310.73380371,2123.00674883,1809.13861385,-31.14514312,-270.61878746,555.99718653,-199.80951877,-236.78091238,-320.34002549,-414.39131815,218.80703905,-235.16377833,-283.9734702,-274.7187145,-330.6809957,-279.16100994,-260.64200254,-159.0464539,684.15749965,-298.47368888,-174.59330058,4365.92419533,-297.7148379,-155.28044964,-239.72166149,-360.28940522,-108.36120302,-237.003178,-244.8812846,-298.92721589,-140.90547524,-103.52026763,-221.93111172,-216.35146036,-182.23748849,-207.67295682,1753.26536361,206.90230176,-178.04299741
