"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0,0,0,-0.00018555,0,0,0,0,0,0,-0.00025092,0,0,0,0,0,-0.00034046,-0.00014027,0,-0.00015827,0,0,0,0,0,0,0,0,0,-0.00016441,0,0,0,0,0,0,-7.775e-05,0,0,-7.959e-05,0,0,0,-0.00017494,-0.00014644,0,-0.00027788,0,0,0,0
"Arg_1.1",7.044e-05,0.00011382,3.764e-05,Inf,3.674e-05,9.39e-06,1.563e-05,2.755e-05,1.791e-05,1.897e-05,Inf,1.146e-05,1.192e-05,3.54e-05,5.917e-05,4.44e-05,-Inf,Inf,6.014e-05,Inf,1.765e-05,1.062e-05,1.124e-05,2.641e-05,3.027e-05,3.742e-05,0.00024894,9.22e-06,1.62e-05,Inf,2.123e-05,3.136e-05,3.174e-05,1.619e-05,1.653e-05,2.162e-05,Inf,7.722e-05,3.87e-05,Inf,2.614e-05,2.352e-05,0.00321319,Inf,-Inf,0.00015132,Inf,4.304e-05,2.045e-05,1.944e-05,0.00093199
"Arg_2.2",-4.094e-05,-4.5e-05,-4.047e-05,-0.00334981,-3.48e-05,-4.916e-05,-3.859e-05,-3.614e-05,-4.107e-05,-0.00023411,-0.00441526,-6.043e-05,-4.716e-05,-4.469e-05,-3.867e-05,-2.853e-05,-0.00760497,-0.00307733,-3.049e-05,-0.00360774,-4.73e-05,-1.55e-05,-0.00018804,-3.591e-05,-4.645e-05,-7.277e-05,-3.665e-05,-0.00013442,-7.685e-05,-0.00265949,-3.93e-05,-4.92e-05,-3.079e-05,-4.552e-05,-4.746e-05,-4.062e-05,-0.00158534,-5.056e-05,-4.54e-05,-0.00096275,-4.438e-05,-4.647e-05,-4.552e-05,-0.00064883,-0.00300097,-3.112e-05,-0.00285234,-3.857e-05,-0.00019234,-4.187e-05,-4.694e-05
"Arg_3.3",-0.01560531,-0.01290284,-0.01431722,-0.01427189,-0.01496937,-0.0153799,-0.01578544,-0.01459093,-0.01530185,-0.01220707,-0.01525487,-0.01396188,-0.01337348,-0.01416312,-0.01585203,-0.01575455,-0.0131421,-0.01369804,-0.01526962,-0.01631828,-0.01370739,-0.06215762,-0.01304642,-0.01542541,-0.0137094,-0.01336984,-0.01614951,-0.01395033,-0.0136293,-0.01169122,-0.01370644,-0.01526196,-0.01561631,-0.01509682,-0.01439813,-0.01412579,-0.01368246,-0.0114468,-0.01401898,-0.01460025,-0.01455688,-0.01327127,-0.01396661,-0.01921229,-0.0136062,-0.01567787,-0.01562809,-0.01452233,-0.01150212,-0.0179059,-0.01261401
"Arg_4.4",-Inf,-Inf,-Inf,Inf,Inf,-Inf,Inf,-Inf,-Inf,-Inf,Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,-Inf,-Inf,-Inf,Inf,Inf,-Inf,Inf,-Inf,-Inf,-Inf,-Inf
"Arg_5.5",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,-Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Arg_6.6",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Ser_0.0",-1.34e-06,3.2e-07,3.2e-07,3.4e-07,3.4e-07,3.1e-07,3.2e-07,-4.3e-06,3.2e-07,-2.9e-07,3.1e-07,3.2e-07,3.4e-07,-1.96e-06,-1.82e-06,1.5e-07,3.2e-07,-4.3e-07,3.3e-07,3.3e-07,3.2e-07,3e-07,-1.1e-07,3.2e-07,3.1e-07,3.1e-07,3.1e-07,3.1e-07,3.1e-07,3.2e-07,-6.9e-07,3.3e-07,3.2e-07,-2.79e-06,3.1e-07,3.4e-07,3.1e-07,3.1e-07,3.3e-07,3.1e-07,3.2e-07,3.4e-07,3.4e-07,3.2e-07,3.3e-07,3.1e-07,3e-07,3.4e-07,-1.74e-06,-9e-08,3.2e-07
"Ser_1.1",-0.00307154,-0.0008359,-0.00060395,-0.00069706,-0.00056989,-0.0010122,-0.00054574,-0.0155348,-0.00063781,-0.00165508,-0.00108328,-0.00116551,-0.00046581,-0.00871385,-0.00593128,-0.00083262,-0.00110065,-0.0025087,-0.0005379,-0.00057467,-0.00061522,-0.00137837,-0.00154724,-0.00099123,-0.00085355,-0.00082882,-0.00073802,-0.00099642,-0.0009191,-0.0006642,-0.00440996,-0.00053012,-0.00096607,-0.00436554,-0.00092323,-0.00060398,-0.00084269,-0.00077117,-0.00054462,-0.00089752,-0.0005773,-0.0004021,-0.0008386,-0.00065721,-0.00050165,-0.00078893,-0.00191098,-0.0004938,-0.0392212,-0.00167578,-0.00094551
"Ser_2.2",Inf,-0.07501811,-0.30145448,-0.04792883,-0.05908862,-0.13031637,-0.30315391,Inf,-0.18342938,Inf,-0.67784953,-0.0705554,-0.08680119,Inf,Inf,-Inf,-0.05205688,Inf,-0.26567508,-0.16533367,-0.27679928,-0.32956766,Inf,-0.07913759,-0.39827606,-0.35791662,-0.39523832,-1.36320614,-0.34590573,-0.15022538,Inf,-0.09481063,-0.0701836,-Inf,-0.15054764,-0.05555319,-0.19151961,-0.35172597,-0.10621514,-0.82245038,-1.73636909,-0.77495136,-0.03642634,-0.28462658,-0.22905566,-0.26716158,-0.16177671,-0.08940353,Inf,Inf,-0.09378643
