"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",4358642.88180598,3355013.79086025,4112587.25003486,4080307.7060373,3254651.90829843,4109206.70902854,4302727.37452873,4221858.92905716,4165740.98541171,5005016.72502562,4282834.64513622,4220626.2429669,3947828.14667282,3681255.76093614,3241872.28661617,3288764.5795754,4251274.79656454,4378000.92293519,3108858.42025088,4006735.61793839,4393593.3939592,349838.8538828,4972112.00649927,4070962.94628387,4246405.85372687,5040111.28101317,4469889.17282074,4859465.0178454,4524442.62235788,3681178.65509133,3749349.34117549,4734510.42876648,3116908.72379484,4493172.5894032,4287605.3876673,3373499.51318269,4035066.93692207,3916906.51011549,3888227.50914557,4010194.95325773,3984702.76287155,3929457.10870263,3649852.57597583,3045209.05661498,4035194.12392595,3757456.08270747,3487331.13431531,3659099.26683632,4330952.77996359,4393905.2816434,4063517.47892735
"Arg_1.1",289963.67378672,223141.93289522,282663.1853499,258321.84826868,226631.87951595,309546.39519287,312888.04622169,300756.08951777,297860.55769578,343457.58315937,268494.6386031,309604.94590253,305794.30218248,251970.68255323,216943.94568062,234733.91586651,262724.03245263,278917.13349785,214785.33176824,254551.73409283,317660.23680494,35621.88800376,352368.36955642,286722.34742655,293941.79969972,338912.06554241,292958.4651043,350137.6200579,316872.46785672,233878.93864301,276158.50476799,321261.6131157,223474.14336108,321065.55542953,307606.99708446,242697.00433048,259527.41046399,267391.21436636,265038.4563307,258316.70757169,276583.02374114,279671.30310382,237590.71676109,195301.32180446,256883.30054662,249698.79870977,218194.43282096,250382.27247848,298818.64213459,304074.49055629,265275.9455077
"Arg_2.2",43610.46964685,44257.37801699,52809.40892741,44686.4511503,55741.11367952,35732.16069358,52308.62297976,71691.52809499,46534.38582713,14825.48188303,47934.26891324,31045.34655865,49518.01864698,39038.27976923,35573.45074323,104063.207831,39534.58302914,40917.34899852,79703.34726708,36187.70042347,47826.28682414,28667.95774134,16194.81898602,59458.18848461,45619.98973019,28630.74783337,51943.14911806,18210.0729936,24939.38076401,44551.45584988,63755.95514277,36843.70805961,72714.804148,42649.38705328,41478.87313129,46751.39491936,40269.76860336,66988.25295567,40727.34659207,62824.58791984,40992.12581449,47344.140621,36471.45251446,142602.86563477,39860.1521888,76777.2933306,62211.57234726,50573.00607255,14801.66071223,36335.96221713,51400.04244685
"Arg_3.3",8522.51994514,11490.75907797,11355.77073206,9562.00469968,10649.37303512,7437.5700915,9729.86836729,14310.52957353,9218.8356049,7213.23247743,9036.61416063,7970.50936209,12217.47109088,8874.99448583,6666.92483792,17282.40982811,9797.85026686,9809.88026513,14098.64448458,6508.92271866,11526.38772992,1720.61778573,6468.0240525,11096.04119798,10985.71978426,8584.3126065,9359.22536057,5940.778818,7304.36068281,14203.62653961,14210.9475802,7912.4177315,12567.46267269,8931.45567865,9376.95046498,10184.56941764,9679.75723901,21922.80173794,9452.28677605,12473.81315009,8948.93670247,11876.44913482,8579.84423982,17875.15199699,9557.32961726,13345.67533952,10647.90729626,10477.89096205,7844.38722778,6075.67517836,14084.40303178
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",5929646.70044164,2241712.07711245,6028635.13656421,6136295.28447875,4163211.24488484,5788302.53590258,6857708.93030955,5777491.80922403,6469843.87916233,5593973.74288496,5843554.5745952,3107284.33685514,6444653.42442177,5333678.91932203,4874186.00994393,2539074.8613292,5906576.90080467,5577173.89354264,4347611.42674,5147376.46005066,7077076.48202511,9687205.22859732,5678560.45191441,5224414.28440612,6476088.23412608,6245573.00431591,7457318.17847733,6470697.46237783,5966016.80988941,3501067.08908819,4570361.06225623,6320640.08204736,3849863.82266773,7777905.64913723,6726910.78292247,3244644.72380634,5409757.27389658,8144843.51079171,2312056.77529302,5448281.42200247,5433755.87262305,6305460.27114755,2927124.6997083,2302626.007972,4777208.32006921,4883979.9654994,4264798.22330998,4347519.01537719,4950944.54909805,6082961.52931297,3971683.10195124
"Ser_1.1",244412.95201941,84648.69326924,239522.90715739,239973.67822279,169167.41740529,212365.12754305,278399.83178747,212357.736162,254666.57708385,223984.45238695,212152.6754036,112465.05487711,273932.39502603,194478.12560505,185426.07735602,102744.92618331,215618.24038168,212599.84391631,177138.97324366,207040.17946328,280194.76749466,343526.12347438,221161.33552856,192603.16656576,242437.48153021,234838.79463447,285476.49217154,237153.05863261,221120.44253054,136863.20446407,166503.57392003,259800.02920047,142507.57303909,335837.95234274,249607.81890158,130289.60641712,203167.73549824,309645.520799,94352.68443876,202417.66543516,217486.55849136,276763.26299623,111361.94926331,90009.96183148,197968.51722822,185105.52395559,147657.90634493,181932.54092547,164739.66669703,232490.83740884,147184.38300456
"Ser_2.2",1145.34542278,2387.93988151,3998.42893345,9017.31337275,5516.18954653,4515.64636547,4682.82948048,0,4849.88485361,2204.03869663,2948.19143427,3285.37453371,7197.72070816,0,115.93649273,1262.09961338,7686.99199502,1808.5719191,3075.14089173,4108.20005668,4763.42674986,5332.92788084,2322.96351216,5261.59252272,3719.39013825,3686.98869796,4435.25420509,3113.06353843,3471.92258757,2790.29612054,1067.54020266,6514.32578625,4178.98304325,0,5015.67455064,4421.55563144,3757.84637266,4904.68355959,2240.61163559,2793.02947349,2983.01213292,4207.51284849,5161.44792063,1512.25861176,3589.64726647,3118.45484108,2826.01056978,4703.97119235,0,2425.30808643,3666.53554981
"Ser_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_0.0",7951757.99370636,6475077.39848813,8234331.4358203,6902571.92049587,5166972.48884719,7703435.20204827,8540173.9037733,6306693.33798387,8377861.87616786,8458944.75428573,8395260.21154095,5723775.2819547,8384943.89352126,7042464.99415005,5969867.44709541,4732452.73709763,8451130.5406794,8350555.79637094,4992595.53320197,8388981.60189132,8326672.53202977,0,7989853.67122126,6787295.18143438,8985393.29789043,9124469.17533339,8999046.91566245,8819312.18217213,7134913.33346039,4423456.92860667,6162081.39580995,8617827.31103946,4983344.78344363,8421484.39008036,7707102.86054644,5557303.22778352,7741531.85941911,10941398.2421701,6627728.77312648,6385390.55178301,7874112.48894956,7099333.04976573,6796439.51062221,3859127.12848778,7058933.05828379,5930821.19514923,5526854.77247665,6921242.39404627,6848644.45117469,8146465.45992913,5112770.29878174
"Asn_1.1",376140.63230347,281669.79005987,404457.40926915,338882.44354319,225264.44128882,348678.61397182,411090.34479022,286439.54816855,379607.84326154,344952.17277721,364116.72524773,271717.10169368,424815.43039596,319489.02742268,277269.99492482,218079.9065518,428764.01882077,405931.38390549,219528.76432901,402517.22450674,377725.20509902,0,411247.92701021,290053.82492346,414488.1577677,418368.24258605,449111.7771626,428650.84286584,353147.55649762,175726.70722589,272564.27999937,391219.56628596,231439.71024765,390567.33306485,388692.07016963,237403.97713983,409109.32306699,542948.2112902,294770.27172546,300642.57845326,374493.5578454,312804.80154759,301597.40613496,172961.51065259,326075.3162582,261748.01841457,241942.37709476,306437.33016601,356184.59271133,348302.40389736,227739.01406967
"Asn_2.2",4861.11980104,14577.17590203,6480.75951105,5153.97934649,7827.74442593,6647.47608527,11088.17311511,11716.80331613,7216.22907107,3523.88958379,8124.68338473,12677.3722494,7383.48964775,4803.43881492,4408.50467928,13992.55424226,7213.02610726,7162.14001585,7230.04384054,2353.44267494,6132.04370199,0,5295.27749295,9513.4399895,6825.78372569,6650.08916079,9447.76194238,5133.82550452,5622.14278054,6205.56309306,8944.87624106,8255.52963317,11140.07044129,7487.99401859,7216.05481467,9339.82543341,4735.26661452,11893.5687287,10310.78333032,8425.72638286,9711.90082795,11348.54257527,13314.65397342,8882.13324707,9897.69796803,9162.72197784,6896.56043913,9377.35143019,2663.11591766,9068.18772645,5246.22278154
