"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",3932038.45061943,3026640.07714138,3710065.6413411,3680945.47444312,2936101.1658539,3707015.97253794,3881595.70259853,3808642.29814244,3758016.92731781,4515148.11891169,3863649.98440592,3807530.26184218,3561432.42061697,3320950.9453015,2924572.3562676,2966875.04174869,3835179.07237099,3949501.81343965,2804577.29101528,3614574.29260007,3963568.16328044,315598.194733917,4485463.96676596,3672515.33789404,3830786.67983718,4546807.77704208,4032396.45324102,4383842.36051269,4081610.45562909,3320881.38623121,3382379.83108131,4271117.76660513,2811839.66692732,4053400.99335743,3867953.78803905,3043316.49981017,3640132.6690538,3533537.25526469,3507665.22637932,3617695.04368202,3594697.91464275,3544859.45751001,3292621.36334577,2747157.64183537,3640247.40756376,3389693.12108404,3146006.79202432,3300963.02954564,3907058.53184693,3963849.5247959,3665798.5995141
"Arg_1.1",261583.328923667,201301.800556323,254997.37957652,233038.463478491,204450.166842674,279249.381322263,282263.966524624,271319.431371219,268707.301227091,309841.494190021,242215.586686267,279302.201350867,275864.526360013,227308.921399316,195710.444552833,211759.212186054,237009.781603739,251617.974491106,193763.10609596,229637.351181692,286569.076481063,32135.3772521982,317880.132749907,258659.249061012,265172.093701028,305740.87146581,264285.003488807,315867.719014775,285858.410826959,210987.916301447,249129.347978007,289817.966218777,201601.495750649,289641.097780259,277499.802808923,218942.909239261,234126.03064908,241220.160668614,239097.680045154,233033.825929884,249512.316936628,252298.329355998,214336.402212367,176186.103706149,231740.714360342,225259.399364576,196838.539616172,225875.977783922,269571.612654867,274313.042188133,239311.924845861
"Arg_2.2",39342.0723264061,39925.6642045193,47640.6606569757,40312.7415825135,50285.42328694,32234.8569453466,47188.8893935145,64674.6826242307,41979.8086950451,13374.4301595275,43242.6774985282,28006.7671730972,44671.4169062045,35217.3879028715,32091.6808136481,93877.9674275016,35665.1152239787,36912.5422574037,71902.3408422435,32645.8104880626,43145.2642123671,25862.0665185067,14609.7426838207,53638.6874688834,41154.9095900341,25828.4985495655,46859.1864754573,16427.7526608818,22498.425945393,40190.9590170916,57515.807987799,33237.6110367999,65597.8050031778,38475.0561898208,37419.1069246351,42175.577909895,36328.3441290676,60431.7429769279,36741.1364349652,56675.5988145505,36980.0002537531,42710.3083187608,32901.7901960753,128645.536248223,35958.8191333911,69262.6759514005,56122.5824588691,45623.1468906859,13352.9404981663,32779.5610818225,46369.2366511898
"Arg_3.3",7688.37388819899,10366.0950774341,10244.3187858459,8626.11853361267,9607.0601296272,6709.61406382476,8777.55245774986,12909.8790742249,8316.53729185236,6507.23361000837,8152.15086588755,7190.39162707782,11021.6797754182,8006.34980052775,6014.39611387233,15590.8850085316,8838.88059366372,8849.73314961777,12718.7323481782,5871.85853392904,10398.2365566078,1552.21142813764,5834.96284591765,10010.0104145345,9910.48676636311,7744.11856080061,8443.18632742069,5359.32201202101,6589.44259505411,12813.4392301588,12820.0437201065,7137.98574494131,11337.4157497543,8057.28482483607,8459.17657804946,9187.74940712058,8732.34598212338,19777.0961550237,8527.13930862589,11252.9322227183,8073.05488438909,10714.0355200628,7740.08753782541,16125.612230408,8621.90102730767,12039.4604484626,9605.73785071783,9452.36195333986,7076.61376203382,5481.01532119259,12705.8847849524
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",5400596.06559997,2041703.66894873,5490752.62730939,5588807.19963422,3791764.23238032,5271862.80753784,6245855.40067692,5262016.62766981,5892596.16365469,5094872.27706904,5322185.18892989,2830048.46866684,5869653.23338662,4857801.28936158,4439304.92289617,2312535.36662428,5379584.58288476,5079571.33169332,3959711.99502674,4688120.97291412,6445650.69988541,8822900.4335664,5171912.05212891,4758285.38441026,5898283.38931131,5688335.02205345,6791966.74763307,5893373.58908797,5433721.18753589,3188697.42194302,4162587.62420937,5756704.51945072,3506374.06647624,7083950.99563178,6126727.23067755,2955153.38685408,4927091.83619332,7418150.19367561,2105772.12351644,4962178.81071336,4948949.24935968,5742879.07062322,2665962.90392609,2097182.78127355,4350979.70609204,4448225.04925641,3884287.49113672,3959627.82872348,4509214.96737252,5540231.95006825,3617324.47442614
"Ser_1.1",222606.116981537,77096.2289867939,218152.368153557,218562.920850078,154074.084852083,193417.640243931,253560.644026755,193410.908331317,231944.900551396,204000.274118596,193224.143355093,102430.779365247,249491.797666085,177126.539412485,168882.12644338,93577.8929399985,196380.506209613,193631.414923266,161334.408320293,188567.79081749,255195.433282838,312876.284978052,201429.039343848,175418.866607966,220806.900486752,213886.178118959,260005.915753475,215993.960534087,201391.794871221,124652.09495517,151647.912877149,236620.339528544,129792.865773232,305874.062271917,227337.491220592,118665.001702793,185040.851237718,282018.552847876,85934.4176982434,184357.703381491,198082.130596724,252070.091988571,101426.094240013,81979.1583359745,180305.513847183,168590.173225822,134483.679778386,165700.287785024,150041.383704356,211747.708629033,134052.404793861
"Ser_2.2",1043.15624463054,2174.88484229788,3641.68400875601,8212.77718274995,5024.02808583432,4112.75464239408,4265.0214668392,0,4417.17194669764,2007.39155548062,2685.15003758457,2992.24923121559,6555.53089442599,0,105.592491109203,1149.49347756378,7001.14877358738,1647.20882779046,2800.77290267659,3741.66121248861,4338.42774513893,4857.11725948997,2115.70574742154,4792.14653292504,3387.54141044663,3358.03086794889,4039.53517300799,2835.31204251268,3162.15322998951,2541.34234495367,972.292905397885,5933.10933830811,3806.12885079713,0,4568.16967569059,4027.05880355532,3422.56653061727,4467.08144229938,2040.70141022122,2543.83182467033,2716.86398912853,3832.1131904577,4700.93695984912,1377.33297132735,3269.37436301992,2840.22232627004,2573.87030552108,4284.27688823499,0,2208.91900835611,3339.40257574055
