"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0.927224927037461,0.923253316359087,0.92222560197365,0.928846122429072,0.917404377190324,0.920949747671412,0.91984731136284,0.916079348579435,0.921755693555551,0.931943876500164,0.92937406204118,0.923702789889471,0.914832142049343,0.924673842650719,0.92596968564331,0.902305963581343,0.931616521393968,0.92997680522722,0.909702348871995,0.930936462833139,0.920971698935057,0.841263503950466,0.929863256466419,0.919318597103486,0.923743514119557,0.930555655471796,0.926565127810688,0.928485651338942,0.928365241630924,0.926359382063791,0.91370108769256,0.928239247608395,0.909869646300379,0.923415482755562,0.922845984043746,0.918425765978211,0.928766529850604,0.916619503639436,0.925009594560834,0.923197583713928,0.924261910197553,0.920603518424665,0.928126534675808,0.895389428599843,0.929448084366122,0.91706157604795,0.922968699891363,0.921563877261907,0.930903730771185,0.926907696429783,0.924729295511568
"Arg_1.1",0.0616846925892227,0.0614055686225554,0.0633857011210866,0.0588046942508902,0.063881817207144,0.0693751117263371,0.0668899521216161,0.0652595094237946,0.065907761885148,0.0639524718993386,0.0582632703782345,0.0677584168392777,0.0708618628011588,0.0632910926060107,0.0619652779085209,0.064401633810012,0.0575728601213698,0.0592476953064599,0.0628496683991968,0.0591432810998274,0.066586973746045,0.0856605662486353,0.0658984349433809,0.0647486085411336,0.0639427413097926,0.062573328586253,0.060727478281367,0.0668999066818818,0.0650187016925159,0.0588550487163734,0.0672986972462146,0.0629859501907721,0.0652352564016276,0.06598386751543,0.0662080243530978,0.0660735776696605,0.0597363999620828,0.0625738708741384,0.0630526671746541,0.0594677722761064,0.0641541337118404,0.0655221264712555,0.0604173028987766,0.0574248715553453,0.0591693198062072,0.0609426082013076,0.0577480669967506,0.0630601251827796,0.0642286819828611,0.0641454395391914,0.0603684958850613
"Arg_2.2",0.00927736353560013,0.0121790173080233,0.0118422263108316,0.0101724771430003,0.0157120156378844,0.00800824263773446,0.0111826620700771,0.0155559741477647,0.0102966879679939,0.00276053364376783,0.0104017245357497,0.00679441191389459,0.0114748346143271,0.0098058050048411,0.0101607756536081,0.0285507979496175,0.00866353564021117,0.00869168055691023,0.0233224909019729,0.00840795426567834,0.0100252009416128,0.0689383306425511,0.00302868622037084,0.0134270488690846,0.00992396183480165,0.00528609445928218,0.0107673163115794,0.00347935244359244,0.00511728320626593,0.0112112622010499,0.0155370653038597,0.0072235083992129,0.0212264775756382,0.00876509939277992,0.00892773658741406,0.0127279359376145,0.00926904406501839,0.0156763351423695,0.00968903858379106,0.0144630145021511,0.00950822752988873,0.0110919094487521,0.00927438085024264,0.0419298301047844,0.009181204412138,0.0187386103993321,0.0164651224205646,0.0127370842281918,0.00318149882454734,0.00766518185472643,0.0116970396430255
"Arg_3.3",0.00181301683771658,0.00316209771033427,0.00254647059443177,0.0021767061770378,0.00300178996464769,0.00166689796451605,0.00208007444546643,0.00310516784900574,0.00203985659130686,0.00134311795672942,0.00196094304483624,0.00174438135735688,0.00283116053517057,0.00222925973842944,0.0019042607945608,0.00474160465902784,0.0021470828444511,0.00208381890941008,0.00412549182683546,0.00151230180135553,0.0024161263772847,0.00413759915834746,0.00120962236982978,0.00250574548629609,0.00238978273584911,0.00158492148266826,0.00194007759636535,0.00113508953558369,0.00149877347029376,0.00357430701878595,0.00346314975736558,0.00155129380162004,0.00366861972235486,0.00183555033622823,0.00201825501574246,0.00277272041451388,0.00222802612229508,0.00513029034405619,0.00224869968072113,0.00287162950781411,0.00207572856071738,0.00278244565532787,0.00218178157517315,0.00525586974002745,0.00220139141553253,0.00325720535141044,0.00281811069132166,0.00263891332712134,0.00168608842140635,0.0012816821762992,0.00320516896034539
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",0.960234794225238,0.962625150250362,0.961174224981068,0.961005508472109,0.959730788108462,0.963884404069034,0.960356963561037,0.964547066741338,0.961435196098438,0.961137081409267,0.964496930231934,0.964086509204825,0.958201135368732,0.964820441238457,0.963329646776217,0.960649336555445,0.96357103978102,0.962979302653054,0.960198529623439,0.960595800926272,0.961293554462187,0.965239456262543,0.962134428241237,0.963508930930829,0.963381747051104,0.963213733913678,0.962578657250566,0.964197969614345,0.963720474226539,0.961641247345169,0.964632015004748,0.959569425060934,0.963296707865292,0.958608754622036,0.963529006179364,0.960137030073564,0.96315875630072,0.962816460026533,0.959897331197007,0.963701957893457,0.961007997852724,0.957340967537643,0.961715877304305,0.961772533815159,0.959516445465037,0.962891086229224,0.965917485647463,0.95883764661665,0.967797139200191,0.962817237435291,0.963408205292174
"Ser_1.1",0.039579730892038,0.0363494321633668,0.0381882863097639,0.0375822896338999,0.0389975836628831,0.0353636378087067,0.0389872506734184,0.0354529332586624,0.0378440987219046,0.0384842283398385,0.0350164615655085,0.0348941488482317,0.0407286962761335,0.035179558761543,0.0366474396418304,0.0388731528462161,0.0351749406753724,0.0367084213880646,0.0391223053195227,0.0386375328400773,0.0380594196870363,0.0342291673201603,0.0374719855339574,0.0355207035677805,0.0360649571258909,0.0362176460176421,0.0368488472577405,0.0353381531049616,0.0357186887880499,0.0375923395089131,0.0351426672484122,0.0394416010743579,0.0356576446019078,0.0413912453779637,0.0357525737209721,0.0385545680354289,0.0361721928610617,0.0366037485930513,0.0391724333726886,0.0358040059576052,0.0384644299514264,0.0420202171740059,0.0365883130106328,0.0375958183220177,0.0397625632457354,0.0364941011813513,0.0334424622607279,0.0401249008381463,0.0322028607998092,0.0367988823740397,0.0357024059164728
"Ser_2.2",0.000185474882724136,0.00102541758627109,0.000637488709167588,0.00141220189399149,0.00127162822865438,0.000751958122259559,0.000655785765545007,0,0.000720705179657146,0.000378690250894802,0.000486608202557341,0.00101934194694284,0.00107016835513459,0,2.29135819523944e-05,0.000477510598338827,0.00125401954360752,0.000312275958881127,0.000679165057038718,0.000766666233651198,0.000647025850776574,0.000531376417296644,0.000393586224805238,0.00097036550139053,0.000553295823004714,0.000568620068679922,0.000572495491693259,0.000463877280692959,0.000560836985411178,0.000766413145918119,0.000225317746839486,0.000988973864708136,0.00104564753279977,0,0.000718420099663894,0.00130840189100754,0.000669050838218729,0.000579791380416068,0.000930235430303923,0.00049403614893798,0.000527572195849128,0.000638815288351251,0.00169580968506187,0.000631647862823017,0.000720991289227822,0.000614812589424139,0.000640052091809514,0.00103745254520389,0,0.000383880190669189,0.000889388791353216
