"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0.01282757,0.01446314,0.01564679,0.01345961,0.01490338,0.01133113,0.01460946,0.01966994,0.0135923,0.00963328,0.01348072,0.01131595,0.0160362,0.01229611,0.01007725,0.02427275,0.01322134,0.01346992,0.01954656,0.01040549,0.01555233,0.00417865,0.00924999,0.01608183,0.01480014,0.0119018,0.01425527,0.00901092,0.01038058,0.01660985,0.0186161,0.01200601,0.01782472,0.01322173,0.01331843,0.01383944,0.01312951,0.02454753,0.01299245,0.0172475,0.01273086,0.01545614,0.01176559,0.0280248,0.0129896,0.01906797,0.01552505,0.01452189,0.00969613,0.0104442,0.01741123
"Arg_1.1",0.31910126,0.36013721,0.38941395,0.33493772,0.37088616,0.2818604,0.36343829,0.48955405,0.33816302,0.23977679,0.33536397,0.28157958,0.39921466,0.30601155,0.25067967,0.6040533,0.32907959,0.33523603,0.48646658,0.25877227,0.38710599,0.10376556,0.2301538,0.40013872,0.36838516,0.29618833,0.35459857,0.22414049,0.2582984,0.41377314,0.46344832,0.2986488,0.44356095,0.32893477,0.33141056,0.34446084,0.32678694,0.61169045,0.32335461,0.42924585,0.31678714,0.38478981,0.29282259,0.69705378,0.32330067,0.47447715,0.3862739,0.36140742,0.24145111,0.25965196,0.43359051
"Arg_2.2",-3.90118269,-4.39895728,-4.75876084,-4.09351714,-4.53263716,-3.44606125,-4.44311023,-5.98236238,-4.13379269,-2.92986043,-4.09983586,-3.4415438,-4.87730857,-3.73968659,-3.06473627,-7.38218716,-4.0211242,-4.09669547,-5.94481831,-3.16448956,-4.73007868,-1.27064217,-2.81320328,-4.89096835,-4.50130941,-3.61975385,-4.33536147,-2.74042587,-3.15706299,-5.05206464,-5.66197672,-3.65130869,-5.42108993,-4.02108484,-4.0505651,-4.20910852,-3.99318817,-7.46657949,-3.95148142,-5.24558938,-3.87186519,-4.70090211,-3.57834978,-8.52293155,-3.95063188,-5.79918326,-4.72162246,-4.41662727,-2.94909041,-3.17617629,-5.29566301
"Arg_3.3",-60.52716707,-68.32295706,-73.87036269,-63.53496656,-70.35480491,-53.46280059,-68.93737677,-92.86699707,-64.14413328,-45.48565967,-63.6123943,-53.41288641,-75.73329279,-58.04884413,-47.54881522,-114.58518141,-62.42619213,-63.5930013,-92.28073341,-49.08129822,-73.43403229,-19.67591173,-43.65731357,-75.90126372,-69.88274563,-56.1850841,-67.25966437,-42.51442459,-48.99646777,-78.50472537,-87.91905769,-56.64722612,-84.13986912,-62.39337261,-62.86541495,-65.34388824,-61.99103383,-116.06155145,-61.33919965,-81.42610415,-60.09139686,-72.99735581,-55.54745401,-132.21387545,-61.32955534,-90.00366809,-73.27088699,-68.55727141,-45.80707192,-49.24527977,-82.25960438
"Arg_4.4",973.67984448,1098.07457125,1187.80084786,1021.73503299,1131.34793845,860.08126097,1108.94191998,1493.22110139,1031.75328634,731.31354455,1023.26756013,858.99737658,1217.43979875,933.43170662,764.91291417,1842.59696421,1003.69793241,1022.54716207,1483.84246085,789.77708991,1180.66095303,317.05164549,702.15780668,1220.7540638,1123.55925609,903.49177266,1082.03643214,683.96389554,787.9892388,1261.18626616,1413.30681517,911.30810624,1353.09450606,1003.61850493,1011.00802461,1050.61850817,996.72175583,1864.0211063,986.30207414,1309.31184646,966.40387114,1173.41346341,893.16814152,2127.15912079,986.09768491,1447.45616296,1178.48131529,1102.39865409,736.16288951,792.6564692,1321.93186115
"Arg_5.5",85.1149219,104.04747698,108.01694191,91.94146394,102.27888974,74.8403713,97.1764733,136.0805486,91.0770338,67.10730876,89.7926613,76.9812628,113.22814502,84.62016787,66.77422837,166.58960484,91.96188592,92.97995649,134.83979088,67.26584125,108.35540661,23.47871133,62.52031083,108.6467499,103.15201113,81.67622557,94.16220008,59.40727943,70.47943847,123.70652666,131.62858303,79.3186624,121.73101054,88.38768561,90.6565012,96.1827869,91.16009505,186.96971236,89.72279798,118.91975682,86.59349045,109.49315589,81.29621957,183.69783648,90.09697997,129.71979074,104.62146758,100.01255308,70.08368494,65.59802838,126.29477965
"Arg_6.6",4.20938953,5.24348385,5.41753536,4.58241779,5.1775863,3.67067722,4.84301577,6.88862219,4.52762932,3.18727638,4.46708856,3.76733139,5.6801314,4.21284725,3.31496088,8.57595174,4.5654864,4.61110133,6.90807884,3.30030627,5.40479408,1.23939203,2.95284738,5.46328327,5.14502169,3.96314565,4.68556353,2.80168142,3.40673908,6.2396063,6.67012392,3.87461684,6.21751866,4.36234673,4.4888014,4.83763719,4.53530996,9.51975099,4.46678399,6.00830133,4.29928079,5.49134697,4.04192989,9.55024544,4.48050274,6.60333633,5.30318016,5.02832949,3.37965374,3.18597196,6.36202952
"Ser_0.0",1.64966236,0.63261829,1.6974019,1.80060987,1.23150214,1.58537107,1.95202599,-17.40385173,1.82364807,1.55462959,1.56569127,0.8609815,1.921658,0.10544773,1.29260036,0.71357063,1.66725131,1.50921122,1.24140003,1.46926119,1.99066673,2.57721261,1.55986119,1.45426118,1.76622054,1.70834944,2.05650247,1.73821603,1.62082466,0.98668495,1.20509545,1.84713299,1.07867057,-1.48838822,1.8473804,0.95695201,1.48865588,2.24030349,0.67106004,1.47522226,1.52431876,1.85923083,0.86382118,0.64337108,1.37826401,1.34461314,1.13145777,1.28463547,-0.52801014,1.65580524,1.1022508
"Ser_1.1",-29.34871382,-11.25474742,-30.19803556,-32.03418167,-21.9093342,-28.20492426,-34.72798643,-166.77307583,-32.44404831,-27.65801048,-27.85480597,-15.31749786,-34.18771736,-34.12368914,-22.99631671,-12.69494933,-29.66163419,-26.84998405,-22.08542493,-26.13924344,-35.41543378,-45.85051883,-27.75108461,-25.87238226,-31.42237002,-30.39280025,-36.58670037,-30.92414903,-28.83566976,-17.55385519,-21.43953952,-32.86186241,-19.19034741,-66.10201016,-32.86626397,-17.02488427,-26.48428944,-39.85665634,-11.93865463,-26.24529539,-27.11875835,-33.07709196,-15.36801779,-11.44604755,-24.52033634,-23.92166254,-20.1294708,-22.85461538,-35.04363208,-29.45800017,-19.60985708
"Ser_2.2",-217.24792834,-83.31099536,-223.534861,-237.12656191,-162.17942279,-208.78125705,-257.06690771,2609.04109301,-240.16051689,-204.73283822,-206.18957713,-113.38468523,-253.067675,7.57704435,-170.2255913,-93.9717992,-219.56425817,-198.75158572,-163.48289885,-193.49047185,-262.15559792,-339.39920806,-205.42180071,-191.51508583,-232.5977497,-224.97656734,-270.82566241,-228.90976936,-213.45022325,-129.93886883,-158.70186251,-243.25330146,-142.05267206,257.6305867,-243.28588311,-126.02326836,-196.04460522,-295.03085125,-88.37348039,-194.27549999,-200.7411332,-244.84649474,-113.75864878,-84.72705597,-181.50683895,-177.07527699,-149.00434334,-169.17667581,99.11188365,-218.05689851,-145.15800768
