"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-08,0,0,1e-08,0,0,1e-08,0,0,0,0,0,0,0,0,0,0,1e-08,0,0,0,0,1e-08,0,0,0,0,0,1e-08,0,1e-08,0,0,0,0,0
"Arg_1.1",1.1e-06,1.61e-06,1.38e-06,1.3e-06,1.64e-06,9.1e-07,1.16e-06,1.63e-06,1.14e-06,7e-07,1.25e-06,9.1e-07,1.31e-06,1.21e-06,1.16e-06,2.57e-06,1.25e-06,1.2e-06,2.26e-06,1.02e-06,1.22e-06,2.91e-06,6.5e-07,1.4e-06,1.25e-06,8.7e-07,1.21e-06,6.4e-07,8.2e-07,1.77e-06,1.68e-06,9.3e-07,1.98e-06,1.02e-06,1.08e-06,1.42e-06,1.26e-06,2.29e-06,1.22e-06,1.66e-06,1.15e-06,1.38e-06,1.23e-06,3.57e-06,1.26e-06,1.9e-06,1.77e-06,1.44e-06,8.1e-07,8.5e-07,1.63e-06
"Arg_2.2",-8.946e-05,-9.939e-05,-9.011e-05,-9.161e-05,-8.132e-05,-9.644e-05,-8.494e-05,-8.345e-05,-8.883e-05,-0.00019762,-8.553e-05,-0.00011086,-9.85e-05,-9.58e-05,-8.615e-05,-7.094e-05,-0.00010171,-0.00010012,-7.459e-05,-8.745e-05,-9.89e-05,-4.432e-05,-0.00017371,-8.226e-05,-9.867e-05,-0.00012643,-8.346e-05,-0.00015049,-0.00012659,-0.0001134,-8.881e-05,-9.91e-05,-7.455e-05,-9.428e-05,-9.765e-05,-9.003e-05,-9.916e-05,-0.00011146,-9.702e-05,-8.35e-05,-9.445e-05,-9.929e-05,-9.811e-05,-5.977e-05,-9.911e-05,-7.553e-05,-7.59e-05,-8.733e-05,-0.00019924,-8.741e-05,-0.00010303
"Arg_3.3",-0.00710203,-0.0059459,-0.00650509,-0.00664452,-0.00660647,-0.00718821,-0.00708513,-0.00648942,-0.00695794,-0.00630586,-0.00703941,-0.00670131,-0.00619877,-0.00654072,-0.00713205,-0.00663016,-0.00637142,-0.00648255,-0.00654536,-0.00754062,-0.00637095,-0.01143538,-0.00674971,-0.00684039,-0.00636124,-0.00654509,-0.00718646,-0.00715637,-0.00670784,-0.00552709,-0.00618671,-0.00715928,-0.00669506,-0.0069858,-0.00670425,-0.00641597,-0.00640419,-0.0052941,-0.00648935,-0.00652776,-0.00671492,-0.0061464,-0.00647418,-0.00739652,-0.00641702,-0.00674403,-0.00688125,-0.00654304,-0.00583947,-0.00810532,-0.00584048
"Arg_4.4",Inf,Inf,-Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Arg_5.5",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Arg_6.6",Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,-Inf,Inf
"Ser_0.0",2.8e-07,2.8e-07,2.8e-07,2.9e-07,3e-07,2.7e-07,2.8e-07,-3.01e-06,2.8e-07,2.8e-07,2.7e-07,2.8e-07,3e-07,2e-08,2.7e-07,2.8e-07,2.8e-07,2.7e-07,2.9e-07,2.9e-07,2.8e-07,2.7e-07,2.7e-07,2.8e-07,2.7e-07,2.7e-07,2.8e-07,2.7e-07,2.7e-07,2.8e-07,2.6e-07,2.9e-07,2.8e-07,-1.9e-07,2.7e-07,2.9e-07,2.8e-07,2.8e-07,2.9e-07,2.7e-07,2.8e-07,2.9e-07,3e-07,2.8e-07,2.9e-07,2.8e-07,2.7e-07,3e-07,-1.1e-07,2.7e-07,2.8e-07
"Ser_1.1",-0.00012008,-0.00013296,-0.00012608,-0.00013349,-0.00012951,-0.00013281,-0.00012474,-0.00078534,-0.0001274,-0.00012348,-0.0001313,-0.0001362,-0.0001248,-0.00017546,-0.00012402,-0.00012356,-0.00013757,-0.00012629,-0.00012468,-0.00012625,-0.0001264,-0.00013347,-0.00012548,-0.00013433,-0.00012961,-0.00012942,-0.00012816,-0.0001304,-0.00013041,-0.00012826,-0.00012876,-0.00012649,-0.00013466,-0.00019683,-0.00013167,-0.00013067,-0.00013036,-0.00012872,-0.00012653,-0.00012966,-0.00012469,-0.00011951,-0.000138,-0.00012716,-0.00012386,-0.00012923,-0.00013633,-0.00012562,-0.00021272,-0.00012671,-0.00013323
"Ser_2.2",-0.18967896,-0.03488823,-0.05590567,-0.02629681,-0.02940063,-0.04623508,-0.05489564,Inf,-0.04951881,-0.09288986,-0.06993765,-0.03451195,-0.03515942,Inf,-1.46826583,-0.07445672,-0.02856309,-0.10989421,-0.05316273,-0.0470986,-0.05503509,-0.06364219,-0.08843092,-0.03639869,-0.06253653,-0.06101906,-0.06106204,-0.07353199,-0.06147897,-0.04656813,-0.14866125,-0.03734129,-0.03399216,Inf,-0.04850512,-0.02850202,-0.0521694,-0.06015288,-0.03944168,-0.06955727,-0.06729478,-0.05819269,-0.02204007,-0.05602683,-0.05056398,-0.05678302,-0.05272604,-0.03596465,Inf,-0.08990895,-0.03958996
"Ser_3.3",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,-Inf
"Asn_0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
