"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",4355718.39661703,3352764.33569591,4109737.44280446,4077702.94395892,3252368.37370538,4106083.61586416,4299572.21625383,4218828.28872354,4162737.03132924,5001548.9617235,4280127.45951758,4217502.07963438,3944744.35508759,3678714.57646977,3239684.55633083,3286404.12971691,4248625.042089,4375187.74285418,3106696.98907723,4004168.07383738,4390389.57255274,349481.96006186,4968554.37573587,4068072.81606166,4243441.38794112,5036690.83917397,4466935.28653861,4855930.12606583,4521244.42740518,3678820.77253209,3746566.3517269,4731269.11298968,3114658.81538193,4489933.84531245,4284502.46872317,3371052.78785612,4032449.54669053,3914212.40099955,3885554.49870539,4007592.09074559,3981913.1681737,3926636.96434484,3647456.382099,3043250.84739307,4032603.40020827,3754941.69248122,3485133.48664152,3656575.30215671,4327935.91197466,4390837.52325288,4060843.15377152
"Arg_1.1",292005.31602263,224496.3249344,284444.2469804,260022.2409375,227786.92534913,311946.27265518,314984.12584473,302335.51126711,299922.51605544,346626.55190024,270231.34905094,312101.21907551,307876.44226108,253721.96666376,218411.44524661,234986.78671223,264574.09398923,280902.54859487,215332.80668481,256386.5270253,319896.54275121,35397.23636364,355599.17302626,288408.6548513,295983.38018557,341753.83250346,294860.57912006,353304.60424949,319566.54321248,235336.62309368,277651.36922591,323757.29060272,224251.51940848,323441.09645112,309870.61641722,244197.62537237,261330.14412015,268731.94621327,266887.44941155,259647.8203125,278543.06987711,281533.82939937,239249.03632239,194369.62349362,258667.64683485,250658.41139224,219132.21476066,251882.62907385,301537.3937267,306406.35395105,266910.98176084
"Arg_2.2",44232.43941162,44800.70950769,53530.55537388,45298.1285108,56543.62609395,36227.7135196,53069.8716754,72704.70255635,47194.19415545,14903.48009728,48628.13444471,31429.26036143,50145.69422243,39556.51736792,36089.60779594,105641.77373826,40034.36452097,41444.83439572,80885.74514413,36721.21455056,48440.98050725,29196.83581136,16323.66093951,60322.36269305,46206.60302251,28946.65779141,52708.43677798,18396.13434175,25219.91475953,45016.88111972,64611.08390837,37347.14839669,73802.64765377,43239.19944216,42031.14532057,47385.75036277,40788.12858492,67670.57312464,41262.03029392,63714.51530119,41547.74838582,47938.22132193,36946.69853558,144945.61710684,40373.98052943,77923.56103121,63145.50675793,51275.88684108,14859.66085953,36885.88212812,52008.20827386
"Arg_3.3",8783.40402502,11842.49979337,11703.38112311,9854.70681106,10975.35912267,7665.24399001,10027.71036045,14748.58651387,9501.03429038,7434.03975524,9313.23430656,8214.49652036,12591.45878797,9146.6668113,6871.00681277,17811.43558354,10097.77164821,10110.17032614,14530.2135941,6708.16918448,11879.22150912,1773.28772573,6666.02062817,11435.70147352,11322.0029776,8847.0890733,9645.72139689,6122.63631524,7527.95696401,14638.40886972,14645.95550173,8154.62711799,12952.16210916,9204.85811487,9663.98920717,10496.32799288,9976.06370816,22593.87068519,9741.6304846,12855.64661867,9222.87307638,12239.99738403,8842.48154591,18422.32155172,9849.88848015,13754.19675098,10973.84844802,10798.62843878,8084.51313331,6261.66111597,14515.53685431
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",5927177.99959878,2240857.28344702,6026216.12121506,6133872.22796503,4161503.0459077,5786157.89433198,6854897.28858079,5775346.78160152,6467271.98432426,5591711.49854251,5841411.9190778,3106148.66140498,6441887.16491233,5331714.49382781,4872313.03108814,2538037.16256206,5904399.72308186,5575026.60489589,4345822.45793556,5145285.56426284,7074246.7178559,9683735.81186615,5676326.7360378,5222469.33471261,6473639.75016111,6243201.27145828,7454435.03007002,6468302.29455827,5963783.62430199,3499684.91716909,4568679.31689163,6318016.50398109,3848424.77861265,7774513.34661787,6724390.00356744,3243329.1183057,5407705.4579576,8141716.27867754,2311103.94648264,5446237.08408815,5431559.34305156,6302665.11192019,2926000.35815562,2301716.9707325,4775209.0043254,4882110.53090477,4263307.01764166,4345681.79288725,4949280.51207478,6080613.38446537,3970196.76510614
"Ser_1.1",246858.39771089,85455.0020845,241860.73820577,242213.64675491,170763.61539324,214418.08320671,281116.39311168,214502.76414071,257139.99961785,226201.94581768,214235.47069796,113534.02391998,276552.51165149,196442.55138201,187296.70223331,103756.99921668,217639.34103705,214710.41123018,178865.50423316,209047.66215145,282927.81480935,346887.26017772,223347.88583893,194441.28462368,244810.44681432,237135.66669144,288269.58695761,239485.01865773,223283.13403074,138188.72207159,168163.64389764,262291.34006886,143861.76681491,339230.25534568,252026.75975245,131515.4364307,205143.25193845,312673.16797532,95260.01975806,204405.29354175,219622.5208354,279472.99266874,112381.49251966,90888.29409682,199894.94859336,186911.6412887,149091.73255666,183674.25374765,166403.70396428,234789.73868158,148596.27433004
"Ser_2.2",1168.60519311,2436.42636308,4079.61780611,9200.40601163,5628.19380481,4607.33634411,4777.91519835,0,4948.36202818,2248.79386001,3008.0557017,3352.0831112,7343.86885713,0,118.29396695,1287.72730105,7843.07324384,1845.29728533,3137.58208873,4191.6171176,4860.14895408,5441.21446775,2370.1332799,5368.42786861,3794.91344458,3761.85398016,4525.31327246,3176.2758506,3542.42089522,2846.9530526,1089.21874477,6646.59797439,4263.83607199,0,5117.51783552,4511.33363922,3834.14975726,5004.27440652,2286.10693722,2849.74313873,3043.58350149,4292.94767462,5266.24839367,1542.96530443,3662.53542657,3181.775638,2883.39285455,4799.48435623,0,2474.55607866,3740.98389924
