"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",3929400.20093414,3024610.78856716,3707494.76047046,3678595.65480324,2934041.13339272,3704198.55373575,3878749.35707514,3805908.28330229,3755306.98679814,4512019.76474014,3861207.76598287,3804711.87761512,3558650.4567315,3318658.48058189,2922598.75121786,2964745.62214354,3832788.66398814,3946963.97481717,2802627.41103804,3612258.04820873,3960677.91755472,315276.232080683,4482254.54095749,3669908.08066532,3828112.36267673,4543722.11272075,4029731.68010978,4380653.44809822,4078725.28566505,3318754.28264957,3379869.22816745,4268193.69628999,2809809.96946647,4050479.24302324,3865154.56889485,3041109.2489931,3637771.4572478,3531106.83347486,3505253.83822143,3615346.93768734,3592181.35297183,3542315.33624295,3290459.69818661,2745391.09335601,3637910.25227274,3387424.82810442,3144024.24025567,3298686.09921724,3904336.94137609,3961082.0248479,3663386.02531903
"Arg_1.1",260952.847556981,200622.90664999,254195.838732553,232370.920930527,203563.577594246,278773.240305827,281488.041704209,270184.507793802,268028.115642442,309765.544645822,241494.370700231,278911.709393153,275136.204361139,226740.631268283,195185.106053759,209997.790334985,236438.720214762,251030.772111572,192433.856486651,229121.836594618,285878.061713412,31633.0187085481,317783.998093099,257738.663010137,264507.875887366,305411.00062842,263504.475883299,315733.438656821,285583.155029872,210310.424369056,248125.330094952,289328.249399286,200404.134266128,289045.680008547,276918.313781807,218229.128755431,233539.738897577,240154.41756015,238506.06848461,232036.316993829,248922.205395952,251594.921168124,213806.783225661,173699.942932914,231160.377255551,224002.861002178,195829.227399512,225096.892762959,269471.263775878,273822.448379269,238527.098353657
"Arg_2.2",39157.6979570644,39660.771020091,47389.0508117362,40101.1216618593,50056.4350833073,32071.3458842807,46981.220871566,64363.3681666641,41779.6536806127,13193.6194322826,43049.0795020734,27823.4142321236,44392.5312356474,35018.2395529258,31949.0848856753,93521.603662777,35441.2638024963,36689.9119455261,71605.8083053378,32508.228058741,42883.3975398751,25847.1134129422,14450.8644136625,53401.641189394,40905.3678441733,25625.6380552407,46661.2530214411,16285.5651127075,22326.4603488532,39852.1414894425,57198.3219107254,33062.3491701673,65335.3471727986,38278.4113692037,37208.9560319387,41949.2328448598,36108.5493047128,59906.7991330358,36528.0807668976,56404.6156809822,36781.018721311,42438.3193894096,32707.842502281,128316.158239713,35741.9160219434,68983.4724737657,55900.8888920385,45393.0580386701,13154.8275297932,32654.0034975635,46041.3610003365
"Arg_3.3",7702.72325322284,10385.4380687526,10263.4360962467,8642.21651321254,9624.98749754019,6722.13790408466,8793.93428219829,12933.9695599733,8332.05868131643,6519.38026816884,8167.3649819028,7203.81223278079,11042.2476436034,8021.2913963868,6025.62102335439,15619.9758831317,8855.37546250178,8866.24864840199,12742.4645168038,5882.81839440141,10417.6416669248,1555.10831116573,5845.85565605372,10028.6908590427,9928.98144730615,7758.57270531131,8458.94396822587,5369.32753885455,6601.74221643056,12837.3478061336,12843.9659256806,7151.30896224031,11358.5712297359,8072.32303581352,8474.96416798309,9204.89476220201,8748.64206195975,19813.9961012128,8543.05272127819,11273.9306836816,8088.12149647111,10734.0288800093,7754.53207274269,16155.7004767817,8637.9910136868,12061.9262009793,9623.66269126674,9470.00116826742,7089.82156867031,5491.24719122477,12729.5935541861
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",5398347.6253922,2040925.1410634,5488549.43959227,5586600.33131039,3790208.4410927,5269909.51362112,6243294.61720611,5260062.98214522,5890253.73655147,5092811.87304963,5320233.70386817,2829014.11962755,5867133.78307569,4856012.13241325,4437599.05360065,2311590.2526635,5377601.65573279,5077615.62687595,3958082.64029874,4686216.62951295,6443073.41088138,8819740.56261711,5169877.63122926,4756513.96560688,5896053.36220583,5686174.89822371,6789340.83740069,5891192.12119347,5431687.24961235,3187438.56916386,4161055.92630927,5754315.02036278,3505063.41576555,7080861.35866606,6124431.35846884,2953955.1613527,4925223.08588707,7415301.97719574,2104904.30730672,4960316.87123289,4946948.69695562,5740333.29906404,2664938.8775595,2096354.84949496,4349158.77184665,4446522.40799856,3882929.33273839,3957954.52556529,4507699.39785297,5538093.30969623,3615970.75044842
"Ser_1.1",222697.145869885,77091.0985447252,218188.632008739,218506.99965341,154050.136106914,193431.925329714,253602.14189078,193508.318122045,231972.436566424,204062.443048051,193267.186010024,102421.88769172,249484.950072727,177215.747674935,168965.047999093,93601.7887333114,196337.902730442,193695.64176427,161359.053030689,188587.133934258,255236.27079131,312935.689028798,201487.724029768,175410.354788417,220849.638052541,213926.026604062,260055.217289933,216045.435878319,201429.309801176,124663.508643491,151704.636675733,236619.589859493,129781.304450499,306028.113115564,227359.654766283,118643.370460705,185064.867652036,282070.299183211,85936.4506629986,184399.136892055,198126.978917174,252119.58917409,101382.160237614,81992.6074058432,180330.24170271,168617.674872857,134499.387588384,165697.146455951,150116.950764716,211809.706166692,134052.422307927
"Ser_2.2",1044.21208903185,2177.07903179287,3645.35966200235,8221.06151674532,5029.09626368875,4116.9047828308,4269.32623601344,0,4421.62971822883,2009.41921891836,2687.86083333848,2995.26797312893,6562.1449280671,0,105.702072074479,1150.65414997364,7008.21110899263,1648.87315627209,2803.59968165337,3745.43711819597,4342.80655457273,4862.02009005169,2117.84256828587,4796.98131802704,3390.96088141971,3361.42045783798,4043.61272191798,2838.17465543664,3165.345101183,2543.9068831446,973.275993975384,5939.09559594037,3809.968668865,0,4572.77960186429,4031.12116179527,3426.02065376289,4471.59045923305,2042.76047611231,2546.39997634969,2719.60684837945,3835.9814639275,4705.67841811495,1378.7231422057,3272.67394623996,2843.08901361684,2576.4678215543,4288.59944782298,0,2211.14999963961,3342.77190918851
"Ser_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_0.0",7230592.96965865,5888063.48406646,7487401.8636547,6276446.62637222,4698543.07957503,7004935.7909376,7765579.10576941,5734833.31917487,7618205.97064589,7692288.59962284,7634176.40253097,5204663.6069639,7624233.35886519,6403891.42522039,5428492.20640105,4303308.760982,7684409.84045533,7593122.57580708,4539957.65937503,7628111.08183177,7571654.05908021,0,7264927.64318029,6172023.63073347,8170582.30883295,8297069.82476861,8182685.6567399,8019361.03032621,6487686.35367589,4022590.74101485,5603400.99522728,7836406.01825138,4531432.78159396,7657790.52146919,7007904.77051999,5053531.97276607,7039038.43672343,9948862.36441654,6026816.09036341,5806296.66584175,7159971.17062544,6455688.71714461,6180236.890459,3509221.82378912,6418813.07251665,5393113.26493897,5025789.8078512,6293730.48478108,6227227.3221136,7407982.75465243,4649210.08628806
