"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0.01282633,0.01446174,0.01564527,0.0134583,0.01490195,0.01133001,0.01460805,0.01966805,0.01359097,0.00963232,0.01347941,0.01131483,0.01603464,0.01229492,0.01007627,0.02427044,0.01322005,0.01346861,0.01954469,0.01040448,0.01555082,0.00417826,0.00924907,0.01608028,0.0147987,0.01190063,0.01425389,0.00901001,0.01037955,0.01660824,0.01861431,0.01200483,0.01782301,0.01322044,0.01331713,0.0138381,0.01312823,0.02454517,0.01299119,0.01724584,0.01272963,0.01545464,0.01176444,0.02802215,0.01298834,0.01906614,0.01552356,0.01452048,0.00969517,0.01044318,0.01740955
"Arg_1.1",0.31911633,0.36015494,0.3894328,0.33495383,0.37090431,0.28187343,0.36345553,0.48957802,0.33817905,0.23978757,0.33538,0.28159265,0.39923396,0.30602621,0.25069156,0.60408352,0.32909543,0.33525208,0.48649081,0.25878435,0.38712456,0.10377064,0.23016398,0.40015805,0.36840288,0.29620203,0.35461545,0.22415033,0.25831022,0.41379373,0.46347112,0.29866264,0.44358287,0.3289502,0.33142623,0.34447756,0.32680266,0.61172138,0.32337011,0.42926689,0.31680221,0.3848085,0.29283664,0.69708882,0.32331622,0.47450053,0.38629284,0.36142496,0.24146226,0.25966379,0.4336119
"Arg_2.2",-3.90114507,-4.39892107,-4.75871906,-4.09348037,-4.53259961,-3.44602501,-4.44306826,-5.98231281,-4.13375334,-2.92982563,-4.09979835,-3.44150777,-4.87726498,-3.73965214,-3.06470729,-7.38213324,-4.02108775,-4.09665765,-5.94477358,-3.1644579,-4.73003521,-1.27063272,-2.81316846,-4.89092541,-4.50126853,-3.61971538,-4.33532121,-2.74039144,-3.1570282,-5.05202462,-5.66193045,-3.65127075,-5.42104752,-4.02104485,-4.05052579,-4.20907198,-3.99315201,-7.4665248,-3.95144511,-5.24554624,-3.87182858,-4.70086101,-3.57831706,-8.52287279,-3.95059609,-5.79913734,-4.72158424,-4.41658913,-2.94905809,-3.17614167,-5.29561969
"Arg_3.3",-60.52678743,-68.3226437,-73.86997516,-63.53461797,-70.35447564,-53.46241116,-68.93696007,-92.86656253,-64.14374052,-45.4852587,-63.61203176,-53.41250153,-75.73288283,-58.04851036,-47.54852719,-114.58477463,-62.42584446,-63.59263452,-92.28038254,-49.08096906,-73.43361264,-19.67583632,-43.65690269,-75.9008644,-69.88235509,-56.18466927,-67.25927014,-42.51401466,-48.99608339,-78.50439533,-87.91865934,-56.64682178,-84.13951983,-62.39295989,-62.8650174,-65.34355313,-61.99068899,-116.06114535,-61.33884876,-81.42572903,-60.09103408,-72.99697714,-55.54713928,-132.2134644,-61.32921405,-90.00328425,-73.27055906,-68.55692291,-45.80671811,-49.24489779,-82.25923254
"Arg_4.4",973.6746985,1098.07039999,1187.79564584,1021.73034087,1131.34355123,860.07594652,1108.93628313,1493.21531149,1031.74796944,731.30802979,1023.26267036,858.99212578,1217.43428554,933.42720257,764.90901703,1842.59166255,1003.69324798,1022.54221082,1483.83785953,789.77261385,1180.65529202,317.05065781,702.1521438,1220.7487034,1123.55399404,903.48610632,1082.0311074,683.9582419,787.98397579,1261.1818992,1413.30151866,911.30259226,1353.08989313,1003.61289654,1011.00263357,1050.6140161,996.7171102,1864.01581454,986.2973403,1309.306853,966.39896317,1173.40838314,893.16389739,2127.1538359,986.09308685,1447.45108277,1178.47695954,1102.39398507,736.15804674,792.65124301,1321.92691602
"Arg_5.5",85.10864447,104.04228069,108.01051725,91.9356919,102.27340764,74.83394857,97.16957186,136.07331773,91.0705353,67.10074562,89.78665459,76.97492542,113.22136047,84.61464813,66.76946035,166.58275745,91.95614092,92.97389631,134.83390664,67.26040226,108.34846854,23.4774195,62.51358173,108.64011765,103.14555294,81.66940749,94.15566751,59.40056061,70.47312294,123.70106075,131.62195888,79.31199649,121.72516583,88.38087017,90.64993571,96.17722839,91.15439372,186.96296178,89.716996,118.91351438,86.58749331,109.48688739,81.29101636,183.69083672,90.09133736,129.71337553,104.61599465,100.00676891,70.07789086,65.59172625,126.28861674
"Arg_6.6",4.20854116,5.24256844,5.41648781,4.58153243,5.17650526,3.66997413,4.8420072,6.88722027,4.52672159,3.18690843,4.46616189,3.76669232,5.67911978,4.21206415,3.31427407,8.57398109,4.56467807,4.61027106,6.90655349,3.29961308,5.4038224,1.23890647,2.95247196,5.46213554,5.14409493,3.9625334,4.68456758,2.80128411,3.40620924,6.23863495,6.66884915,3.8738873,6.21613288,4.36150608,4.48797071,4.83670725,4.53449222,9.51827898,4.46596337,6.00707403,4.29846562,5.49037595,4.04119284,9.54765382,4.47969377,6.60187182,5.30199677,5.02733363,3.37927381,3.18528508,6.36095242
"Ser_0.0",1.64965761,0.63261651,1.69739706,1.80060481,1.23149865,1.58536662,1.95202041,-17.40383452,1.82364289,1.55462514,1.56568686,0.86097909,1.9216525,0.10546558,1.29259667,0.71356858,1.66724665,1.50920692,1.24139648,1.469257,1.99066106,2.57720537,1.55985674,1.4542571,1.76621554,1.7083446,2.05649664,1.73821112,1.62082008,0.98668215,1.20509203,1.84712773,1.07866754,-1.48835716,1.84737519,0.95694931,1.48865168,2.24029713,0.67105813,1.47521809,1.5243144,1.85922546,0.86381876,0.64336925,1.37826006,1.34460934,1.13145461,1.2846318,-0.52799523,1.65580053,1.1022477
"Ser_1.1",-29.34862553,-11.25471435,-30.19794574,-32.03408756,-21.90926939,-28.20484141,-34.72788286,-166.77276775,-32.44395204,-27.65792784,-27.85472397,-15.31745311,-34.18761533,-34.12344859,-22.99624812,-12.69491139,-29.66154768,-26.84990428,-22.08535906,-26.1391657,-35.41532851,-45.85038437,-27.75100202,-25.87230643,-31.42227722,-30.39271045,-36.58659201,-30.92405784,-28.83558472,-17.55380319,-21.43947615,-32.86176469,-19.19029119,-66.10159923,-32.86616724,-17.02483401,-26.48421131,-39.85653842,-11.93861913,-26.24521789,-27.11867749,-33.07699224,-15.36797297,-11.44601358,-24.52026308,-23.92159183,-20.12941205,-22.85454729,-35.04342404,-29.45791272,-19.60979951
"Ser_2.2",-217.24773618,-83.31092749,-223.53467089,-237.12636887,-162.17928743,-208.78108715,-257.06668702,2609.03770196,-240.16031436,-204.73266126,-206.18940803,-113.38459475,-253.06745722,7.57393675,-170.22544513,-93.97171796,-219.56408414,-198.75141736,-163.48275842,-193.49030733,-262.15537544,-339.39893353,-205.4216256,-191.51493124,-232.59755669,-224.9763804,-270.82543544,-228.90958054,-213.45004706,-129.93875985,-158.70173042,-243.25309466,-142.05255757,257.62522007,-243.28568371,-126.02316395,-196.04444321,-295.03060491,-88.37340531,-194.27533891,-200.74096097,-244.84627658,-113.75855857,-84.72698445,-181.50668209,-177.07512961,-149.00422488,-169.17653107,99.10925146,-218.05671421,-145.15788975
