"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",0.992195164931268,0.840789997025282,0.981412300134448,0.919123780554019,0.948089771197687,0.9762020340435,0.993725745347889,0.883012836833596,0.894675092100584,0.931304249985912,0.999959338415179,0.858970210968833,0.920722062455977,0.99727690896971,0.941947099560051,0.986901687079275,0.995409399875484,0.857325566461451,0.990978616220461,0.996677553636572
"Cit_1.0",0.00482532176075466,0.0653355275198007,0.00525297776023435,0.0287912984144356,0.0337860819007413,0.00297151933250818,0.00611817297220986,0.0571607545602744,0.0565873171640957,0.0305652186096489,0,0.0506281836037537,0.0395126055726763,0.00164304733805968,0.0239621044228347,0,0.00430023607880789,0.0576127138441254,0.000833845663803981,0
"Cit_1.1",0.00285908273366984,0.089525402013088,0.011081905447815,0.0516341125575154,0.0121367109552522,0.0204789595486223,0,0.0596972590699256,0.048258832276316,0.0360180012435793,0,0.0875539649776642,0.0351886341487759,0,0.0305207359200127,0.0130983129207249,0,0.0777396261633853,0.0073667293807116,0.00218071005484238
"Cit_2.1",0,0.00116041436666078,0,0.000335563399739946,0,0,0,0.000129149536204282,0.000364162255513179,0.00130234565354033,4.06615848210424e-05,0.000963894278013578,0.00212037011042568,0,0.00269619664428352,0,0,0.00108773231319653,0.00082080873502339,0
"Cit_2.2",0.000120430574306998,0.00318865907516824,0.00225281665750292,0.000115245074289784,0.00598743594631991,0.000242438664498251,0.000156081679900884,0,0,0,0,0,0.00238318859233151,0.00108004369223054,0.000873863452818233,0,0.000290364045707748,0.00598757741969563,0,0.00114173630858544
"Cit_3.2",0,0,0,0,0,0.000105048410870857,0,0,0.000114596203491259,0.000362799662269866,0,0.000555964246299578,7.31391198133692e-05,0,0,0,0,0.000246783798146707,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0,0.000447384845049539,0,0.00039902979354461,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,0.000928752131891823,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
