"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",0.64365643,0.08045163,0.46947423,0.06034655,0.14654126,0.49259561,-97.03411872,-1.49030874,-12.85821368,-10.39311743,-1897.03935943,-23.35805982,0.22744185,-296.67440775,0.08342275,-3.75633301,-149.21032987,0.39026287,-0.49819409,-5.23502309
"Cit_1.0",-38.06995361,-5.68753808,-23.19323721,-0.64894295,-5.80933558,-26.99959881,-7.72886583,-4.21800573,0.01298335,0.02046071,678.98070392,0.00133351,0.0137921,-32.60189931,-1.21327958,82.85820087,-29.21717257,0.01857358,-1.21453444,412.08366794
"Cit_1.1",-12.53815495,0.53723517,-9.52270569,-1.33807071,-2.86705698,-10.21097636,1746.0084199,-21.73314164,-125.51514081,-94.34730877,33854.62331236,-212.05658474,-6.16465883,5338.10813181,-1.69987543,-31.08729366,2684.21458662,-10.56717027,-9.59790582,-4.90898956
"Cit_2.1",647.9640548,-52.15468635,378.85580059,-5.94975595,71.81380509,485.8680489,126.9246772,-38.63585892,-0.35183881,-0.55320676,-6.23049383,0.00841974,-0.37414627,555.1625461,-11.16193144,373.3418635,484.37470371,-0.50239409,-11.16618676,300.04276538
"Cit_2.2",-30.46531735,-16.27524248,-33.41807544,-10.63659763,-15.58083842,-25.28670824,-9.04840872,309.31210953,2615.91740535,2108.25718905,940.96734951,4738.33076402,-39.15868354,-29.27281696,-14.8350773,547.68708013,-33.63510171,-67.21697118,105.37988182,-7.47539841
"Cit_3.2",277.77975068,1154.22686532,288.08703435,131.69538196,244.70978524,-0.5637847,90.96002834,855.9638512,-2.23550268,-3.52597954,138.15764763,-0.33518977,-2.37382271,235.91879436,246.25342873,58.33604193,309.72554379,-3.20027357,246.50193012,53.53415586
"Cit_3.3",784.01192829,23.40882674,863.30021031,261.17016192,359.76368786,737.33385224,229.63573946,1136.16516299,1216.70767833,-3.42162233,506.48428735,-2.59792411,1138.95738826,763.12687449,340.18757196,254.14739467,863.93917446,1952.38301044,702.70343836,197.39830347
"Cit_4.3",13.60525948,72.28225119,14.257893,8.10331664,11.51803961,16.29784792,4.33210722,47.62374271,65.00455077,102.21274889,6.88529327,-1.42335978,69.12466412,10.90685453,20.43160814,3.25295546,14.68890668,92.82377301,19.44368792,2.52659639
"Cit_4.4",45.40644341,102.7638667,65.16776346,12.86679595,35.75907441,40.35396427,13.62806768,54.1523049,59.14870789,88.73595905,29.03719006,109.62605501,77.30353963,53.50496619,19.76535342,13.68132002,52.72385011,146.47005048,38.7723754,13.74854033
"Cit_5.4",0.78586814,4.00874353,1.0180367,0.42260804,0.85404041,1.63062357,0.25428774,2.56594307,4.49911581,8.72915865,0.38790243,57.9988721,4.27089648,0.75014869,0.98699442,0.17511383,0.88300255,7.65232061,0.92662512,0.17597422
"Cit_5.5",1.73531665,4.65403657,2.42943702,0.61474232,1.25945813,1.70806334,0.50770622,2.66760506,2.83322458,9.37861481,1.0898181,10.04738825,3.16304652,1.92848258,0.84520652,0.56489795,1.95274266,6.06347607,1.54275224,0.5023297
"Cit_6.5",0.02989351,0.17353088,0.0379985,0.01841604,0.03099587,0.05779078,0.0094955,0.10580847,0.17326781,0.39416657,0.01495403,13.05903865,0.18406206,0.02713489,0.04922124,0.0072304,0.03280689,0.2908983,0.04565405,0.00642956
