"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",2247576.16392425,1484875.04367743,1834813.00479009,378633.78951361,593680.89689057,1574130.26364508,692636.93207966,1496495.90481244,1811242.53079346,2278669.31121254,1550734.48270785,1994728.89083856,1746819.23222753,2117087.71022137,604476.61226968,617773.22084347,2573237.62443227,1734623.2356447,1878398.00987537,524458.08759305
"Cit_1.0",10924.90899547,115510.83015622,9816.55414415,11862.59733222,21154.0724682,4789.77167054,4262.14290037,96943.30378554,114619.20674134,74762.77276209,0,117669.12526508,74940.36686259,3485.94893404,15359.53060966,0,11110.40114431,116661.66539618,1564.03054554,0
"Cit_1.1",6467.67981426,158171.40041422,20624.36115726,21274.44761163,7523.27019315,33002.74316058,0,101245.2544068,97748.29546454,88104.23683895,0,203506.52683692,66643.63442877,0,19557.01860361,8195.3790618,0,157180.03420775,13940.72869092,1134.71119858
"Cit_2.1",0,2050.71163524,0,138.19251754,0,0,0,218.90864234,734.43158703,3168.63383866,0,2217.30332607,4018.50699127,0,1729.17421587,0,0,2191.59063535,1554.11125138,0
"Cit_2.2",272.5013716,5635.07496423,4207.45655528,47.4607004,3746.59986058,389.09977298,70.33663253,0,0,0,0,0,4518.34757779,2170.2941487,560.44230366,0,689.92872999,12114.43282375,0,600.08394923
"Cit_3.2",0,0,0,0,0,158.29931118,0,0,202.68684724,862.76923817,0,1172.55338646,138.62639872,0,0,0,0,499.21736265,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0,1021.7966204,0,746.9676765,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,2160.49049458,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
