"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",0.992201673817606,0.840696887417677,0.98146612051497,0.919111121784186,0.948213237654648,0.976222869452824,0.993783831168607,0.8829387738831,0.894640823510035,0.931365597747181,1,0.858981696237018,0.92079428169653,0.997335409636223,0.942017820941649,0.986907683447636,0.995435142507428,0.85733643294921,0.991000127375849,0.996703119322379
"Cit_1.0",0.00482284567953608,0.065399169976529,0.00525100666254886,0.0287957531611132,0.0337867895863091,0.00297045597319936,0.00611525101296596,0.0571969502257405,0.0566147380959621,0.0305579551188794,0,0.0506713595412124,0.0395030350034095,0.00164219001948588,0.02393632981311,0,0.00429796441704096,0.0576599540565372,0.000825146993183141,0
"Cit_1.1",0.00285518365981452,0.0895524539744482,0.0110322477986967,0.0516424628525165,0.0120159911241213,0.0204671959952231,0,0.0597351188866945,0.0482815603456423,0.0360110415336673,0,0.0876351580510745,0.0351296094989939,0,0.0304777052993222,0.0130923165523642,0,0.0776861321175736,0.00735481183209436,0.00215645485866221
"Cit_2.1",0,0.00116105856588967,0,0.000335454160024999,0,0,0,0.000129157004465253,0.000362763389585636,0.00129512278708626,0,0.000954827987325591,0.0021182605447963,0,0.00269474929848174,0,0,0.00108319228013657,0.000819913798873757,0
"Cit_2.2",0.000120296843043147,0.00319043006545578,0.00225062502378457,0.000115208042159531,0.0059839816349217,0.000241306647648331,0.000100917818426585,0,0,0,0,0,0.00238173964173786,0.00102240034429111,0.000873394647437201,0,0.000266893075531292,0.00598755073199309,0,0.00114042581895873
"Cit_3.2",0,0,0,0,0,9.81719311047998e-05,0,0,0.000100114658775161,0.000352641598002867,0,0.00050493172353184,7.30736145323895e-05,0,0,0,0,0.000246737864549353,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0,0.000417641215182948,0,0.000321663542720565,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,0.000930362917117081,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
