"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",2107251.22315067,1394654.19530008,1720412.83632451,355280.52246966,556843.68314228,1476093.85206402,649481.29465784,1404834.1623757,1700052.92315193,2137791.08431881,1455733.93315996,1873112.18852972,1638973.17656158,1985091.73099845,567023.64066071,579239.58755808,2412649.9503762,1628793.22691467,1761132.66482505,491691.95194004
"Cit_1.0",33076.90751442,123459.76205311,27838.30576304,14971.72149198,25871.15212634,20485.69316313,11028.85284321,106134.42495213,125912.97214878,93283.13930731,15028.20480684,130659.64325498,88062.89785462,24768.38853724,20557.59697858,6180.21454413,36542.88983688,127072.32995523,20530.07249964,4898.1921592
"Cit_1.1",120037.60541489,223920.07217652,112469.45277215,39171.72659203,37243.08050386,110797.06724125,33338.84576313,170962.53846822,183756.77082179,198382.51975126,44151.19571101,292431.92210826,151272.96782448,101896.11353894,49036.25944034,39042.1191457,127726.88413605,235778.45100682,108337.08082704,27669.4398141
"Cit_2.1",1192.30683956,10258.91328031,1328.27469009,1161.08556105,1402.47613441,946.55787874,470.20805326,7010.29029076,8492.75450116,8928.3379323,984.98389445,11232.31094293,9214.28242359,783.01142042,2944.48361143,41.87511833,1486.5221501,10535.92656195,2721.54340372,0
"Cit_2.2",3012.65788149,13359.46952159,6834.30771302,1333.81152614,4491.33600845,3457.43714967,872.33763048,5434.08852668,3290.69744179,3930.93626917,781.3405497,5626.53041931,8907.49308115,4505.68119537,1998.43251039,452.05002646,3561.19187796,19735.87349938,2517.70997679,1192.11317746
"Cit_3.2",0,0,0,0,0,202.29864438,0,0,445.34277524,1117.64402,0,1555.28513802,473.92429184,0,0,0,0,902.02771385,0,0
"Cit_3.3",0,269.328088,0,0,0,0,0,0,0,1117.85443846,0,1036.16869214,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,2079.91252319,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
