"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",0.930530109925598,0.789759910294036,0.920556649690779,0.862501211717786,0.889737390351354,0.915700685435638,0.934247985297323,0.829116189741047,0.840798088419531,0.874512592716488,0.959816349724459,0.808165311272285,0.864025029955556,0.937671046518327,0.883819557742358,0.926848818042909,0.934423073860525,0.805210038297766,0.929240374619984,0.935751001780614
"Cit_1.0",0.0146062595893871,0.0699123631740182,0.0148956907000535,0.036346287262164,0.041337510104054,0.0127083811404485,0.0158644808305646,0.0626392583362687,0.0622729944745695,0.0381596127941393,0.00990862159083006,0.0563738744045929,0.0464245230153419,0.0116995101221871,0.0320431194873692,0.00988904188960347,0.014153118003629,0.0628194628876594,0.0108324447337623,0.00932186951972785
"Cit_1.1",0.0530067819796617,0.126800676978649,0.0601800337979788,0.0950957328475244,0.0595078336332371,0.0687334008438583,0.0479563456908349,0.100900029540511,0.0908809011396284,0.0811529306908794,0.0291104291368162,0.126171479105094,0.0797472664136071,0.0481312948546471,0.0764328010758086,0.062471804001922,0.0494688206510956,0.116559408786721,0.0571627518946477,0.0526583889010042
"Cit_2.1",0.000526504577286218,0.00580938160819761,0.000710731792254349,0.00281872390963727,0.00224090798483777,0.000587200940614127,0.000676371944876656,0.00413738883244723,0.00420027615184633,0.00365234190145974,0.000649434367485131,0.00484624686395611,0.00485753565763874,0.000369860559366562,0.0045895656135277,6.70049229424876e-05,0.000575732338063219,0.00520853948203129,0.00143598949842234,0
"Cit_2.2",0.00133034392806741,0.0075651537753964,0.00365689401893467,0.00323804426288847,0.00717635792651762,0.00214483487169632,0.00125481623640036,0.00320713354972609,0.00162748587467168,0.00160803985654684,0.00051516518040962,0.00242759976447214,0.00469580410853074,0.0021282879454722,0.00311495608093652,0.000723331142622751,0.001379255146687,0.00975662422564099,0.00132843925318325,0.00226873979865365
"Cit_3.2",0,0,0,0,0,0.000125496767744435,0,0,0.000220253939753249,0.000457197981988833,0,0.000671036954103483,0.000249840849325417,0,0,0,0,0.00044592632018162,0,0
"Cit_3.3",0,0.000152514169702675,0,0,0,0,0,0,0,0.000457284058497599,0,0.00044706109903178,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,0.000897390536464548,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
