"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",0.01259349,0.01239449,0.01221169,0.00432166,0.00572011,0.00891836,0.00367817,0.02176367,0.01408112,0.00135046,0.00515763,0.00154148,0.01274185,0.01092523,0.00570105,0.003591,0.01366487,0.02049327,0.0105901,0.0028123
"Cit_1.0",-1.43995008,-4.96905875,-1.26272229,-0.61240391,-1.07429519,0.0001264,-0.47513453,-4.19766158,0.00074727,0.00090722,-0.68787945,0.00036161,0.00078509,-1.13465436,-0.8608182,-0.28012249,-1.60133269,0.00098115,-0.95351437,-0.24236298
"Cit_1.1",-4.59469954,0.00445794,-4.33064792,-1.48874563,-1.45324466,-4.22835922,-1.27905237,-6.48730519,-6.95986567,0.00159502,-1.71507108,0.00095342,-5.79516419,-3.9259654,-1.87161315,-1.48538231,-4.89922409,-9.04692628,-4.13938195,-1.07491089
"Cit_2.1",-0.40260541,-1.60791497,-0.36416259,-0.19476647,-0.31565768,-0.04639059,-0.13524832,-1.29235838,-0.34006552,-0.37558357,-0.20685966,0.00048813,-0.36338572,-0.31195313,-0.32233018,-0.07238581,-0.45329771,-0.42463755,-0.340879,5.50343021
"Cit_2.2",-1.85194672,-2.21673302,-1.84388529,-0.63526691,-0.90873599,-1.26766204,-0.54553812,-3.23546275,-1.9409885,-0.32879834,-0.7782176,-0.37512428,-1.86359637,-1.6378561,-0.84918834,-0.51169464,-2.02166379,-3.05567291,-1.5399252,-0.41557737
"Cit_3.2",233.62256619,806.21098727,204.8691205,99.36001366,174.29833553,-0.02085497,77.08764656,681.05074775,-0.10925215,-0.14058485,111.6048871,-0.0879994,-0.1134782,184.08995355,139.66720084,45.44769401,259.80618693,-0.14810884,154.70609389,37.97873895
"Cit_3.3",745.57872688,-0.30822843,702.73183725,241.5883221,235.87271265,686.02934495,207.55709649,1052.85396386,1129.1930925,-0.25746029,278.31749019,-0.15192394,940.2430831,637.06158644,303.72708126,241.01587234,795.00043401,1467.83794347,671.66685332,172.62798332
"Cit_4.3",8.92239809,66.23690202,9.62582149,7.61213663,9.13592786,7.527061,3.33365343,45.26035376,55.17431662,60.93819045,6.61875511,-0.09997268,58.95772504,6.17238986,18.57462778,0.773176,10.82569106,68.89652087,17.95402985,0.37528591
"Cit_4.4",45.27669931,100.16750016,63.55891843,12.76276064,34.38295391,40.0539415,13.58992154,51.54270692,42.32027596,53.37757936,23.14508965,60.86466328,75.36248963,52.6778334,19.48954847,10.20837165,52.4513316,141.38817176,37.8929815,13.52505652
"Cit_5.4",0.50945372,1.80393823,0.48143801,0.21942499,0.39957612,1.56604063,0.16736554,1.47008744,4.40525016,8.096055,0.23954346,14.28205611,4.17770287,0.41799228,0.31424043,0.09744463,0.56879294,7.3959743,0.34891136,0.0877886
"Cit_5.5",1.51406748,4.50752742,1.44549931,0.49643463,0.49359849,1.40205013,0.42075079,2.16406189,2.30891875,9.26590803,0.55470092,9.95296408,1.9423078,1.29830414,0.6236543,0.48891092,1.61343786,3.06656802,1.3651362,0.35233838
"Cit_6.5",0.01784184,0.1366144,0.01939795,0.01543456,0.01843305,0.01591735,0.00668642,0.0915363,0.11325827,0.13698674,0.01335855,12.76767991,0.12170204,0.01232013,0.03788139,0.00149102,0.02170049,0.14324992,0.03657781,0.00069895
