"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",0.9305165056118,0.789556031701451,0.920576449085537,0.862422129482179,0.889792719354277,0.915684069403341,0.9342410265571,0.828954262794932,0.840653828460176,0.874476373277739,0.959822453861011,0.807983348265001,0.864022974264212,0.937679750403121,0.883828114983581,0.926809048357388,0.934416826780135,0.805108558938711,0.929242608155735,0.935752702003977
"Cit_1.0",0.014611741737325,0.0700130777966478,0.0149013984888284,0.0363711751705112,0.0413655856175362,0.0127139046623475,0.0158687949515981,0.0627113833183425,0.0623358088733784,0.0381745374898573,0.00990638969949687,0.0564421619098092,0.0464447564299623,0.0117036571911605,0.0320374011022992,0.00989594203991917,0.0141572249790759,0.0629016680006658,0.010826181122385,0.00932831203826397
"Cit_1.1",0.0530135080602286,0.126877432949395,0.0601506959742997,0.0951409504808678,0.0594127593635342,0.0687456896122206,0.047957608929567,0.100976368312205,0.0909587182982493,0.0811934903009278,0.0291060323497185,0.126335391974353,0.0797218958020069,0.0481167314629998,0.076420073324611,0.0625040586692121,0.049469565795997,0.116558937587052,0.0571646397081249,0.0526486535481236
"Cit_2.1",0.000526901954205473,0.00582272522333852,0.000711357664589417,0.00282290773876513,0.00224369225459637,0.000585201098062925,0.000676857531988493,0.00414498047481388,0.004202984008251,0.003648107708634,0.00064972799102881,0.00484309196699693,0.00485980986463448,0.000370115410952624,0.00459546413954388,6.70572739112966e-05,0.00057614479716962,0.00521077344793297,0.00143710506317154,0
"Cit_2.2",0.00133134263644078,0.00757786589172036,0.00366009878674573,0.00324283712767728,0.00718524341005626,0.00214552155246169,0.00125571202974629,0.00321300509970639,0.00162802720913835,0.00159174088096243,0.000515396098745147,0.00241258417484192,0.00470034186574105,0.00212974553176631,0.00311894644996463,0.000723893659569759,0.00138023764762302,0.00977316446689938,0.00132946595058314,0.00227033240963505
"Cit_3.2",0,0,0,0,0,0.000125613671566631,0,0,0.000220633150807305,0.000457832934064288,0,0.000645202524122763,0.000250221773443303,0,0,0,0,0.000446897558739416,0,0
"Cit_3.3",0,0.000152866437448001,0,0,0,0,0,0,0,0.000457917407815322,0,0.000438919569313175,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,0.000899299615562296,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
