"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",11506.84358557,29444.82120319,36099.58997459,13592.04143312,12900.16399753,15962.91290053,10635.37155618,15243.03489152,21386.0012448,7928.62517067,7927.01971612,10462.96380536,15834.07509807,35011.83177231,13921.50010841,8495.08976204,34628.92446785,63601.84057073,12038.7439559,13278.22003721,16931.38692014,7599.12278838,11786.31740113,7471.64493852
"Pyr_1",210.37127115,366.57989441,0,0,15.22326271,0,0,0,86.93013494,0,175.51128483,0,0,173.98297572,454.59389855,17.91290611,0,613.03311498,0,144.16277407,329.75522726,30.90509864,0,0
"Pyr_2",83.2045219,240.5913597,375.78603083,197.68889559,0,360.08492511,0,346.54337902,675.01681178,0,0,407.12750026,244.89989168,748.72181066,277.71938986,0,530.65074917,222.46971722,0,307.96586956,340.45957985,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,1092.37716577,0,0,0,0,0,0,0,0,0,0
"Lac_0",96806.80851403,480847.42059036,808263.39993519,137506.76104467,109373.44964491,185615.06215677,112671.69308432,446591.79712992,247056.16108794,80994.51042046,73623.38244814,185561.51333689,185458.37271536,345639.74856441,110606.27252084,87674.25622464,560268.817078,789986.87553797,88536.27596919,206942.17325291,134299.47655491,98634.5459713,98388.55654843,75051.45428386
"Lac_1",755.62828808,0,4216.47172287,479.3191083,660.78542009,217.37386075,0,0,2650.07404263,1010.57420125,769.79543483,139.10403894,1065.46166406,573.94691384,1222.41259644,727.1500937,2804.46390935,572.63188488,0,756.72585573,0,587.97665066,1233.32562994,1196.75862086
"Lac_2",822.03507902,1439.30688601,1313.25119563,176.9067496,833.76394786,849.57958299,753.86065724,1844.33419368,1356.46002166,1.85821255,591.41336139,507.01785261,1188.74414168,1354.36345952,642.51962995,485.95041243,485.74149324,2557.17139626,613.61637269,1524.50840388,125.37340151,750.51024617,554.56108785,402.91255893
"Lac_3",2466.85079435,5650.68610312,12681.97141269,1210.55812642,586.76031338,4512.37428395,1119.66238462,6376.32856928,6847.54668083,327.65176132,1768.6530686,3967.19307997,3810.06541659,7030.86865872,2502.07603695,1938.37421151,10139.80083602,15502.16058989,239.23491589,4404.99299376,4510.91128186,781.21162834,2192.12725528,1153.52725578
"Cit_0",3678.59306376,7022.44433181,14252.51316273,16345.00643994,16573.48296491,4544.13978421,18271.69347559,8839.74480351,4779.63230107,17860.60945831,4288.96718857,4018.82663244,3072.6685266,11032.44180397,7386.36048147,4794.16733757,10435.5764773,13912.3441927,17516.03146908,3197.70683409,11435.46656326,8802.04410437,7993.65210708,7417.71315301
"Cit_1",2478.25867081,3911.48256092,8598.18130568,625.84160479,663.20720911,2399.95294832,169.42792524,4737.85885704,4345.24270149,1165.22024361,900.80417676,2133.94579881,1891.6600945,7706.29364399,745.59753426,641.012343,5360.05255477,9013.74698068,0,2919.42797785,767.01951941,0,499.29874873,346.69198323
"Cit_2",4532.99482768,4660.54436574,11470.91999157,1309.26559715,353.43576698,4584.32196,913.01480028,5839.06052513,8858.21672716,0,1907.23237895,3825.1044812,3867.3949889,10652.02455789,3199.34526091,1541.29215108,8843.03208967,13015.592118,491.47984155,4552.06820963,5039.79897389,514.95140856,3061.31601686,2348.56763192
"Cit_3",1303.13674304,1186.45536058,4089.96837655,913.14824707,281.29638478,2104.16123624,432.93101144,1458.02502952,2646.72372304,126.92278984,1515.29738946,1909.40736112,1456.43711156,3584.57015382,1739.93439101,663.272981,2917.38084436,4957.75740653,52.32423418,2132.4204015,2958.26378648,1.45310244,927.62352559,1642.02176009
"Cit_4",10859.38271154,9195.92105137,22741.77190218,8433.37639469,4918.88505717,13318.07571456,5646.06392306,12358.255062,21705.54057002,3945.54665667,9268.23245768,10809.24692046,8942.06104253,21461.90000013,13189.34111662,7419.64609907,18212.85846428,26956.32593853,3411.89991527,14693.33294282,23775.35086001,2747.27841406,10578.78914162,12107.37818463
"Cit_5",839.24280206,454.68370061,452.56975057,0,222.7095187,247.0786772,128.14962501,126.37215656,271.09043194,217.55904184,290.83250681,255.18277755,501.66188085,1206.3979851,17.02014058,0,243.25498997,1575.73713318,50.37269153,370.51987191,964.15370975,126.35354195,865.8493913,185.05391784
"Cit_6",818.0861246,0,647.59423333,240.70660781,166.66204729,399.33282845,118.63657532,0,1092.19729177,0,832.46437705,949.18145414,689.33516646,703.41727286,768.92314487,825.88365933,1233.48960086,932.86193467,0,666.17059109,1442.35735362,110.82348605,593.37148831,354.60265981
"Mal_0",3681.62416054,5398.86253547,10967.1713573,18285.41777208,17029.5933568,4412.56267105,13200.3893524,6029.99528371,6402.44028079,13420.96055294,4916.87164197,3922.71291199,4182.13620751,7722.09147321,6356.23150749,5335.97591232,9648.77507639,16661.27214381,13628.10598968,4918.91890618,8205.36864233,15688.89642417,6317.33319079,6166.76567208
"Mal_1",1610.73634343,2790.31652831,7582.30430452,962.81541555,105.15435784,2596.6588474,536.51235539,2847.80469358,4736.51803246,221.21689426,572.26006232,2192.30365122,2452.31235882,5178.04658343,815.74321476,235.40490325,6021.73765164,11459.8094283,156.52435533,2954.28696377,577.05872392,0,569.983975,595.54757467
