"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",9827.08444423989,25146.4914993854,30829.8028425107,11607.8869013549,11017.0091394347,13632.660588719,9082.82915303664,13017.869753032,18264.0911553556,6771.21127957354,6769.84018789954,8935.58933756941,13522.6304179803,29900.8346481289,11889.2514822572,7254.98385653336,29573.8238230263,54317.298523241,10281.3384554537,11339.8768832224,14459.7576029424,6489.80937198155,10065.7609122946,6380.94062913053
"Pyr_1",181.604623181171,316.45292261724,0,0,13.1415990069589,0,0,0,75.0431097961592,0,151.511470988206,0,0,150.192146355576,392.431690864136,15.4634544270388,0,529.205567066909,0,124.449627169231,284.663744537029,26.6790648847307,0,0
"Pyr_2",72.6038063177366,209.938691822225,327.908815245441,172.502238566239,0,314.208117102625,0,302.391838766903,589.015942217573,0,0,355.25720838859,213.698293034353,653.330517208629,242.336405902423,0,463.042913237394,194.125846669909,0,268.729317054192,297.083149208594,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,963.511859153556,0,0,0,0,0,0,0,0,0,0
"Lac_0",74843.2640478191,371752.679572546,624884.468252771,106309.204726392,84558.7835943221,143502.686654918,87108.7210255719,345268.977536229,191004.019064067,62618.4627183922,56919.6974597208,143461.287000005,143381.546939469,267220.946174244,85511.9034155798,67782.7067077197,433154.936703144,610754.524684398,68449.1512723749,159991.099315627,103829.589463496,76256.3241334093,76066.1448308227,58023.7681250042
"Lac_1",590.509672636271,0,3295.09545371659,374.579107473245,516.391707742491,169.873692364433,0,0,2070.9843451621,789.745236075146,601.581038440732,108.707259631002,832.638783348401,448.529004999842,955.293063451079,568.254485124252,2191.63719934102,447.501333943945,0,591.367401659815,0,459.492987459792,963.821399328933,935.24495122376
"Lac_2",649.353445810489,1136.9574241571,1037.38175031864,139.744653691474,658.618477913247,671.111785597379,595.500153136219,1456.90225935368,1071.51387045328,1.4678652446673,467.177513366941,400.510632797129,939.029397026693,1069.85772476716,507.548091750914,383.868745821213,383.703713452905,2019.99659147034,484.716426562972,1204.26099869935,99.0367106724405,592.853549568182,438.066650071815,318.274323297037
"Lac_3",1969.72533960642,4511.94682263306,10126.2713192679,966.603664128068,468.515023359783,3603.03022349054,894.025441604092,5091.35614741407,5467.613299621,261.622623596387,1412.23002792596,3167.71519162235,3042.2522569278,5613.99181022397,1997.85191017239,1547.74857514514,8096.40481338216,12378.129476858,191.023744535514,3517.28865826441,3601.8620489519,623.780061388734,1750.36472098614,921.065785916417
"Cit_0",2170.18479961706,4142.88878408143,8408.26557490533,9642.73131351585,9777.52096623498,2680.81381008962,10779.3797130301,5215.00461523268,2819.74254497686,10536.8608287165,2530.27481903016,2370.90548447425,1812.71981301276,6508.5855082767,4357.58100000163,2828.31748510408,6156.46499999908,8207.58300000102,10333.5771543475,1886.4861224635,6746.34983592062,5192.76309985154,4715.85249999909,4376.07749853358
"Cit_1",1477.86102192888,2332.53601927231,5127.35702725855,373.208383981267,395.490630316472,1431.16493793047,101.035024990607,2825.32933897955,2591.20038395918,694.856271573486,537.176928665492,1272.53678403935,1128.0544494115,4595.49728772614,444.622487114711,382.255156595652,3196.36236502942,5375.17147873925,0,1740.94369793247,457.397068411819,0,297.747030097046,206.742974276926
"Cit_2",2732.39936046596,2809.2836917903,6914.44302065606,789.199329875186,213.044069180244,2763.33833764487,550.347210005053,3519.66985427884,5339.55732143392,0,1149.6418439926,2305.69710212874,2331.18898124752,6420.8290977783,1928.50185741209,929.060333840621,5330.40432317475,7845.54073658862,296.254298931208,2743.89641674404,3037.89084625581,310.402493916041,1845.30056720439,1415.66997965308
"Cit_3",794.000786613387,722.906858864675,2492.01637936234,556.38092498015,171.393794227446,1282.0647454376,263.784722108889,888.374168347236,1612.64788923043,77.3340138787202,923.270198319871,1163.40127372814,887.406650459301,2184.07740937789,1060.14144908139,404.13200799238,1777.55918374988,3020.75994836893,31.8811385833112,1299.28304548578,1802.46914686444,0.885374836180501,565.200707395705,1000.48331543955
"Cit_4",6688.18184086097,5663.67295632791,14006.4228239721,5194.02956488236,3029.49058805032,8202.465509819,3477.35255360523,7611.32186662524,13368.2186310838,2430.02150328191,5708.20880587078,6657.30372408531,5507.3231944358,13218.1629162683,8123.17919833116,4569.68352839068,11217.1117352299,16602.1231986619,2101.3539776892,9049.47225641675,14642.9934468593,1692.02044801124,6515.36715434964,7456.80938464642
"Cit_5",522.471432679604,283.06378546311,281.747743784467,0,138.648030130207,153.819073746475,79.7796752167342,78.6731104832211,168.767615300082,135.441595690231,181.058063447005,158.864289398073,312.310097822806,751.044253355327,10.595905274866,0,151.438633496915,980.976703616874,31.3595687052736,230.667511044368,600.234841240168,78.661521939439,539.03539100587,115.20549874186
"Cit_6",514.808776202934,0,407.520901176148,151.472895657795,104.877814235991,251.293890129866,74.6561374369463,0,687.302637510437,0,523.856785116837,597.305012402278,433.787816181864,442.649465028051,483.871283598881,519.715642596388,776.215673121541,587.035394578508,0,419.210711963991,907.652876312351,69.7394828152588,373.39937757769,223.145896068522
"Mal_0",2500.09370642736,3666.2249209097,7447.51633846147,12417.1441456064,11564.3469615074,2996.45473901125,8964.03568187292,4094.81049700055,4347.728055281,9113.81975711875,3338.91763834942,2663.81070846436,2839.97821501806,5243.8683175626,4316.34889807444,3623.52027646476,6552.22825343411,11314.2297560605,9254.48675084927,3340.30788138988,5572.04907591566,10653.9150930347,4289.93407881759,4187.68765454814
"Mal_1",1105.63883398056,1915.32420894397,5204.63210774981,660.894079735202,72.1798710660589,1782.3940410825,368.271876057873,1954.78513516946,3251.2324539628,151.847315064358,392.809754754643,1504.83725195187,1683.31197593028,3554.30571250992,559.941035957632,161.586223471184,4133.43066533064,7866.22241785638,107.441175225548,2027.87650951677,396.103643687945,0,391.247406862769,408.794728401003
"Mal_2",3140.14924953487,2981.3656912329,8925.73181588987,150.0066745079,513.833760031753,3535.18353968081,529.071231864255,3484.95254176976,7489.58022281679,0,1371.44752576427,2711.68660403354,3925.19152731478,5694.25954663249,1509.61208966123,1803.72901454329,7280.27975373607,14272.3845913697,102.611698796422,5115.75939794394,2321.95796425565,263.482288351187,1505.15961431459,1698.66662638057
"Mal_3",1236.99233044276,806.138495981801,2752.46230504378,572.137352191204,351.710258902379,1963.8026008114,214.986733029611,1113.39249696967,2830.55381079607,249.492962927731,626.042139902731,1429.67666055491,2068.9837535883,2452.5730415799,788.539010993715,683.820634161636,2686.7569190511,6091.13823164074,36.2053607159271,2195.61446087297,1361.28170747269,263.131249283246,981.483825620742,1016.72168521282
"Mal_4",11052.9671627236,7329.71070265053,22672.8166720639,8144.17168154197,3619.46939056707,15180.8799700897,5169.96691721642,9257.49808034066,25294.3432423807,2515.02136263587,7509.97410026043,12414.148741029,15640.1429478344,18387.0094074829,9987.07915672583,7368.97650297234,20870.0711723838,41099.9628440193,2508.05162449985,19172.4099923282,14235.708210738,5204.13427235446,8738.0688424364,10660.6824845399
"Succ_0",933.753133442515,1307.18118479087,2832.12078192643,1769.54573381668,1953.26062584517,1381.88214568409,1892.17181109818,1661.4295793026,2957.20334539895,1974.10303270514,1216.72463813652,1033.18181317713,1560.59112892118,1785.72146430825,1123.05517881406,1135.32856510828,2763.68876591481,4802.54011276298,1911.90134328992,1969.1113710219,2011.30740655406,1587.20256855835,1615.82977379175,1573.62308202124
"Succ_1",0,638.881510355123,1626.36397122162,0,0,0,0,934.610942328851,686.932860745534,0,0,0,621.116904798832,0,0,0,1173.66897658739,2467.324499946,0,797.69362818235,427.496757116772,0,0,147.711576545918
"Succ_2",595.070501247375,579.921584250467,2296.44229245854,0,0,800.71665350794,219.999312377398,865.710688775638,1662.66865000372,48.3640988114544,0,551.249490394286,1075.43932130078,1270.08105051941,354.510359851751,0,2275.87142137062,5105.59474150793,0,985.04671385865,685.916064015192,0,356.885127677307,529.087043429063
"Succ_3",0,0,306.833558476721,0,0,270.509121385163,0,176.299280257297,368.432575227764,0,0,0,28.5080089791973,0,0,0,143.291363691515,1335.24469755417,0,82.0172940586668,0,0,0,76.565324983927
