"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.25223691,0.62349967,-0.86334978,-8.66491735,-15.92152724,-4.93977517,-67.17978522,-23.14475533,0.64887672,-24.87152995,-10.27813158,-55.28256981,-37.12304933,0,0.42795374,-10.50821137,-70.90006897,1.17249646,-38.06270886,0.36953253,0.4765125,-9.44421295,-20.96897761,-14.59771073
"Pyr_1",-1.57167415,-3.88499177,8.48585951,71.66856709,-57.36286522,41.3250241,396.63605201,190.64920019,-4.04311475,88.8561898,-37.29893864,454.23034455,305.25438899,0,-2.66655596,-37.87224406,583.1814508,-7.30576025,137.36344319,-2.30253664,-2.96912288,-34.06151087,0.79020036,11.20698646
"Pyr_2",-4.76306317,-11.77372625,-13.42359395,-5.54710618,501.84219864,-7.63659901,412.53383114,-7.3158685,-12.2529285,307.54225182,324.30877216,-6.50620884,-6.59018266,0,-8.08117539,331.23233008,-14.36929935,-22.14059293,466.96903253,-6.97799061,-8.99812462,297.72455018,457.17769678,289.81651418
"Pyr_3",47.50852963,117.43544079,133.8918231,55.32886066,36.67932894,76.17022441,29.76071949,72.97114133,122.21517883,22.18649234,28.88149725,64.89530054,65.73288599,0,80.60459144,24.45537666,143.32463381,220.83835107,33.68774471,69.60102397,89.75057754,22.4441417,32.98138519,20.9077349
"Lac_0",0,-270.45998542,0,0,0,0,-84.27209665,-324.02149742,0,0,0,0,0,0,0,0,0,0,-31.97097484,0,-6.21328095,0,0,0
"Lac_1",0,1412.99518059,0,0,0,0,440.27239829,1692.82274254,0,0,0,0,0,0,0,0,0,0,167.02963765,0,32.46075764,0,0,0
"Lac_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,0.00125133,0,-0.49656147,0,0,0,0.03084063,0,-6.71867129,0,0,0,0,0,-0.54031972,0,0,-1.60448362,0,0,-52.64104296,0,0
"Cit_1",0,-0.02463054,0,0.19974722,0,0,0,-0.60705158,0,-37.58824667,0,0,0,0,0,0.21734946,0,0,3.59719524,0,0,133.64075323,0,0
"Cit_2",0,0.01325868,0,6.13833089,0,0,0,0.32677742,0,97.82642473,0,0,0,0,0,6.67925616,0,0,0.29425763,0,0,0,0,0
"Cit_3",0,0.30038433,0,-10.05974956,0,0,0,7.40336039,0,1.72871742,0,0,0,0,0,-10.94624018,0,0,6.6666028,0,0,0,0,0
"Cit_4",0,-0.52466301,0,-43.60858528,0,0,0,-12.93099862,0,-3.01944542,0,0,0,0,0,-47.45148429,0,0,-11.64414902,0,0,0,0,0
"Cit_5",0,-2.10551727,0,124.36970646,0,0,0,-51.89319679,0,-12.11729118,0,0,0,0,0,135.32948008,0,0,-46.72895995,0,0,0,0,0
"Cit_6",0,6.1959601,0,0,0,0,0,152.70745149,0,35.65786594,0,0,0,0,0,0,0,0,137.51051827,0,0,0,0,0
"Mal_0",0,0,0,0,0,0,0,0,0,-4.60612964,0,0,0,0,0,0,0,0,0,0,0,-7.02789015,0,0
"Mal_1",0,0,0,0,0,0,0,0,0,-18.71488292,0,0,0,0,0,0,0,0,0,0,0,24.47621311,0,0
"Mal_2",0,0,0,0,0,0,0,0,0,67.73007318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",-37.84189667,2.7595178,0,-88.09102174,-97.23666417,-56.72494708,-77.41150319,0,0,-80.89722354,-60.5706394,-41.95057008,0,-72.27179633,-45.78043734,-56.51860328,0,0,-95.17772815,0,2.89760066,-79.01366622,-65.98112339,0
"Succ_1",189.18365821,-10.00775665,0,358.51995918,395.74163383,279.97712689,383.36469497,0,0,399.96442317,246.51528314,209.32847024,0,361.79725353,227.53732168,230.02397906,0,0,387.36200961,0,-10.50853243,321.57620411,327.37623757,0
"Succ_2",-21.63136871,-32.45674004,0,163.8337606,180.84304217,0,-11.5455661,0,0,-6.11216044,112.65070423,-20.42422537,0,-45.69331026,-14.18684234,105.11463184,0,0,177.01378437,0,-34.0808352,146.95148064,-15.39493592,0
"Succ_3",119.52736798,179.3445788,0,22.42831849,24.7568348,0,63.79675489,0,0,33.77365803,15.42152157,112.85711665,0,252.48523023,78.39152238,14.38985733,0,0,24.23262164,0,188.31875984,20.11718829,85.06702445,0
"Succ_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_0",0,0,0,-14.78406948,-15.7080641,0,0,0,0,-7.15244756,0,0,0,0,0,0,0,0,0,0,0,-32.84498004,0,0
"Fum_1",0,0,0,73.0526207,46.9988428,0,0,0,0,35.34243663,0,0,0,0,0,0,0,0,0,0,0,162.29711796,0,0
"Fum_2",0,0,0,0,66.96277213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
