"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",2.192e-05,2.118e-05,-2.392e-05,-0.0006375,-0.00123421,-0.00030945,-0.00631664,-0.00151838,3.034e-05,-0.00313693,-0.00129659,-0.00528364,-0.0023445,0,3.074e-05,-0.00123697,-0.00204742,1.843e-05,-0.00316168,2.783e-05,2.814e-05,-0.0012428,-0.00177909,-0.00195375
"Pyr_1",-0.00747095,-0.01059794,Inf,-Inf,-3.76810585,Inf,-Inf,-Inf,-0.04650993,Inf,-0.2125159,-Inf,-Inf,0,-0.0058658,-2.11424343,-Inf,-0.0119174,Inf,-0.01597178,-0.00900402,-1.10213241,Inf,-Inf
"Pyr_2",-0.05724524,-0.04893661,-0.03572138,-0.02805978,Inf,-0.02120777,Inf,-0.02111097,-0.01815203,Inf,Inf,-0.01598076,-0.0269097,0,-0.02909835,Inf,-0.02707864,-0.09952183,Inf,-0.02265832,-0.02642935,Inf,Inf,Inf
"Pyr_3",Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Lac_0",0,-0.00056247,0,0,0,0,-0.00074794,-0.00072554,0,0,0,0,0,0,0,0,0,0,-0.00036111,0,-4.626e-05,0,0,0
"Lac_1",0,Inf,0,0,0,0,Inf,Inf,0,0,0,0,0,0,0,0,0,0,Inf,0,Inf,0,0,0
"Lac_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,1.8e-07,0,-3.038e-05,0,0,0,3.49e-06,0,-0.00037617,0,0,0,0,0,-0.0001127,0,0,-9.16e-05,0,0,-0.00598055,0,0
"Cit_1",0,-6.3e-06,0,0.00031917,0,0,0,-0.00012813,0,-0.03225849,0,0,0,0,0,0.00033907,0,0,Inf,0,0,Inf,0,0
"Cit_2",0,2.84e-06,0,0.00468838,0,0,0,5.596e-05,0,-Inf,0,0,0,0,0,0.00433354,0,0,0.00059872,0,0,0,0,0
"Cit_3",0,0.00025318,0,-0.01101656,0,0,0,0.00507766,0,0.01362023,0,0,0,0,0,-0.01650337,0,0,0.12740947,0,0,0,0,0
"Cit_4",0,-5.705e-05,0,-0.00517095,0,0,0,-0.00104635,0,-0.00076528,0,0,0,0,0,-0.00639538,0,0,-0.0034128,0,0,0,0,0
"Cit_5",0,-0.00463073,0,Inf,0,0,0,-0.4106379,0,-0.05569656,0,0,0,0,0,Inf,0,0,-0.92766454,0,0,0,0,0
"Cit_6",0,Inf,0,0,0,0,0,Inf,0,-Inf,0,0,0,0,0,0,0,0,Inf,0,0,0,0,0
"Mal_0",0,0,0,0,0,0,0,0,0,-0.0003432,0,0,0,0,0,0,0,0,0,0,0,-0.00044795,0,0
"Mal_1",0,0,0,0,0,0,0,0,0,-0.0845997,0,0,0,0,0,0,0,0,0,0,0,Inf,0,0
"Mal_2",0,0,0,0,0,0,0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",-0.03092139,0.0016107,0,-0.03798289,-0.03798289,-0.03131997,-0.03121499,0,0,-0.0312667,-0.03798289,-0.03097985,0,-0.03087972,-0.03110263,-0.03798289,0,0,-0.03798289,0,0.0010992,-0.03798289,-0.03115604,0
"Succ_1",-Inf,-0.0120811,0,Inf,Inf,Inf,-Inf,0,0,-Inf,Inf,-Inf,0,Inf,-Inf,Inf,0,0,Inf,0,-0.0189583,Inf,-Inf,0
"Succ_2",-0.02833856,-0.04363127,0,-Inf,Inf,0,-0.04091251,0,0,-0.09852214,-Inf,-0.02888415,0,-0.0280468,-0.03119744,-Inf,0,0,-Inf,0,-0.03873481,-Inf,-0.03362882,0
"Succ_3",Inf,Inf,0,-Inf,Inf,0,Inf,0,0,Inf,Inf,Inf,0,Inf,Inf,Inf,0,0,Inf,0,Inf,Inf,Inf,0
"Succ_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_0",0,0,0,-0.00051289,-0.0005859,0,0,0,0,-0.00029077,0,0,0,0,0,0,0,0,0,0,0,-0.00140587,0,0
"Fum_1",0,0,0,Inf,Inf,0,0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0,Inf,0,0
"Fum_2",0,0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
