"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",11504.7040813,29441.10300487,36098.64314003,13591.61751864,12900.00854595,15962.04062477,10635.37155618,15242.36320376,21385.18395361,7928.62517067,7925.22750382,10462.42999431,15833.79058755,35010.13207449,13916.88703756,8494.90684589,34628.22100147,63595.60385616,12038.7439559,13276.78004904,16928.05516586,7598.80720416,11786.31740113,7471.64493852
"Pyr_1",210.80283465,365.35946924,0,0,15.37872152,0,0,0,73.89134141,0,177.30350227,0,0,160.6576901,453.50621771,18.09582706,0,614.7031902,0,139.28114027,326.09836059,31.22068722,0,0
"Pyr_2",84.91246972,245.52999936,382.20428281,199.50911132,0,365.50083068,0,348.23588072,688.87292103,0,0,403.76021469,242.10671898,729.93993254,283.42015877,0,526.42326807,227.03637937,0,314.28750472,347.44821829,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,1126.18410052,0,0,0,0,0,0,0,0,0,0
"Lac_0",96799.17559856,480845.47292841,808220.46739112,137501.88369474,109366.78843049,185612.92625342,112669.8668124,446588.97618601,247029.23433668,80983.77198894,73615.58156263,185560.14153692,185447.61278226,345634.02151297,110593.85433957,87666.87962915,560240.21949653,789981.278314,88534.30497508,206934.60031447,134298.09219283,98628.61934647,98376.01808847,75039.27451653
"Lac_1",747.16420296,0,4236.44130619,480.94635359,650.51674201,203.49159304,0,0,2651.3133368,1019.44515039,766.0134003,131.31773611,1053.02019546,554.08728167,1222.4297891,725.16206315,2826.28418653,530.62038575,0,734.3925236,0,578.74357599,1235.1710102,1201.03109508
"Lac_2",761.78802702,1249.92585338,943.73268596,142.69251991,832.5348073,725.94886116,719.98041557,1631.73871579,1170.22971569,0,548.26004006,393.39931756,1094.03170762,1162.35892496,577.48641402,435.32626684,178.71237271,2125.01947404,612.05099412,1418.08903171,0,741.49303353,497.41225287,375.12051574
"Lac_3",2543.19495338,5830.95729238,13074.45331537,1248.0225051,604.91940399,4652.02332996,1155.65229516,6579.98837324,7059.46470852,336.26288186,1823.38938926,4089.96984196,3927.97941213,7248.46011971,2579.51034744,1998.36306193,10453.60757615,15981.92174423,246.78802012,4541.31882133,4647.79316718,805.38859867,2259.96926449,1189.22665333
"Cit_0",3653.75814741,6982.98761541,14165.90614233,16338.71165817,16566.74736795,4520.10902983,18270.05824724,8791.9723021,4736.1827157,17849.65409354,4279.96619812,3997.43316448,3053.75398024,10954.85730525,7378.96983779,4787.61328317,10381.76233998,13821.65390851,17514.28133325,3168.36816173,11428.15711645,8801.40736869,7988.8720321,7414.41635609
"Cit_1",2410.40867173,3855.60650824,8450.51528144,605.54718268,662.75536749,2330.48691918,152.43386223,4666.17913816,4207.60013616,1169.59219789,871.09294219,2077.37636244,1831.60898232,7566.26092798,687.76266609,616.09254389,5233.18643425,8838.71202706,0,2855.93495865,671.70686054,0,441.48602733,302.24500607
"Cit_2",4592.22845618,4724.98594418,11593.034997,1313.42022408,355.03485343,4621.14301793,921.82515025,5921.22616534,8971.16116652,0,1904.92418643,3850.82779016,3906.95267779,10772.30494992,3220.44029702,1559.01663891,8944.97360314,13144.96382643,467.10190328,4588.22051609,5065.93709642,479.57651935,3101.90061641,2353.17078722
"Cit_3",887.06663889,836.42640514,3259.37125117,584.81389317,83.10552572,1608.7193215,208.71115988,982.8831761,1814.89123556,0,1172.20588607,1513.58053761,1125.48884871,2793.03590819,1235.99892927,367.0105274,2240.96704957,3977.74472455,0,1580.06839252,2049.65106114,0,511.78112624,1183.19366227
"Cit_4",11266.48746252,9553.14926469,23661.98856436,8781.20372019,5111.32717545,13857.96180613,5873.61608262,12864.10049452,22593.15289307,4083.79268132,9638.52810794,11245.54285724,9287.38488079,22289.03977772,13726.53503695,7714.47607501,18957.32054934,27992.0842082,3522.48472545,15284.12923404,24712.52620441,2819.29369362,10972.47507815,12600.27502133
"Cit_5",830.24217481,478.37880179,434.41071442,0,223.57202542,234.21350648,127.18035651,132.95918698,214.81439547,227.18168118,252.32694899,207.29602999,483.36908296,1223.92264069,0,0,176.42059366,1597.71837771,47.52368204,346.88673757,921.42148465,117.05692106,872.72032934,171.8396735
"Cit_6",869.50761013,0,688.3022567,238.04936527,177.1377624,424.43422952,126.09378666,0,1160.84921732,0,884.78892237,1008.8426787,732.66391459,747.63366224,806.95682626,846.61464383,1311.02229053,991.50071792,0,708.04388514,1533.01727501,122.71591966,630.66827628,376.89189497
"Mal_0",3665.64669675,5370.81661305,10891.08349697,18275.60802697,17028.59638334,4386.57597222,13194.99016555,6001.43760089,6355.19594639,13418.12380596,4911.23346378,3900.73220496,4157.68195055,7670.06908208,6348.12762441,5333.84236083,9588.3755103,16546.38862629,13629.2105192,4889.51763541,8199.82339818,15686.9341229,6311.73784718,6160.93837513
"Mal_1",1534.30259642,2730.47778811,7395.42738499,968.39501581,91.08586397,2518.84887188,526.32451811,2773.70565062,4563.30473916,221.77856585,537.56033958,2134.62733385,2361.47618506,5062.5971053,779.47966896,184.43849306,5867.83380043,11154.93776754,148.47626757,2833.21090478,514.43517964,0,531.43780317,551.51274755
"Mal_2",4573.45379074,4355.76175951,13025.99844991,202.4665992,743.34638978,5125.80351126,773.24916429,5084.49470419,10912.53775499,0,1996.02943345,3935.89325341,5695.16568197,8282.54653734,2194.23418941,2629.14128801,10607.11663815,20757.81068436,127.32373933,7443.83019839,3367.35637608,377.79494071,2177.95979496,2462.73735144
"Mal_3",1161.79234726,749.61289102,2699.26245938,357.26379732,302.00683855,1984.97842846,8.9321013,1086.75455368,2658.33833412,212.03331709,474.17187504,1364.17733415,2112.31040605,2513.00948036,565.89840606,567.47871342,2709.75892646,6512.4189596,0,2088.64022657,1155.44173592,77.34213838,923.70798614,861.3055297
"Mal_4",16237.64788292,10767.90162126,33308.08936667,11964.40622009,5317.27524678,22301.86512424,7595.07375876,13599.96762972,37159.31058248,3694.99531355,11032.72198313,18237.32688232,22976.55733249,27011.91287146,14671.77729414,10825.58585841,30659.71921949,60378.96618747,3660.06847675,28165.72578391,20913.33586511,7645.53270389,12836.88638243,15661.35172494
"Succ_0",1221.58321824,1706.12495206,3690.6504475,2318.52248234,2559.55759415,1807.66814668,2479.93208618,2165.26912494,3866.94141625,2588.20529238,1594.0173995,1352.25202941,2039.88379859,2335.60392844,1470.89322271,1487.15148136,3609.09775721,6262.39130697,2505.38318471,2571.67885234,2632.16722147,2079.70983225,2116.94868895,2060.56061556
"Succ_1",0,816.82388917,2069.61142861,0,0,0,0,1201.34716357,855.8969337,0,0,0,775.98570391,0,0,0,1469.59950397,3097.16408215,0,1014.16583649,535.80141503,0,0,179.50143929
"Succ_2",752.77657704,744.79681346,2998.86402439,0,0,1028.33209578,268.22540413,1128.42205515,2166.24596639,46.03023693,0,691.90295704,1377.13471173,1606.54630555,444.43591109,0,2951.55331633,6642.8909864,0,1272.53585024,879.19992529,0,445.90615156,690.67879615
"Succ_3",0,0,82.41180958,0,0,197.71941816,0,89.38755236,197.37522098,0,0,0,0,0,0,0,0,936.22550229,0,0,0,0,0,27.27507477
"Succ_4",2443.21880664,2121.27130799,7890.0222025,1310.16297822,845.50496816,3871.54556849,1180.0767899,3493.77129887,7039.85878237,904.90787921,1231.42794563,2865.31151291,5131.26379444,5372.80835759,1601.01012585,1573.50139636,8112.11660839,20049.5614467,785.31421248,4795.85299418,2734.92543979,990.61342506,1480.7146223,1802.85793541
"Fum_0",6592.33006353,8280.17015832,18476.57239724,28821.01256529,26809.20318064,10912.32546388,25729.24190174,10886.25276174,11504.64602883,24594.94809465,9782.50958173,8022.17719153,8289.4740682,12846.47281993,11231.71542585,9725.61009042,15806.47655579,24317.13106761,26154.69759215,9094.85519561,15554.17081582,23362.35803731,12135.69003985,11591.16423123
"Fum_1",3132.98550449,3090.84437596,11878.91392892,0,0,3343.69240425,33.22582486,3242.8748951,6526.62703065,0,554.32142376,2866.61117294,3593.27111512,6878.61179063,988.30679566,587.75954656,8345.43633084,15623.09821758,250.90259421,4009.46431208,843.90119242,0,711.17009796,944.10352578
"Fum_2",5891.05602539,6132.19006509,18247.6409702,1019.41231522,0,8372.10562724,1274.17709026,6334.7641799,15943.33362739,850.43183222,2709.9545343,7139.0344869,8363.24871495,12180.70219612,3345.51164506,2629.86636755,16074.4543607,29127.01675042,85.78008143,10609.13444218,5528.76800879,205.26239472,3069.62563643,2928.51840929
"Fum_3",1579.51592953,1110.0327003,3169.50691137,518.91301028,259.82026883,3074.42880737,451.88353522,1356.69163379,3186.71729939,0,578.34539497,1618.72566999,2779.34082003,3195.07187515,1721.97374121,661.70370515,3366.51118048,6544.31288643,122.15209531,2355.44486887,1027.37686286,0,421.56049094,678.97846958
"Fum_4",21220.90966557,14130.36124945,49353.8057566,15427.52519084,8456.3960429,36374.21589004,12002.52005748,17832.77448582,54182.84620559,7057.36071299,16838.04622968,31228.29874398,34463.93461068,37675.15082498,19796.24493156,15935.35901543,42475.73770811,84201.06239499,6415.55274634,40376.47688711,36260.03545728,10442.72425345,17311.25114391,19630.44937847
