"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.97494027163737,0.979672247384619,0.989523152289201,0.985533516102551,0.998809271359696,0.977614460102443,1,0.977663726786057,0.965560500006622,1,0.978117516349307,0.962842522823171,0.984939769496932,0.945532005876007,0.949710948566198,0.997874330861248,0.985025498650085,0.986937084541044,1,0.966965977696749,0.961733790557937,0.995908181770178,1,1
"Pyr_1",0.0178640120965524,0.0121575788880734,0,0,0.00119072864030445,0,0,0,0.00333626125044184,0,0.0218824836506933,0,0,0.00433894358514418,0.0309480000117574,0.00212566913875164,0,0.0095395489248948,0,0.0101440351861246,0.0185266298669353,0.00409181822982213,0,0
"Pyr_2",0.00719571626607734,0.00817017372730792,0.0104768477107993,0.0144664838974493,0,0.0223855398975575,0,0.0223362732139433,0.0311032387429366,0,0,0.037157477176829,0.0150602305030685,0.0197137664923704,0.019341051422045,0,0.0149745013499148,0.0035233665340608,0,0.0228899871171264,0.0197395795751276,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304152840464785,0,0,0,0,0,0,0,0,0,0
"Lac_0",0.959820584682639,0.985487803522785,0.977912671023467,0.986570899250535,0.981266201956346,0.97080738727186,0.983625435145523,0.981944339509818,0.957810873765577,0.983535139742186,0.959120127696689,0.975734502122784,0.96828034959606,0.974718179829346,0.961909179970736,0.965220743544721,0.976540645403127,0.976951363628988,0.99039256283074,0.968666149468026,0.966549616383835,0.978902871858298,0.960998258513001,0.964457417836627
"Lac_1",0.00740857117536932,0,0.00512591526757953,0.00345077219164455,0.00583659904347352,0.00106431780242089,0,0,0.0102799846769782,0.0123810005859601,0.00998020873730448,0.000690510606436934,0.0054981498423972,0.00156257461083213,0.0106322945612744,0.00798410378862544,0.00492642492909018,0.000656205816084864,0,0.0034377101603727,0,0.00574411111460447,0.0120659202601641,0.0154364945045836
"Lac_2",0.00755357496566786,0.00256171005689637,0.00114187673895257,0.00102381352095847,0.00746971068712463,0.00379691507170954,0.00628554084243716,0.00358781044980752,0.00453735263156686,0,0.00714315133387846,0.00206861928469954,0.00571228385434791,0.00327795386196637,0.00502278798647012,0.00479298390385663,0.000311509045074599,0.00262796186427643,0.00684673305810928,0.00663811097739034,0,0.00735942229339761,0.00485903290313316,0.00482131212380589
"Lac_3",0.0252172691763239,0.0119504864203188,0.0158195369700007,0.00895451503686209,0.0054274883130561,0.0243313798540095,0.0100890240120402,0.0144678500403742,0.0273717889258777,0.00408385967185441,0.023756512232128,0.0215063679860797,0.020509216707195,0.0204412916978551,0.0224357374815199,0.0220021687627971,0.018221420622708,0.0197644686906507,0.00276070411115068,0.0212580293942115,0.0334503836161649,0.00799359473369948,0.0220767883237017,0.0152847755349832
"Cit_0",0.149073969586865,0.264191532466178,0.227551856459916,0.586420952679186,0.714709923187149,0.163789466967319,0.711453120219281,0.263553698936967,0.108382811024321,0.765087238492672,0.225215942218276,0.167250323685781,0.149538256099446,0.194417565777167,0.272722828974206,0.301281630825176,0.219740054617095,0.196429704099503,0.812675191586052,0.111047484191181,0.246389857004456,0.713239173863318,0.325811724206428,0.303844214043803
"Cit_1",0.0983450941535654,0.145871459051512,0.135743553643105,0.0217339997907262,0.028592084328335,0.084446903326391,0.00593591686698605,0.139876324618406,0.0962867266314776,0.0501320675547482,0.0458377493311013,0.0869162421832455,0.0896914469353187,0.134279615942399,0.0254193449874683,0.0387703340649745,0.110765459199074,0.125613446812407,0,0.100097077101848,0.0144819287686494,0,0.0180052106479446,0.012386058714193
"Cit_2",0.187363721842888,0.178763209420467,0.186222936186857,0.047140628660765,0.0153166416549946,0.167450507651796,0.0358967317217527,0.177498404737349,0.205296063041764,0,0.10023894480514,0.161116438439876,0.19131825742356,0.191177780578583,0.119025772926709,0.0981079815083532,0.189329029478269,0.18681276292373,0.0216738626904221,0.160811597395914,0.109221067234349,0.0388634165124834,0.126505417046199,0.09643339327261
