"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",9827.06364466641,25146.4385390447,30831.3099733732,11616.8042675306,11015.9630469417,13637.9536303368,9124.30605191001,13041.3270949843,18264.0165717443,6786.02588267878,6769.26304669315,8975.95132510016,13560.0153739992,29900.8346481305,11889.2098512219,7254.2980953923,29645.3091663354,54317.2095736159,10304.1376804328,11339.8378956418,14459.7098819456,6489.20181900931,10071.4118112109,6385.85782277461
"Pyr_1",500.442419435562,1132.33867409129,987.277434721936,302.435156979504,381.917954812633,398.105408615005,0,227.489061248984,667.748500109303,102.394887878617,378.756020502341,0,128.365933067251,1120.39005620264,778.209007119766,258.342325214515,365.973627212169,2291.48601973424,153.025759773828,492.421906179081,753.856816520189,243.998683680017,283.755751352151,169.154228482801
"Pyr_2",80.5663625284739,227.083172503266,341.627688783335,183.824163337343,0,323.98107478663,0,325.073164323405,598.923376569369,0,0,384.547315288676,246.489832749832,667.072789080498,256.101869230482,0,527.298062325454,227.22171387775,0,276.407541313602,309.568698447977,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,970.633505235587,0,0,0,0,0,0,0,0,0,0
"Lac_0",74843.2640478137,372023.139557965,624884.468252774,106309.204726386,84558.7835943149,143502.686654915,87192.9931222242,345592.999033645,191004.019064062,62618.4627183928,56919.6974597249,143461.286999998,143381.546939467,267220.946174246,85511.9034155848,67782.7067077192,433154.936703139,610754.524684398,68481.122247211,159991.099315621,103835.802744449,76256.3241334125,76066.1448308222,58023.7681250024
"Lac_1",3018.96289808603,10606.3399340046,23570.8373226223,3824.0135274812,3260.08619210131,4826.13189677818,2372.76433242887,9458.67656100962,8268.5270642107,2821.53807268236,2448.46498512871,4763.62216177655,5484.96634501609,9119.09644884361,3729.91360286484,2767.61250122169,16246.2955114511,20264.7663115731,2048.87046445074,5782.62818002237,3335.52945313626,2933.79603474653,3431.95366362847,2817.95288290509
"Lac_2",688.392520419505,1476.45262792185,1327.95637955354,185.155490844415,699.463836785276,725.147224601161,691.202059843891,1828.49974311074,1183.34321653439,40.5265242988108,500.165982437087,453.208423976292,1007.35889755923,1173.33856208182,558.222014049042,419.948576768065,583.123383931878,2244.01485064856,533.447603173922,1273.2004030502,140.276762973783,629.554441650218,485.610158790122,358.867891304964
"Lac_3",1976.9123413187,4609.84478724218,10138.6674372257,968.29342750973,475.805855127297,3610.49022103026,927.102095671392,5209.54018230473,5479.68642901485,261.810110367477,1417.42528205568,3172.24123299512,3052.68735553541,5625.95366386187,2003.56135427514,1552.05262988107,8101.35926403748,12400.8023009119,206.41616494858,3530.58522068618,3605.02027700684,630.342437083119,1755.31171933734,924.690972503478
"Cit_0",2170.18479962106,4142.88799119241,8408.2655749046,9643.13123550081,9777.52096623322,2680.81381008441,10779.3797130337,5214.99788142296,2819.74254497365,10539.2636730592,2530.27481902905,2370.90548447473,1812.71981301267,6508.58550827696,4357.58099999822,2828.66968410048,6156.46499999723,8207.58300000061,10335.2034832677,1886.48612246317,6746.34983591793,5245.40414280804,4715.85249999747,4376.07749853118
"Cit_1",1618.69379675569,2601.39967376919,5673.00612248829,998.701179924198,1029.99669119738,1605.1346605716,800.556077833018,3163.76392305824,2774.18579929163,1399.20966182041,701.377518358361,1426.39520120318,1245.68975922174,5017.86784229335,727.404959767274,565.590631678706,3595.88228113466,5907.79740474701,665.915794997273,1863.36602590569,895.197189169617,186.021155509574,603.779305948644,490.725765551555
"Cit_2",2816.12809937025,2942.6837336115,7206.47750388379,821.335741777197,251.588278066128,2845.43781632859,574.725621002232,3681.68569140512,5484.6337192899,0,1183.13151493177,2378.67438970858,2395.37341224544,6680.76796084124,1960.19268345607,950.27853779446,5514.06200464814,8150.62455103952,315.676791742027,2841.35450338276,3074.46407620715,358.831715657869,1869.67722695207,1434.52906060605
"Cit_3",913.996059778135,847.115458067108,2797.36607527209,600.771618162141,181.320761167556,1403.35682501866,287.985302946469,1043.86327105449,1846.75523174996,92.6113641356439,973.699470325576,1264.70105502469,989.626144708398,2467.40168918738,1144.20444307057,453.062522324019,2012.06289326082,3366.67645904492,45.2465938083904,1420.07629001419,1934.60293059144,28.7572016380772,645.501422184991,1062.08190507182
"Cit_4",6715.88188769073,5689.45616444616,14092.2014341609,5246.04199760354,3035.20836143691,8246.0230868195,3486.30137739481,7642.24816239514,13424.3256020666,2437.8897344871,5738.98054716694,6696.6877261667,5537.76789844259,13293.5961998388,8158.9378938483,4613.41371225813,11278.5715256494,16705.7146624537,2101.94969626407,9093.57863045042,14703.6178925369,1686.05174960648,6535.00623349902,7490.26938935243
"Cit_5",667.439184373616,406.927877143576,585.637198260665,0,204.241858878071,331.714436130458,155.09555036334,245.837324734102,458.534876746721,186.576609940044,304.864873789349,303.291572317589,431.764872576508,1037.77184134821,186.694064418585,0,394.732283665532,1341.20521835171,78.5198537634641,426.890805268773,917.632275674194,114.700326357329,680.180118606923,276.865560937274
"Cit_6",521.243307525526,0,412.210673494493,182.175973425113,106.73269314565,253.918970270517,75.9268837743446,0,690.694186024088,0,526.484181942566,599.803724535077,437.811239433513,452.322265071707,484.937817682617,546.614694764252,779.168619439283,599.592157483088,0,422.766023656272,915.860591733168,71.325091502655,379.99268036909,225.265818511578
"Mal_0",2500.09370642971,3666.22492090613,7447.51633846078,12417.1441456052,11564.346961503,2996.45473900845,8964.03568187228,4094.8104970046,4347.72805528595,9114.01538590914,3338.91763834741,2663.81070846054,2839.97821501984,5243.86831756426,4316.3488980739,3623.52027646482,6552.22825343427,11314.2297560623,9254.48675084677,3340.30788139187,5572.04907592174,10660.942983188,4289.93407881447,4187.68765455027
"Mal_1",1213.80017091633,2073.93577936084,5526.83336043784,1198.09590874026,572.487209541165,1912.02940227566,756.08217342144,2131.93856615133,3439.32783531116,550.767348663011,537.261058624311,1620.08146333511,1806.1777068529,3781.17073221373,746.678863551323,318.350266563717,4416.89914733301,8355.70895739211,507.817231969164,2172.38795935092,637.166719041911,434.729309319123,576.842452421249,589.96629579151
