"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.23143733,0.57053933,0.64378108,0.25244883,-16.96761972,0.35326645,-25.70288635,0.31258662,0.5742931,-10.05692684,-10.85527279,-14.92058228,0.2619067,0,0.3863227,-11.19397252,0.58527434,1.08354684,-15.26348388,0.33054495,0.4287915,-10.05176592,-15.31807869,-9.68051709
"Pyr_1",-1.59696401,-3.93683585,-4.44221864,-1.74194759,-46.15100562,-2.43760936,105.63356229,-2.15691041,-3.96273765,-27.13062947,-29.76826555,167.90565324,-1.80720875,0,-2.66570414,-30.45851112,-4.03851035,-7.47669062,-41.17209477,-2.28082645,-2.95874736,-27.37227691,-41.5542299,-26.24254524
"Pyr_2",-4.18056846,-10.30593779,-11.62894026,-4.56010975,498.65868024,-6.38122882,384.73577949,-5.64640878,-10.3737441,295.29811352,319.30938536,-4.58218535,-4.73095188,0,-6.97834049,328.99143334,-10.5721036,-19.57264953,448.17141771,-5.97079899,-7.74547566,295.44744569,450.0509494,284.3956554
"Pyr_3",46.74092703,115.22573815,130.01759298,50.98439585,36.76736204,71.34545311,17.11508664,63.12978335,115.98384789,17.04660026,28.66820937,51.23121254,52.8944996,0,78.02147171,24.50065517,118.20161012,218.8323892,25.7806668,66.75663441,86.59844144,22.46069717,30.85649191,19.11095406
"Lac_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,0.00045844,0,-0.09663948,0,0,0,0.02410682,0,-4.31582694,0,0,0,0,0,-0.18812072,0,0,0.0218453,0,0,0,0,0
"Cit_1",0,-0.01139352,0,0.06514828,0,0,0,-0.59912074,0,-16.22725069,0,0,0,0,0,0.12681919,0,0,-0.54291576,0,0,0,0,0
"Cit_2",0,0.0076808,0,1.16309368,0,0,0,0.40388962,0,49.00069533,0,0,0,0,0,2.26410591,0,0,0.36599975,0,0,0,0,0
"Cit_3",0,0.13712545,0,-2.16049551,0,0,0,7.21065053,0,1.63570474,0,0,0,0,0,-4.20567209,0,0,6.53420185,0,0,0,0,0
"Cit_4",0,-0.2547163,0,-8.04510453,0,0,0,-13.39408709,0,-3.03839046,0,0,0,0,0,-15.66079238,0,0,-12.13755518,0,0,0,0,0
"Cit_5",0,-0.94849503,0,24.45281446,0,0,0,-49.87598001,0,-11.31414934,0,0,0,0,0,47.6004319,0,0,-45.1969929,0,0,0,0,0
"Cit_6",0,2.88291753,0,0,0,0,0,151.59630062,0,34.38896206,0,0,0,0,0,0,0,0,137.3746826,0,0,0,0,0
"Mal_0",0,0,0,0,0,0,0,0,0,-4.41050085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mal_1",0,0,0,0,0,0,0,0,0,-14.03753443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mal_2",0,0,0,0,0,0,0,0,0,57.56189615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",-23.58089938,2.37147028,0,-58.80772277,-64.91316228,-35.62194305,-48.52202382,0,0,-50.75852237,-40.4356914,-26.17202451,0,-44.99764635,-28.63165373,-37.73063687,0,0,-63.53865967,0,2.46835854,-52.74787017,-41.30922328,0
"Succ_1",151.05916377,-9.98264659,0,286.63033667,316.38840415,223.55548998,306.10715883,0,0,319.36135813,197.08458844,167.14421176,0,288.8876785,181.68321706,183.90008386,0,0,309.68904349,0,-10.39049535,257.09446097,261.40202239,0
"Succ_2",-16.72432417,-26.68914642,0,152.88193568,168.75419474,0,-8.67962077,0,0,-4.42272554,105.1203223,-15.7641812,0,-35.36091601,-10.87813657,98.08801511,0,0,165.18091203,0,-27.77955219,137.12818853,-11.73413784,0
"Succ_3",104.95818486,167.49522052,0,15.9750715,17.63360933,0,54.47139344,0,0,27.75605403,10.98432367,98.93253853,0,221.9173416,68.26879566,10.24949774,0,0,17.26022678,0,174.3383676,14.32891732,73.64087161,0
"Succ_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_0",0,0,0,0,-2.66978747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_1",0,0,0,0,-7.12313822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_2",0,0,0,0,44.76787755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
