"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.943692210962125,0.94828175929431,0.958369594551665,0.95957259313901,0.966153733336479,0.949437835513823,1,0.959185562876429,0.934802312083008,0.984985065877151,0.94647722109116,0.958558460741546,0.973008200220354,0.915204008180798,0.919360560891746,0.965264962219283,0.970630114766524,0.9552777356154,0.985218603297158,0.936097408730104,0.931005648118901,0.963395814302831,0.972320874934528,0.973934012614075
"Pyr_1",0.0484098620166168,0.0429770075517963,0.0307920407373646,0.0249307892405299,0.0338462666635209,0.0275427846352743,0,0.0164157186297568,0.0339092888859916,0.0150149341228494,0.0535227789088398,0,0.00894394119337957,0.0342446876757578,0.0604203518086823,0.0347350377807169,0.0117526825201376,0.0406432367107567,0.0147813967028419,0.04061185734361,0.0486470309778069,0.0366041856971692,0.0276791250654719,0.0260659873859248
"Pyr_2",0.00789792702125787,0.00874123315389352,0.0108383647109701,0.0154966176204603,0,0.023019379850903,0,0.0243987184938146,0.0312883990310002,0,0,0.0414415392584544,0.0180478585862662,0.0199212509752777,0.0202190872995717,0,0.0176172027133385,0.00407902767384305,0,0.0232907339262863,0.0203473209032924,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306300531681665,0,0,0,0,0,0,0,0,0,0
"Lac_0",0.929034280266055,0.956781721971283,0.946546061931384,0.954926576954543,0.949792028037498,0.939668680549189,0.95596855136068,0.954176887366091,0.927089031003991,0.952049601661481,0.928356290488061,0.944437757917132,0.937222697728408,0.94345403420232,0.931055883775167,0.934261228746686,0.945218044132722,0.94561558850513,0.960581150617232,0.937596123029429,0.935857154232413,0.947504501900887,0.930174180182188,0.93352238675625
"Lac_1",0.0377016560631011,0.0274873622145947,0.0360420859723277,0.0346776582189535,0.0368438884586044,0.0318423798509875,0.0261330053269773,0.0262877307289781,0.040447573666458,0.0433402967897218,0.0401957815973728,0.0316329325414756,0.0361007117096255,0.0324540027357653,0.0409223366620119,0.0384361467122225,0.0358033540944615,0.0316379728194806,0.0288866074821973,0.0340968104630057,0.0303604050354371,0.0366784072495375,0.0422962394093026,0.0457040977470622
"Lac_2",0.00796307731259861,0.00350873890588334,0.00157813994520221,0.00142853539044273,0.00785394095834446,0.00411517210216236,0.00741984803996662,0.00470755076372802,0.00504015593813957,0.000505833388718967,0.00761183487584298,0.00239927092911084,0.00610376998994205,0.00361382955562424,0.00552929865492059,0.0052465012589255,0.000752005693858858,0.00295225640403698,0.00754732458509565,0.00697566702822306,0.000285474842011474,0.00774204767985071,0.0053976522203421,0.00543360968464582
"Lac_3",0.0253009863582456,0.0122221769082389,0.0158337121510855,0.00896722943606118,0.00551014254555316,0.0243737674976613,0.0104785952723757,0.0148278311412034,0.0274232393914119,0.00410426816007852,0.0238360930387231,0.0215300386122816,0.0205728205720246,0.0204781335062902,0.0224924809079001,0.022056123282166,0.0182265960789573,0.0197941822713523,0.00298491731547538,0.0213313994793425,0.0334969658901384,0.00807504316972452,0.0221319281881668,0.015339905812042
"Cit_0",0.139664223216127,0.247552233974735,0.213188480030131,0.550628419448458,0.669596444466662,0.1534508587776,0.666545216239324,0.246918679750656,0.101541544956939,0.718020136236909,0.211000012128808,0.156693261563299,0.140099203448657,0.182145670597064,0.255607750984867,0.283237335246253,0.205869769795252,0.184030800096813,0.762117909420241,0.104038020385345,0.230837400794009,0.680825493403873,0.305246051101913,0.284665160464381
"Cit_1",0.102300102558031,0.154407277719505,0.142540781799685,0.0567158739945829,0.0709767497122026,0.0900407259483152,0.0493187216378116,0.148667302911513,0.0978513822904387,0.0963154939627504,0.0572461617179926,0.0925920365113111,0.0941326180473994,0.139119190258687,0.0408386763606325,0.0553979809483399,0.11840385699254,0.13103491353212,0.0488933090308654,0.101623884503064,0.0288490687884577,0.0229917884028922,0.0370640325123675,0.030392826489766
"Cit_2",0.184732571385308,0.179176521124865,0.185707030670259,0.0470525230060499,0.0173435867918142,0.164971966809587,0.0358705382443351,0.177632645253428,0.201727364403308,0,0.0987246972850938,0.159040900578421,0.188071919363671,0.190319778494053,0.115729451970079,0.0963052908717041,0.187375486738883,0.18569540663388,0.0228828940355584,0.159336735647546,0.105737870895104,0.0460243168993671,0.12260254965258,0.09348208556721
"Cit_3",0.0429867920304797,0.0382767397753176,0.0586287350441778,0.0228499196479806,0.00416100958776772,0.0635299274094997,0.00939294275204218,0.0361009426648159,0.0489020952683304,0,0.0639560229285035,0.0681404994094039,0.0614568126089321,0.0561350686881844,0.0493344451536132,0.0272889179794024,0.0539640501502627,0.0626815636920252,0,0.0604483468531047,0.0473656751147357,0,0.0255246169576723,0.050989011572111
"Cit_4",0.451069968589517,0.354857348498051,0.373709564520584,0.31199765314512,0.215892897887815,0.493322826335385,0.224089350946135,0.378366076997188,0.507365802016728,0.172301248144778,0.498310763292188,0.462512296463902,0.446894075926608,0.388768110628059,0.498507654285546,0.480956806991602,0.39425957488781,0.391186599986288,0.160221975702413,0.526041885256576,0.522821758792367,0.225459299185788,0.438621033892521,0.506864967748365
"Cit_5",0.0433504120933275,0.0257298789075262,0.0150490658485617,0,0.0142573058491486,0.0191535353375129,0.00979271039405075,0.0123143524223994,0.0159333478805717,0.013363121655563,0.0240010477474625,0.0186628071241131,0.0331587622197448,0.0299627592581637,0.00971865572208518,0,0.0122908973050827,0.0309877987664717,0.00588391181092252,0.023500981290379,0.0310595104126275,0.0146248947146911,0.0447840390740439,0.01802433033163
"Cit_6",0.0358959301272103,0,0.0111763420866009,0.0107556107578089,0.00777200570459002,0.0155301593821003,0.00499051978630151,0,0.0266784631836844,0,0.0467612948999514,0.0423581983495505,0.0361866083849879,0.0135494220757887,0.0302633655231774,0.0568136679626985,0.0278363641301698,0.014382917292402,0,0.0250101460639853,0.0333287152026979,0.0100742073933889,0.026157676808903,0.0155816178265369
"Mal_0",0.129162891374768,0.214492308184921,0.154899534922595,0.550810602381554,0.694320937206365,0.115644533793527,0.571698621532197,0.201292128637101,0.0987023174850967,0.732363022884865,0.248121417715778,0.12629220897316,0.106715502116139,0.145306524490696,0.247484533977838,0.261352728585182,0.154468898923935,0.137342798825194,0.742924655499431,0.103070001720958,0.229895800494979,0.632462085851847,0.265267775129848,0.229547404446045
"Mal_1",0.0602984777949039,0.11961185264535,0.113101287498226,0.0535784685430056,0.0340995768613116,0.0721848818393263,0.0480391039061558,0.102845787297493,0.0759606394557114,0.0446468912601139,0.0382989984971877,0.0753865348379776,0.0659383945798467,0.103307459439697,0.0415366185776022,0.0205583765904615,0.102314782055842,0.0996054155594642,0.0406341487326343,0.064880680308231,0.0246281657630117,0.0257305099455829,0.034172586665448,0.0308053594515843
"Mal_2",0.166575152228712,0.181543578256747,0.192930477535928,0.00759792228162106,0.0315954153553551,0.140385380245389,0.0354037824068346,0.177511212514011,0.175625221829679,0,0.10413513257148,0.132611068937093,0.151474911184527,0.163639434963676,0.0886069500087113,0.132142370146955,0.177878464985999,0.179251839467716,0.00803887136939488,0.162414916259062,0.0971264259219656,0.0164324846103654,0.0944759162408464,0.0946193446202867
"Mal_3",0.0459126715676124,0.0348544976922179,0.0438390026560641,0.0112741487460181,0.0134038777540256,0.0571071721112557,0.00115925963531227,0.0415016034996079,0.0464658421134025,0.0121596413035306,0.0270127527293767,0.0485024795223304,0.0593004717107699,0.0527253005768321,0.02471556542779,0.0316089186981639,0.0489521022898424,0.0597295641337551,0,0.0490135458052182,0.0355830624674483,0.00370687980888287,0.042161440349128,0.0352122126904682
"Mal_4",0.598050807034004,0.449497763220765,0.495229697387186,0.376738858047801,0.226580192822943,0.614678032010502,0.343699232519501,0.476849268051787,0.60324597911611,0.21083044455149,0.582431698486178,0.617207707729439,0.616570720408718,0.535021280529099,0.597656332008058,0.554337605979238,0.516385751744381,0.524070382013871,0.208402324398539,0.620620855906531,0.612766545352595,0.321668039783322,0.563922281614729,0.609815678791615
"Succ_0",0.270874471722457,0.303316581711365,0.211197474078241,0.632571398325484,0.746382071253164,0.255909189960794,0.622124713199597,0.256637237584297,0.262096271438403,0.721732100728002,0.557460851357911,0.269695974898982,0.2097527072086,0.245498719431134,0.410678092563207,0.479156155822263,0.214488909854562,0.162105911057054,0.756165994045604,0.255406464726307,0.371853735679029,0.671273062408011,0.515009484140114,0.414401155446358
"Succ_1",0,0.160041235686682,0.128957859659854,0,0,0,0,0.155160975716222,0.0701002635725641,0,0,0,0.0899626590777368,0,0,0,0.0978806978598477,0.0881327884695364,0,0.113129898988239,0.0927398691414425,0,0,0.0546053963536124
"Succ_2",0.171732051632281,0.142166068338181,0.179456333994611,0,0,0.148219873525985,0.0733207264140299,0.141586296482468,0.152161394411043,0.0188521969151562,0,0.142444987810732,0.148474763714051,0.173513978113744,0.129368128901765,0,0.183219543171224,0.178506288473981,0,0.133376953517646,0.13133079145584,0,0.114294463853651,0.143448013257046
"Succ_3",0,0,0.00874875400451042,0,0,0.0323171503944503,0,0.0139854525369977,0.0171224961450591,0,0,0,0,0,0,0,0,0.0289079366869412,0,0,0,0,0,0.00878436816258501
"Succ_4",0.557393476645263,0.394476114263772,0.471639578262785,0.367428601674516,0.253617928746836,0.56355378611877,0.304554560386373,0.432630037680016,0.49851957443293,0.259415702356842,0.442539148642089,0.587859037290286,0.551809869999612,0.580987302455122,0.459953778535027,0.520843844177737,0.504410849114366,0.542347075312487,0.243834005954396,0.498086682767808,0.404075603723689,0.328726937591989,0.370696052006235,0.378761066780398
"Fum_0",0.164300932581529,0.24212246948422,0.174935894256837,0.604103512798102,0.724325208584514,0.168310206032249,0.623807466259828,0.262857687924968,0.12059093591111,0.72608972362824,0.307466161619136,0.150977201732148,0.138058270391284,0.169012141244142,0.289991092097333,0.315227582951131,0.175837901155828,0.14568790574756,0.758185372521256,0.131054901106661,0.25150281720782,0.661700259354916,0.345311240323819,0.310235390547468
