"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",9822.01689077847,25135.0239436224,30821.3723299876,11613.7681224375,11012.1052892304,13633.9654192484,9124.30605191001,13039.0623928077,18257.332745368,6784.99159049082,6765.43722795962,8975.38023927821,13558.7438977017,29889.5846381568,11881.3752840558,7251.68857655745,29641.6662630737,54294.0864329201,10302.5919650934,11334.8921387212,14452.1267517184,6486.73718548632,10068.5455909485,6384.14919385225
"Pyr_1",499.265469970453,1128.77000120319,981.26158563536,298.991417635838,382.263005589788,391.914091866317,0,221.121519090675,656.241384502993,102.487400688876,379.098212112273,0,123.497814476201,1108.21125285063,773.733630122635,258.575729205381,355.642157152336,2288.96177604961,153.164017189698,487.277749124819,748.278324934894,244.219128440047,284.012116811844,169.307054869807
"Pyr_2",80.7122925665669,227.494484300025,342.246461590211,184.157110898875,0,324.567876161013,0,325.661941002388,600.008157925975,0,0,381.001240942599,246.936277735958,638.814601023745,256.56573364556,0,528.253111609728,227.633295866207,0,276.908178881028,310.12940172325,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,973.276816752992,0,0,0,0,0,0,0,0,0,0
"Lac_0",74812.8376725703,371916.150703117,624646.504029479,106270.596220651,84525.9243069564,143454.008113816,87169.0953738496,345497.638039563,190920.613678061,62589.9661989291,56895.0150614591,143413.212576017,143326.242874019,267128.948006766,85474.2824112667,67754.7922738091,432990.883854792,610550.046252147,68460.4808010881,159932.815196356,103802.121124754,76226.7534140709,76031.5263701007,57995.3396168826
"Lac_1",3010.4872138773,10594.908359611,23584.92231422,3826.7039933584,3251.31343340908,4820.31505848892,2362.87235704038,9438.46258781579,8259.53931412316,2825.32878010961,2442.71039813187,4763.07312668873,5474.32596567264,9111.72171876604,3725.22157418887,2764.03479194916,16263.0663538637,20255.7004196334,2041.42954480697,5767.23310652021,3339.15205233488,2925.96131767835,3428.17635997587,2815.49959831972
"Lac_2",630.509731781477,1341.06458531124,1024.01082246397,156.314985210116,687.251211122511,617.721064204368,665.243159698456,1676.01412806435,1020.56771487585,32.6978432206995,458.685872357888,358.229698921193,917.79893943528,1006.08424152503,499.109959238442,374.117433606441,338.714938751576,1874.24858691223,528.890036655861,1169.96802943315,31.1337173203702,612.418717632586,433.8112407483,331.912241531748
"Lac_3",1986.48537846177,4632.16760836413,10187.7631034295,972.982322643381,478.109941395728,3627.97370488873,931.591530428986,5234.76696841399,5506.2213419953,263.077921164939,1424.28905097219,3187.6025327469,3067.46975013677,5653.19686689792,2013.26343791096,1559.56831778275,8140.58939851229,12460.8521242534,207.415745374864,3547.68179657133,3622.47724439238,633.394846215492,1763.81167533901,929.168724948199
"Cit_0",2154.12088538713,4116.91071490785,8351.69517255043,9633.09015175735,9767.14250512057,2664.8893749784,10771.3517031876,5183.41539129391,2792.27844149986,10525.1634653672,2523.31002880099,2356.73898505188,1800.38058420397,6458.57934916946,4350.43246490742,2822.94207114438,6120.70371961368,8148.73676748798,10330.1901487876,1867.95287346751,6737.61944064803,5245.2247250239,4709.94395348749,4371.26609937155
"Cit_1",1567.24559017317,2550.63579932199,5546.59076389782,985.570548379721,1028.36332321682,1553.19125275324,791.641381276048,3099.94234520809,2672.74796531826,1402.37599197515,680.002630660033,1383.28251677162,1201.55838499456,4899.83295165561,690.408541653162,548.430360920484,3496.6383338677,5763.1893313564,658.281522813432,1812.36519366406,836.388758565482,175.945081352144,568.060300617655,463.575103229196
"Cit_2",2811.15270221431,2939.96228506376,7177.86536429998,812.168194809949,249.602748830952,2826.67628077813,571.919026279864,3679.09423257069,5473.13085070741,0,1164.85000211955,2360.07634663293,2384.56229183546,6658.21984320005,1943.38286466778,947.016779903709,5496.39091484986,8112.5427096364,306.02235874057,2822.57708429817,3044.99738149251,349.841802635689,1866.4710035895,1416.30692995006
"Cit_3",649.770248445527,623.848912975443,2250.92647927737,391.770349176224,59.4830167817348,1081.25494250883,148.758623373223,742.71209199612,1317.8995457263,0,749.565290154025,1004.39920960225,773.995742078382,1950.70811022654,822.902809027194,266.549374027421,1572.36439259899,2720.06624595311,0,1063.64853948649,1354.88962747382,0,385.980001034994,767.342768290151
"Cit_4",6772.61416688198,5744.9456136491,14251.8956725542,5313.56318354858,3065.63369701444,8340.04882205561,3525.2451959111,7732.17687232164,13581.9981642885,2458.71487789722,5801.1743938471,6771.92233910342,5590.63027870075,13419.4989466181,8259.5761784082,4666.4332943578,11410.8644872225,16862.0846124233,2114.14977346157,9194.36373698785,14855.301663771,1690.92351192822,6588.44097002156,7576.92036068688
"Cit_5",646.542515423555,413.7721898755,570.084720354845,0,201.099415639323,321.645712246476,153.0250248892,249.972712745765,423.682915341358,189.417065862167,277.547481915878,271.429527248612,412.04620840902,1027.35114323596,159.949750451209,0,353.355068833972,1326.81220735792,77.1207527822297,408.017498658576,876.625025216351,108.953201352319,668.202201307646,267.640000433457
"Cit_6",531.795012826544,0,420.556873644248,180.740810966173,108.893421506958,259.059738403172,77.4641072910471,0,704.67670108628,0,537.141627067786,611.945566904742,446.674009443291,461.480193519757,494.754534401577,543.899228776592,794.941985646686,611.731586173644,0,431.324583104457,934.400412981783,74.5509746007198,387.685003893477,229.826245677458
