"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.23143717,0.57053893,0.64378065,0.25244867,-16.96762024,0.35326621,-25.70288635,0.31258642,0.57429271,-10.05692719,-10.85527307,-15.45286467,0.26190653,0,0.38632242,-11.19397286,0.58527397,1.0835461,-15.26348441,0.33054472,0.42879119,-10.05176622,-15.31807917,-9.6805174
"Pyr_1",-1.5969629,-3.93683315,-4.4422157,-1.74194646,-46.15099764,-2.43760773,105.63356229,-2.15690902,-3.96273494,-27.13062507,-29.76826008,175.5411246,-1.80720764,0,-2.66570223,-30.45850584,-4.03850785,-7.47668555,-41.17208811,-2.28082488,-2.95874529,-27.37227213,-41.55422286,-26.24254082
"Pyr_2",-4.18056648,-10.30593303,-11.62893518,-4.5601078,498.65867589,-6.381226,384.73577949,-5.64640641,-10.37373934,295.29811254,319.30938083,-8.15234012,-4.73095004,0,-6.97833705,328.99143038,-10.57209941,-19.57264066,448.17141626,-5.97079621,-7.74547197,295.44744289,450.05094626,284.39565355
"Pyr_3",46.74091645,115.22571326,130.01756822,50.98438657,36.76735504,71.34543912,17.11508664,63.12977236,115.9838232,17.04659848,28.66820233,51.17539612,52.89449206,0,78.02145242,24.50065043,118.20159238,218.83234388,25.78066414,66.75661976,86.59842144,22.46069268,30.85648676,19.110951
"Lac_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,0.0004582,0,-0.13272292,0,0,0,0.02410115,0,-4.29754036,0,0,0,0,0,-0.2981255,0,0,1.66681158,0,0,1.62737672,0,0
"Cit_1",0,-0.01138999,0,0.09728081,0,0,0,-0.59911003,0,-17.68995156,0,0,0,0,0,0.21851456,0,0,-3.66646468,0,0,-3.09584687,0,0
"Cit_2",0,0.00767876,0,1.58806888,0,0,0,0.40390062,0,50.00822407,0,0,0,0,0,3.56715953,0,0,-10.91951347,0,0,-11.15895084,0,0
"Cit_3",0,0.1370846,0,-3.0565239,0,0,0,7.21061099,0,7.44283769,0,0,0,0,0,-6.86563947,0,0,41.58729677,0,0,34.74716241,0,0
"Cit_4",0,-0.25463987,0,-10.84266873,0,0,0,-13.3939846,0,-3.27981063,0,0,0,0,0,-24.35507028,0,0,-13.41042938,0,0,-1.39708221,0,0
