"","sample1","sample2","sample3"
"NL-C2-LabC2_0",0.221529090128802,0.160944274058449,0.139405117106883
"NL-C2-LabC2_1",0.223925088576571,0.162685003596937,0.140912884976127
"NL-C2-LabC2_2",0.226347001492541,0.164444560393143,0.142436960452974
"NL-C2-LabC2_3",0.228795109160559,0.166223148077573,0.143977519916076
"NL-C2-LabC2_4",0.0578174237239865,0.168020972483143,0.14553474165175
"NL-C2-LabC2_5",0.0277778073553393,0.166063559811563,0.143839289332589
"NL-C2-LabC2_6",0.0138084795622008,0.0116184815791914,0.1438934865636
"NL-C4-LabC2_0",0.222440161598305,0.161834596686995,0.140072588074078
"NL-C4-LabC2_1",0.224846013947543,0.163584955713125,0.141587575127947
"NL-C4-LabC2_2",0.227277887342104,0.165354246146897,0.143118947870158
"NL-C4-LabC2_3",0.228056699833101,0.165920865072497,0.14360937316231
"NL-C4-LabC2_4",0.0563806979693129,0.167732166908136,0.145177108004521
"NL-C4-LabC2_5",0.027455338082137,0.16575081592997,0.143462190643979
"NL-C4-LabC2_6",0.0135432012274971,0.00982235354237962,0.142972217117007
"NL-C6-LabC2_0",0.223371146758803,0.162741400704513,0.140751400673312
"NL-C6-LabC2_1",0.225787068390582,0.164501567476511,0.142273729579816
"NL-C6-LabC2_2",0.228229119974307,0.166280771734066,0.143812523582145
"NL-C6-LabC2_3",0.227268583475839,0.165580954154863,0.143207266996776
"NL-C6-LabC2_4",0.0549358433547937,0.167447417852793,0.144821529739091
"NL-C6-LabC2_5",0.0271317461403755,0.165441304222543,0.143086486891081
"NL-C6-LabC2_6",0.0132764919052986,0.0080065838547114,0.142047062537778
"NL-C8-LabC2_0",0.224322631173379,0.163665170515558,0.141441863246683
"NL-C8-LabC2_1",0.226748843802061,0.165435328530838,0.142971660008777
"NL-C8-LabC2_2",0.229201297687316,0.167224632094246,0.144518002636993
"NL-C8-LabC2_3",0.226427911618007,0.165201177298069,0.142769303047061
"NL-C8-LabC2_4",0.0534839639806254,0.167167881811788,0.144468958202766
"NL-C8-LabC2_5",0.026807014337288,0.165135159313432,0.142712249327412
"NL-C8-LabC2_6",0.0130083374013229,0.00617065043606916,0.141117963530308
"NL-C10-LabC2_0",0.225295187654106,0.164606390453496,0.142144281064252
"NL-C10-LabC2_1",0.227731919189433,0.166386728447888,0.143681674986609
"NL-C10-LabC2_2",0.230195005750968,0.168186322094297,0.145235696943909
"NL-C10-LabC2_3",0.22553173414866,0.164779217334746,0.142293524071867
"NL-C10-LabC2_4",0.052026316122911,0.166894832656661,0.144120443537834
"NL-C10-LabC2_5",0.0264811071506761,0.16483249219912,0.142339529073704
"NL-C10-LabC2_6",0.0127387299832448,0.00431401681379037,0.140184850321826
