"","sample1","sample2","sample3"
"NL-C2-LabC2_0",98.98918373,98.98918532,98.98918532
"NL-C2-LabC2_1",98.98950217,98.98918415,98.98918415
"NL-C2-LabC2_2",98.94224116,98.98919397,98.9892089
"NL-C2-LabC2_3",102.05470636,98.98880334,98.98682843
"NL-C2-LabC2_4",25.41455922,98.95929776,99.10590353
"NL-C2-LabC2_5",12.1249977,102.43644522,96.63495882
"NL-C2-LabC2_6",6.21093073,7.19308899,102.84993056
"NL-C4-LabC2_0",98.9891845,98.98918608,98.98918608
"NL-C4-LabC2_1",98.98927425,98.98895621,98.98895621
"NL-C4-LabC2_2",98.96463613,99.01159469,99.01160964
"NL-C4-LabC2_3",101.33125407,98.26479659,98.2628207
"NL-C4-LabC2_4",24.6732392,98.24489167,98.39149756
"NL-C4-LabC2_5",11.93800712,101.74729625,95.94580983
"NL-C4-LabC2_6",6.06666102,6.04763819,101.70447985
"NL-C6-LabC2_0",98.98918528,98.98918687,98.98918687
"NL-C6-LabC2_1",98.98903863,98.98872056,98.98872056
"NL-C6-LabC2_2",98.98779315,99.03475746,99.0347724
"NL-C6-LabC2_3",100.58266719,97.51565525,97.51367937
"NL-C6-LabC2_4",23.93222681,97.53079323,97.67739915
"NL-C6-LabC2_5",11.7510321,101.05816288,95.25667644
"NL-C6-LabC2_6",5.92240209,4.90219825,100.55904007
"NL-C8-LabC2_0",98.9891861,98.98918768,98.98918768
"NL-C8-LabC2_1",98.98879503,98.98847692,98.98847692
"NL-C8-LabC2_2",99.01174197,99.05871206,99.058727
"NL-C8-LabC2_3",99.80791024,96.74034384,96.73836795
"NL-C8-LabC2_4",23.19214642,96.81762681,96.96423277
"NL-C8-LabC2_5",11.56408501,100.36905745,94.56757099
"NL-C8-LabC2_6",5.77816964,3.75678491,99.41362699
"NL-C10-LabC2_0",98.98918694,98.98918853,98.98918853
"NL-C10-LabC2_1",98.98854307,98.98822493,98.98822494
"NL-C10-LabC2_2",99.03651583,99.08349168,99.0835066
"NL-C10-LabC2_3",99.0059446,95.93782374,95.93584785
"NL-C10-LabC2_4",22.45368836,96.10608273,96.25268874
"NL-C10-LabC2_5",11.3771704,99.67998463,93.87849812
"NL-C10-LabC2_6",5.63398642,2.61141985,98.26826229
