"","sample1","sample2","sample3"
"NL-C2-LabC2_0",0.22359011365934,0.163741578834266,0.142523748434705
"NL-C2-LabC2_1",0.223590832930205,0.163741576898927,0.142523746750149
"NL-C2-LabC2_2",0.223484082937939,0.163741593142542,0.142523782384979
"NL-C2-LabC2_3",0.23051431009616,0.163740946987382,0.142520355005449
"NL-C2-LabC2_4",0.0574046978718513,0.163692140744175,0.14269179827516
"NL-C2-LabC2_5",0.0273871297015314,0.169443815668051,0.139134154062758
"NL-C2-LabC2_6",0.0140288328029734,0.011898347724658,0.148082415086799
"NL-C4-LabC2_0",0.224489574750918,0.164626832908728,0.143193973257087
"NL-C4-LabC2_1",0.224489778287693,0.164626450616767,0.143193640735931
"NL-C4-LabC2_2",0.224433903485719,0.164664100196603,0.143226410321964
"NL-C4-LabC2_3",0.22980096512616,0.163422115987077,0.142143240859767
"NL-C4-LabC2_4",0.0559544459701624,0.16338901253337,0.142329379887466
"NL-C4-LabC2_5",0.0270732419433381,0.169213787909383,0.138791541490434
"NL-C4-LabC2_6",0.0137580904360089,0.0100576998480719,0.147121813447351
"NL-C6-LabC2_0",0.225408643568465,0.165528366702045,0.143875559467474
"NL-C6-LabC2_1",0.225408309631202,0.165527586944829,0.143874881710496
"NL-C6-LabC2_2",0.225405473544042,0.165604569220429,0.143941815629786
"NL-C6-LabC2_3",0.22903716717807,0.163064347246437,0.141730987178586
"NL-C6-LabC2_4",0.0544961630662585,0.163089660769902,0.141968945239342
"NL-C6-LabC2_5",0.0267583190900922,0.168988080136511,0.138450552521617
"NL-C6-LabC2_6",0.0134859239218697,0.00819738897984667,0.1461572582527
"NL-C8-LabC2_0",0.226347896589705,0.166446657435537,0.144568816696685
"NL-C8-LabC2_1",0.22634700237211,0.166445462318888,0.14456777866683
"NL-C8-LabC2_2",0.226399472665147,0.166563560108773,0.144670375437007
"NL-C8-LabC2_3",0.228219984787188,0.162665309704181,0.141281605713446
"NL-C8-LabC2_4",0.0530309801139729,0.162795258159509,0.141611470121126
"NL-C8-LabC2_5",0.0264423460897416,0.168766857411875,0.138111264031175
"NL-C8-LabC2_6",0.0132123173821357,0.00631689486123647,0.145188689333731
"NL-C10-LabC2_0",0.227307895434499,0.167382181077289,0.145274050618674
"NL-C10-LabC2_1",0.227306416922157,0.167380551712789,0.145272636478155
"NL-C10-LabC2_2",0.227416576298659,0.167541639571331,0.145412469452881
"NL-C10-LabC2_3",0.22734637588418,0.162222586363995,0.14079304440891
"NL-C10-LabC2_4",0.0515601835273919,0.162507097805601,0.141258032153284
"NL-C10-LabC2_5",0.0261252843827396,0.168550257708836,0.137773729539734
"NL-C10-LabC2_6",0.0129372675503738,0.00441568576015811,0.144216037348362
