"","sample1","sample2","sample3"
"NL-C2-LabC2_0",0.22290239917016,0.163069475338988,0.141863057275792
"NL-C2-LabC2_1",0.223328898833416,0.163380963651445,0.142134037998696
"NL-C2-LabC2_2",0.223599713867595,0.163657235947305,0.142374403855829
"NL-C2-LabC2_3",0.230973057839624,0.16389748321534,0.142580541964759
"NL-C2-LabC2_4",0.0575910284726339,0.164053983859639,0.142930970582439
"NL-C2-LabC2_5",0.0275044610990812,0.169994119460113,0.139511595759793
"NL-C2-LabC2_6",0.0141004407174891,0.0119467385271699,0.148605392562693
"NL-C4-LabC2_0",0.223713622057722,0.163862528228675,0.142438294763899
"NL-C4-LabC2_1",0.224190072045843,0.164210981234378,0.142741189223506
"NL-C4-LabC2_2",0.224562200319146,0.164562127403114,0.143046446327024
"NL-C4-LabC2_3",0.23032094329516,0.16359694429856,0.14220457516855
"NL-C4-LabC2_4",0.0561635713249991,0.163804466599256,0.142600302570961
"NL-C4-LabC2_5",0.0272084728072728,0.169856599252839,0.139229952375552
"NL-C4-LabC2_6",0.013841118149857,0.0101063529831782,0.147739239570507
"NL-C6-LabC2_0",0.224544619320606,0.164671775891712,0.143024571909697
"NL-C6-LabC2_1",0.225071399268044,0.165057561596367,0.143359643508691
"NL-C6-LabC2_2",0.225547419465504,0.165485662250431,0.143731489157351
"NL-C6-LabC2_3",0.229618724714324,0.163258200638375,0.141793947444747
"NL-C6-LabC2_4",0.0547268286445723,0.163559373299574,0.14227194080293
"NL-C6-LabC2_5",0.0269110987490486,0.16972402626592,0.138950092038627
"NL-C6-LabC2_6",0.0135799098379007,0.00824340005762086,0.146868315137957
"NL-C8-LabC2_0",0.225395973904599,0.16549769713737,0.143622189030772
"NL-C8-LabC2_1",0.22597347685233,0.165921194624969,0.143989708562888
"NL-C8-LabC2_2",0.226556087346495,0.16642842578984,0.144429915626295
"NL-C8-LabC2_3",0.228863433696767,0.162878914928554,0.141346670791675
"NL-C8-LabC2_4",0.0532819135587828,0.163319896599251,0.14194686833176
"NL-C8-LabC2_5",0.0266123206450471,0.169596588312242,0.138672098154018
"NL-C8-LabC2_6",0.0133167939959788,0.00635728260777452,0.145992549502593
"NL-C10-LabC2_0",0.226268254288122,0.166340769828867,0.144231442226139
"NL-C10-LabC2_1",0.226896887011619,0.166802369470085,0.144631687965551
"NL-C10-LabC2_2",0.22758891734543,0.167391011317026,0.145142111812079
"NL-C10-LabC2_3",0.228051986495568,0.162456661628202,0.140860692473746
"NL-C10-LabC2_4",0.051830097080839,0.163087352036093,0.141626171309243
"NL-C10-LabC2_5",0.026312096396651,0.169474446856028,0.138396030877685
"NL-C10-LabC2_6",0.0130517613817705,0.00444738886369995,0.145111863335556
