"","sample1","sample2","sample3"
"NL-C2-LabC2_0",93.74930449,93.74930449,93.74930449
"NL-C2-LabC2_1",100.84707353,100.84707353,100.84707353
"NL-C2-LabC2_2",101.07737615,101.07737615,101.07737615
"NL-C2-LabC2_3",101.08152764,101.08152764,101.08152764
"NL-C2-LabC2_4",27.67798579,101.08157254,101.08157254
"NL-C2-LabC2_5",12.31908797,98.88283797,98.88283797
"NL-C2-LabC2_6",5.97376456,7.82550431,97.82550431
"NL-C4-LabC2_0",93.74930449,93.74930449,93.74930449
"NL-C4-LabC2_1",100.84707353,100.84707353,100.84707353
"NL-C4-LabC2_2",101.07737615,101.07737615,101.07737615
"NL-C4-LabC2_3",100.3737456,100.3737456,100.3737456
"NL-C4-LabC2_4",26.94928433,100.35287108,100.35287108
"NL-C4-LabC2_5",12.11951916,98.15399366,98.15399366
"NL-C4-LabC2_6",5.83595258,6.73999333,96.73999333
"NL-C6-LabC2_0",93.74930449,93.74930449,93.74930449
"NL-C6-LabC2_1",100.84707353,100.84707353,100.84707353
"NL-C6-LabC2_2",101.07737615,101.07737615,101.07737615
"NL-C6-LabC2_3",99.6423694,99.6423694,99.6423694
"NL-C6-LabC2_4",26.22010714,99.62369389,99.62369389
"NL-C6-LabC2_5",11.91996194,97.42516094,97.42516094
"NL-C6-LabC2_6",5.69815004,5.65449179,95.65449179
"NL-C8-LabC2_0",93.74930449,93.74930449,93.74930449
"NL-C8-LabC2_1",100.84707353,100.84707353,100.84707353
"NL-C8-LabC2_2",101.07737615,101.07737615,101.07737615
"NL-C8-LabC2_3",98.8864501,98.8864501,98.8864501
"NL-C8-LabC2_4",25.49101077,98.89459752,98.89459752
"NL-C8-LabC2_5",11.72044331,96.69636681,96.69636681
"NL-C8-LabC2_6",5.56037409,4.56901684,94.56901684
"NL-C10-LabC2_0",93.74930449,93.74930449,93.74930449
"NL-C10-LabC2_1",100.84707353,100.84707353,100.84707353
"NL-C10-LabC2_2",101.07737615,101.07737615,101.07737615
"NL-C10-LabC2_3",98.1050388,98.1050388,98.1050388
"NL-C10-LabC2_4",24.76261336,98.16620011,98.16620011
"NL-C10-LabC2_5",11.52098328,95.96763128,95.96763128
"NL-C10-LabC2_6",5.42264471,3.48358846,93.48358846
