"","sample1","sample2","sample3"
"NL-C2-LabC2_0",87.8893209254034,87.8893209254034,87.8893209254034
"NL-C2-LabC2_1",94.5434300348474,94.5434300348474,94.5434300348474
"NL-C2-LabC2_2",94.7593371393241,94.7593371393241,94.7593371393241
"NL-C2-LabC2_3",94.7632291323252,94.7632291323252,94.7632291323252
"NL-C2-LabC2_4",25.9479191755022,94.7632712257629,94.7632712257629
"NL-C2-LabC2_5",11.5490592916249,92.7019728587641,92.7019728587641
"NL-C2-LabC2_6",5.60036272698583,7.33635586361156,91.7107299063549
"NL-C4-LabC2_0",86.0185519059525,86.0185519059525,86.0185519059525
"NL-C4-LabC2_1",92.5310249094063,92.5310249094063,92.5310249094063
"NL-C4-LabC2_2",92.7423363210516,92.7423363210516,92.7423363210516
"NL-C4-LabC2_3",92.0967285342307,92.0967285342307,92.0967285342307
"NL-C4-LabC2_4",24.726993182287,92.0775753683283,92.0775753683283
"NL-C4-LabC2_5",11.1201197023371,90.0600217180261,90.0600217180261
"NL-C4-LabC2_6",5.35470841788436,6.18420018427145,88.7626226445843
"NL-C6-LabC2_0",84.1876031591728,84.1876031591728,84.1876031591728
"NL-C6-LabC2_1",90.5614548533869,90.5614548533869,90.5614548533869
"NL-C6-LabC2_2",90.7682683938665,90.7682683938665,90.7682683938665
"NL-C6-LabC2_3",89.4796211931546,89.4796211931546,89.4796211931546
"NL-C6-LabC2_4",23.5458597447917,89.4628504402063,89.4628504402063
"NL-C6-LabC2_5",10.7042183505927,87.488550785037,87.488550785037
"NL-C6-LabC2_6",5.11698296769886,5.07777752030255,85.8984761435522
"NL-C8-LabC2_0",82.3956270902522,82.3956270902522,82.3956270902522
"NL-C8-LabC2_1",88.6338081004906,88.6338081004906,88.6338081004906
"NL-C8-LabC2_2",88.8362195092862,88.8362195092862,88.8362195092862
"NL-C8-LabC2_3",86.9106294819236,86.9106294819236,86.9106294819236
"NL-C8-LabC2_4",22.4038762632374,86.9177901940347,86.9177901940347
"NL-C8-LabC2_5",10.3010180348187,84.9857801506021,84.9857801506021
"NL-C8-LabC2_6",4.88697502871405,4.0156778737263,83.1160667082237
"NL-C10-LabC2_0",80.6417941458663,80.6417941458663,80.6417941458663
"NL-C10-LabC2_1",86.7471922918295,86.7471922918295,86.7471922918295
"NL-C10-LabC2_2",86.9452952705591,86.9452952705591,86.9452952705591
"NL-C10-LabC2_3",84.3885337242765,84.3885337242765,84.3885337242765
"NL-C10-LabC2_4",21.300441426782,84.4411437974663,84.4411437974663
"NL-C10-LabC2_5",9.91018298298767,82.5499667272056,82.5499667272056
"NL-C10-LabC2_6",4.66448045464312,2.99653234771679,80.4132290646736
