"","sample1","sample2","sample3"
"NL-C2-LabC2_0",0.209476811319118,0.153405994904033,0.13352746194432
"NL-C2-LabC2_1",0.225498949794826,0.165138974733825,0.143740068164149
"NL-C2-LabC2_2",0.225921944260837,0.165523579407885,0.1440748558775
"NL-C2-LabC2_3",0.232730658707975,0.165529960403042,0.144077638086627
"NL-C2-LabC2_4",0.063640173200466,0.165482252522886,0.144245316978747
"NL-C2-LabC2_5",0.0283996267126709,0.171170196541107,0.140731620140963
"NL-C2-LabC2_6",0.0143318360041069,0.0137490414872221,0.149603038807694
"NL-C4-LabC2_0",0.210319497307049,0.154235370739136,0.134155381415355
"NL-C4-LabC2_1",0.226405598669957,0.166031423648309,0.144415699587782
"NL-C4-LabC2_2",0.226879384677767,0.166454116403063,0.144783382450754
"NL-C4-LabC2_3",0.232080979290034,0.165260980734142,0.143742795415705
"NL-C4-LabC2_4",0.0621991308723043,0.165176169661094,0.143879215941099
"NL-C4-LabC2_5",0.0280578792210068,0.170936067828865,0.140384834264546
"NL-C4-LabC2_6",0.0140575299618814,0.0119058709853911,0.148638690924759
"NL-C6-LabC2_0",0.211180554861825,0.155079999402743,0.134793945668565
"NL-C6-LabC2_1",0.227332003594268,0.16694027576991,0.145102776300543
"NL-C6-LabC2_2",0.227858697462266,0.167402720895182,0.145504749661474
"NL-C6-LabC2_3",0.231383397358208,0.16495508270504,0.143374488008657
"NL-C6-LabC2_4",0.0607486431474927,0.16487255843577,0.143513949293908
"NL-C6-LabC2_5",0.0277149163864619,0.170706278621904,0.140039683646853
"NL-C6-LabC2_6",0.0137817871894782,0.0100430841694513,0.147670407419999
"NL-C8-LabC2_0",0.21206052036596,0.155940326135797,0.135443443376983
"NL-C8-LabC2_1",0.228278740995142,0.167866009609448,0.145801608415631
"NL-C8-LabC2_2",0.228860562677665,0.168369954330879,0.146239335263061
"NL-C8-LabC2_3",0.230635103985382,0.164610033613252,0.14297080749985
"NL-C8-LabC2_4",0.059289727068088,0.164572493808128,0.143150410119801
"NL-C8-LabC2_5",0.0273707494580877,0.170481017050988,0.139696265323654
"NL-C8-LabC2_6",0.0135045954496756,0.0081601654515078,0.14669813000102
"NL-C10-LabC2_0",0.212959921951053,0.156816797588567,0.136104161483509
"NL-C10-LabC2_1",0.229246378276393,0.168809105136061,0.146512504120431
"NL-C10-LabC2_2",0.229885654385025,0.169356382122435,0.146987516794295
"NL-C10-LabC2_3",0.229833184637402,0.16422351832141,0.142529783782557
"NL-C10-LabC2_4",0.0578235435763305,0.164277163896117,0.14278958719067
"NL-C10-LabC2_5",0.0270253693755106,0.170260448793183,0.139354656522787
"NL-C10-LabC2_6",0.0132259477982862,0.00625658414222692,0.145721790105751
