"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",0.419904430380043,0.214570436030172,0.17979916077811,0.024861479652669,0.0756715165469349,0.135789584267507,0.312714497062303
"Gly_C0.N1",0.416813933799655,0.212991197634894,0.178475838966434,0.0246784991528935,0.0751145741833099,0.134790172923816,0.310412918384187
"Gly_C1.N0",0.0634160666132052,0.0854741331895084,0.160560650586657,0.0959876867502448,0.142436495580788,0.255596734485132,0.124569819900235
"Gly_C1.N1",0.0629493243563699,0.0848450435816779,0.1593789241867,0.0952812173603255,0.141388162963476,0.253715542501668,0.123652986043905
"Gly_C2.N0",0.018526299204894,0.201802226975305,0.161486984845359,0.380997629814956,0.283738784094116,0.110460477470533,0.064562479227872
"Gly_C2.N1",0.0183899456458327,0.200316962588443,0.160298440636741,0.378193487268911,0.281650466631375,0.109647488351344,0.064087299381497
"Asn_C0.N0",0.283709779692982,0.10568368517136,0.0744809932450155,0.00104761178615838,0.0117297096051354,0.0468288978404373,0.194637534545258
"Asn_C0.N1",0.280577623723002,0.10451693728626,0.0736587230790209,0.0010360461584268,0.0116002136171429,0.0463119068079208,0.192488736162389
"Asn_C0.N2",0.28058915007071,0.104521230923595,0.0736617490368386,0.00103608872989669,0.0116006901577975,0.0463138093330584,0.192496643749864
"Asn_C1.N0",0.0367758801866543,0.0398374651213842,0.064917633713727,0.00402230547178115,0.0218278166162386,0.0871438959932363,0.0733686186395417
"Asn_C1.N1",0.0363698744694897,0.0393976595077146,0.0642009430336674,0.00397789921884669,0.0215868375228158,0.0861818273812781,0.072558629092101
"Asn_C1.N2",0.0363713685640518,0.0393992779921984,0.0642035804583777,0.00397806264598941,0.0215877243190793,0.0861853677913689,0.0725616098533142
"Asn_C2.N0",0.0116329040445029,0.0467889833645779,0.0654804374206907,0.015968022023953,0.0435107092635487,0.0820449656328559,0.0385475788149825
"Asn_C2.N1",0.0115044767879468,0.0462724329946212,0.0647575333899594,0.0157917350571644,0.0430303510371665,0.0811391892117908,0.0381220135568062
"Asn_C2.N2",0.0115049493828893,0.0462743338923359,0.0647601936788313,0.0157923837990638,0.04303211875424,0.0811425224755433,0.0381235796330729
"Asn_C3.N0",0.00292511760244238,0.0464313185179496,0.0654603640859184,0.063359232223359,0.0865526926724934,0.0823240688275456,0.0194275623089372
"Asn_C3.N1",0.00289282429857107,0.0459187167606495,0.0647376816687493,0.0626597462907469,0.0855971509550519,0.0814152111046977,0.0192130820201513
"Asn_C3.N2",0.0028929431416002,0.0459206031378766,0.0647403411431552,0.0626623203983243,0.0856006673394891,0.081418555700379,0.0192138712975981
"Asn_C4.N0",0.000756594304360936,0.097058823641635,0.0654608473532405,0.251403104307369,0.172179347655844,0.0374584475287838,0.00981898150679512
"Asn_C4.N1",0.000748241490863103,0.095987294226399,0.0647381596026329,0.248627614047282,0.170278487658992,0.0370449062696545,0.00971057994895529
"Asn_C4.N2",0.000748272239933163,0.0959912374614424,0.0647408190901753,0.248637827841638,0.170285482824964,0.0370464281014497,0.00971097887023365
"Arg_C0.N0",0.165510344092673,0.0418733428477521,0.0329951554226915,0.000613010425643288,0.00610701743113079,0.023169947947861,0.100750994037829
"Arg_C0.N1",0.162464953762672,0.0411028733396835,0.032388044563174,0.000601731030380236,0.00599464830985551,0.0227436209077516,0.0988971757483269
"Arg_C0.N2",0.162487367828522,0.0411085439934972,0.0323925128977088,0.000601814054503926,0.00599547534894286,0.0227467586757895,0.0989108198466894
"Arg_C0.N3",0.162487285356043,0.0411085231283457,0.032392496456487,0.000601813745264275,0.00599547231005077,0.0227467471264197,0.0989107696432757
"Arg_C0.N4",0.162487285497846,0.0411085231642212,0.032392496484756,0.000601813745264275,0.00599547231005077,0.0227467471502411,0.0989107697295951
"Arg_C1.N0",0.0179123569954934,0.0356007160891552,0.0280524811403695,0.00234053511460971,0.0112338585683867,0.0196990897449721,0.035822015932608
"Arg_C1.N1",0.0175827696141956,0.0349456629128077,0.0275363154871447,0.00229746927141581,0.0110271555727644,0.0193366264954433,0.0351628908340962
"Arg_C1.N2",0.0175851953771177,0.0349504841045449,0.0275401144666356,0.00229778622861287,0.011028676910793,0.0193392942251732,0.0351677419979039
"Arg_C1.N3",0.0175851864577247,0.0349504663641436,0.0275401004876394,0.00229778505888028,0.0110286713101903,0.0193392844068193,0.035167724147034
"Arg_C1.N4",0.017585186471905,0.0349504663964315,0.0275401005130815,0.00229778505888028,0.0110286713185619,0.0193392844266704,0.0351677241815617
"Arg_C2.N0",0.00634622033343282,0.0155459535860267,0.0283962441363129,0.00209384972407071,0.0104570884573076,0.0426172517243972,0.0191523390453163
"Arg_C2.N1",0.00622944986695515,0.0152599080401386,0.0278737532431554,0.00205532288702885,0.0102646780325529,0.041833094292338,0.0187999360101764
"Arg_C2.N2",0.006230309305062,0.0152620133360773,0.0278775987787813,0.0020556064463436,0.0102660941730112,0.0418388656938571,0.0188025296949655
"Arg_C2.N3",0.00623030614286067,0.0152620055869839,0.0278775846273446,0.00205560539761783,0.0102660889575022,0.0418388444531805,0.0188025201480302
"Arg_C2.N4",0.00623030614286067,0.015262005601334,0.0278775846527866,0.00205560539761783,0.0102660889658738,0.0418388444928826,0.018802520173926
"Arg_C3.N0",0.00907559112523307,0.0181583290484882,0.028381531080298,0.00923233470824444,0.0223344632505216,0.0396952234127528,0.0218276291725653
"Arg_C3.N1",0.0089086002364245,0.0178242157937033,0.0278593109075747,0.00906245974119066,0.0219235091261561,0.0389648313024854,0.0214260008011972
"Arg_C3.N2",0.00890982929757934,0.0178266748680438,0.0278631544502396,0.00906371002399002,0.0219265337446645,0.0389702069882137,0.0214289567861375
"Arg_C3.N3",0.00890982477407162,0.0178266658166722,0.0278631403044566,0.00906370542573086,0.0219265226188034,0.0389701872046078,0.0214289459012502
"Arg_C3.N4",0.00890982477407162,0.0178266658346099,0.0278631403298987,0.00906370542573086,0.0219265226355466,0.0389701872403398,0.021428945927146
"Arg_C4.N0",0.00145974911573481,0.0180040413305683,0.0283819640107987,0.00839338575335669,0.0209404893920171,0.0398668807628214,0.00959668985294387
"Arg_C4.N1",0.00143288973219814,0.017672766970502,0.027859735874712,0.00823894746498186,0.020555184387559,0.039133330159968,0.00942011075667341
"Arg_C4.N2",0.00143308741941183,0.0176752051474031,0.0278635794739148,0.00824008412237729,0.0205580202347787,0.039138729091334,0.00942141038287138
"Arg_C4.N3",0.00143308668203753,0.0176751961749575,0.0278635653281318,0.0082400799409194,0.0205580097953891,0.0391387092243535,0.00942140560077179
"Arg_C4.N4",0.00143308669621781,0.0176751961928952,0.0278635653535739,0.0082400799543646,0.0205580098121323,0.0391387092600855,0.00942140560940374
"Arg_C5.N0",0.00226191151787057,0.0378498268819051,0.0283819547470636,0.0363218720121057,0.0441638509903723,0.0179041619767598,0.0108936270607795
"Arg_C5.N1",0.00222029235404153,0.0371533900668648,0.0278597267805905,0.0356535495707401,0.0433512361340983,0.0175747253947866,0.0106931843294284
"Arg_C5.N2",0.00222059866216168,0.0371585158410233,0.0278635703769665,0.0356584684307452,0.043357216975114,0.0175771500478013,0.0106946595812548
"Arg_C5.N3",0.00222059754191995,0.0371584969777209,0.0278635562340104,0.0356584503200578,0.0433571949661683,0.0175771411267171,0.0106946541517591
