"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",99.999999996209,99.999999996209,99.999999996209,6.25000000315449,25.0000000035742,49.9999999981045,99.999999996209
"Gly_C0.N1",99.630640760716,99.630640760716,99.630640760716,6.22691504811208,24.9076601924483,49.8153203758194,99.630640760716
"Gly_C1.N0",15.2658445395874,40.2658445335491,90.2658445397558,24.3916152854909,47.5664611357569,95.1329222715138,40.2658445335491
"Gly_C1.N1",15.2094587303239,40.1171189212748,89.9324392940012,24.3015225962209,47.3907700121574,94.7815400243147,40.1171189212748
"Gly_C2.N0",4.50798226398013,96.0948366019697,91.7685452873411,97.8631748373972,95.7789906663083,41.5579813290419,21.0948366094228
"Gly_C2.N1",4.49133161561376,95.7399014436423,91.4295896839746,97.5017081590321,95.4252221083772,41.4044830823195,21.0169208810622
"Asn_C0.N0",99.9999999997591,99.9999999997591,99.9999999997591,0.390624997587689,6.24999999667792,49.9999999998795,99.9999999997591
"Asn_C0.N1",99.2612815149721,99.2612815149721,99.2612815149721,0.38773938091786,6.20383009468576,49.630640757486,99.2612815149721
"Asn_C0.N2",99.6320050243568,99.6320050243568,99.6320050243568,0.389187523339624,6.22700031124605,49.8160025077364,99.6320050243568
"Asn_C1.N0",13.102698875808,38.1026988741151,88.1026988796436,1.51602616522555,11.7564186801116,94.0513494408931,38.1026988741151
"Asn_C1.N1",13.0059068173411,37.8212271958408,87.4518679528401,1.50482699952145,11.669571843355,93.3565747378929,37.8212271958408
"Asn_C1.N2",13.0544815994738,37.9624828562506,87.7784853698043,1.51044726945684,11.7131556470007,93.7052451939658,37.9624828562506
"Asn_C2.N0",4.18945780896352,45.2355257327979,89.8276615885915,6.08351749009189,23.6882458287406,89.5059666455841,20.2355257322075
"Asn_C2.N1",4.15850951122872,44.9013625490645,89.1640880464601,6.03857742052045,23.5132563803875,88.8447695251475,20.0860421695764
"Asn_C2.N2",4.17404080973911,45.0690612678957,89.4971003043357,6.06113045200672,23.6010742748222,89.1765891886079,20.1610600176726
"Asn_C3.N0",1.06484157114782,45.3752510296157,90.7713782454453,24.3997588931282,47.6309576067807,90.7818163476603,10.3087898998584
"Asn_C3.N1",1.05697538761189,45.0400556622435,90.1008332994013,24.219513360701,47.2790989241604,90.1111942868585,10.2326369629124
"Asn_C3.N2",1.06092300694811,45.2082723857568,90.4373441382678,24.309969001707,47.4556780743951,90.4477438170572,10.2708540647475
"Asn_C4.N0",0.278404803887716,95.8771328839069,91.7538141855055,97.8629393697863,95.7771210535165,41.7535883943514,5.26656939410258
"Asn_C4.N1",0.27634817156954,95.1688707791306,91.0760118061923,97.140007752135,95.069597757539,41.4451469209173,5.22766427143525
"Asn_C4.N2",0.277380287587734,95.5243098529411,91.4161647568875,97.502808666737,95.424666057888,41.5999372870274,5.24718868397614
"Arg_C0.N0",100.000000000182,100.000000000182,100.000000000182,0.390624999230967,6.24999999626307,49.9999999958074,100.000000000182
"Arg_C0.N1",98.5225630329285,98.5225630329285,98.5225630329285,0.384853758891384,6.1576601852584,49.2612815164642,98.5225630329285
"Arg_C0.N2",98.9001078456685,98.9001078456685,98.9001078456685,0.386328548328751,6.18125673873597,49.4500539271498,98.9001078456685
"Arg_C0.N3",99.2653541509674,99.2653541509674,99.2653541509674,0.387755289279983,6.20408463714262,49.6326770711522,99.2653541509674
"Arg_C0.N4",99.6319999975874,99.6319999975874,99.6319999975874,0.389187499277323,6.22699999713206,49.8160000031412,99.6319999975874
"Arg_C1.N0",10.9395532231714,85.9395532195962,85.9395532195962,1.50757638224537,11.6212220732205,42.969776605468,35.9395532219797
"Arg_C1.N1",10.7779282120018,84.6698504894154,84.6698504894154,1.48530289333709,11.4495258442864,42.3349252447077,35.4085689711397
"Arg_C1.N2",10.8192299281006,84.994310819217,84.994310819217,1.49099466501599,11.4934011700355,42.4971554096085,35.5442568947142
"Arg_C1.N3",10.8591862458601,85.3082018600793,85.3082018600793,1.49650102978588,11.5358472513205,42.6541009256613,35.6755247839331
"Arg_C1.N4",10.8992956626552,85.6232956669429,85.6232956669429,1.50202849464618,11.5784559780764,42.8116478334715,35.8072956670141
"Arg_C2.N0",3.91772534782273,37.9335698828748,87.9335698799767,1.36326932897913,10.9346684944479,93.9667849370901,19.4230068526998
"Arg_C2.N1",3.85984341758006,37.373125298359,86.634406807989,1.34312788255409,10.7731156627795,92.5784849180177,19.1360441725054
"Arg_C2.N2",3.87463459125074,37.5163415271225,86.9663954517514,1.34827483642915,10.814398936642,92.9332516505046,19.2093747265859
"Arg_C2.N3",3.88894393836828,37.6548924830141,87.2875695611996,1.35325412374399,10.8543374042239,93.276461849934,19.2803165379358
"Arg_C2.N4",3.90330811222125,37.7939743440052,87.6099743464562,1.35825249291793,10.8944289114694,93.6209871712371,19.3515301956095
"Arg_C3.N0",5.66325025168097,44.7872318997752,88.8385813389834,6.07602688462987,23.6070842562336,88.4706401086999,22.3755232498888
"Arg_C3.N1",5.57957929128881,44.1255287780003,87.5260472937396,5.98625741168491,23.2583044657654,87.1635421670497,22.0449390031652
"Arg_C3.N2",5.60096060427826,44.2946206526651,87.8614527599996,6.00919713830403,23.3474317847233,87.4975584828773,22.1294166315803
"Arg_C3.N3",5.62164541580866,44.4582043544002,88.1859323849906,6.03138960342041,23.4336557911881,87.8206942186122,22.211142394906
"Arg_C3.N4",5.64240948270502,44.6224148859155,88.5116553572285,6.05366709834231,23.520210182554,88.1450681499273,22.293181329038
"Arg_C4.N0",0.920748548660439,44.8869743046038,89.8008050928953,5.58363884789417,22.3730734478417,89.8142333392113,9.94397636576502
"Arg_C4.N1",0.907145069341908,44.2237975534333,88.4740548062899,5.50114410972783,22.0425253902166,88.4872846604902,9.79706037974841
"Arg_C4.N2",0.910621309131152,44.3932659924198,88.8130930918998,5.52222484314001,22.126993771988,88.8263736409245,9.83460335135853
"Arg_C4.N3",0.913984302818567,44.5572140046504,89.141087204177,5.54261887834108,22.2087105908459,89.154416806137,9.87092335748688
"Arg_C4.N4",0.917360197388757,44.7217902379451,89.4703381298892,5.56309106249486,22.290740534099,89.483716965966,9.90738253425675
"Arg_C5.N0",1.44214996947945,95.3863474532533,90.7720365736872,24.4242002184231,47.6955375666345,40.7717074163186,11.4099336298911
"Arg_C5.N1",1.42084311787908,93.9770742924682,89.4309369515048,24.0633480577156,46.990866064631,40.169331134789,11.2413590593179
"Arg_C5.N2",1.42628787459,94.3372005013665,89.7736420661594,24.1555603643537,47.1709380899346,40.3232626024266,11.2844366652896
"Arg_C5.N3",1.4315552784849,94.6855956034614,90.1051835745211,24.2447688452636,47.3451442760074,40.4721797583202,11.3261110249459
"Arg_C5.N4",1.43684286021048,95.0353256934294,90.4379954801626,24.3343191672239,47.5200179879109,40.6216675314023,11.3679450811277
"Arg_C6.N0",0.261085173146922,91.5506043304035,91.7538027422051,97.8622327950396,95.7752499927205,46.0800997783348,5.21737980080922
"Arg_C6.N1",0.257227798879944,90.1980018583451,90.3981981343395,96.4163799864957,94.3602310451917,45.3992953477505,5.14029630320644
"Arg_C6.N2",0.258213513411243,90.543646415964,90.7446098653331,96.7858537715921,94.7218255344475,45.5732683774324,5.15999425270349
"Arg_C6.N3",0.259167119520314,90.8780316135382,91.0797372290948,97.1432919602118,95.0716410881908,45.7415742347242,5.17905053482396
"Arg_C6.N4",0.260124377228515,91.2136981057317,91.4161487488956,97.5020997798064,95.4227970738274,45.9105250129743,5.19817984589735
"Short_C0.N0",99.999999997196,99.999999997196,99.999999997196,6.24999999922404,24.9999999968962,50.0000000034036,99.999999997196
"Short_C0.N1",99.2612815112183,99.2612815112183,99.2612815112183,6.20383009806869,24.815320382628,49.6306407556091,99.2612815112183
"Short_C1.N0",21.7552815127825,46.7552815114274,96.7552815087173,24.7972050920641,49.1888203806819,98.3776407516485,46.7552815114274
"Short_C1.N1",21.5945712241245,46.4098916025838,96.0405323595026,24.6140235581418,48.8254534658972,97.6509069415456,46.4098916025838
"Short_C2.N0",5.74430757570926,98.9535211660889,97.8719483327773,99.4614069622734,98.9272006716759,47.8544013379872,23.9535211683168
"Short_C2.N1",5.7018733178458,98.2225332130098,97.1489501622584,98.7266671622651,98.1964071481709,47.5008920254495,23.7765720726354
