"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",0.418225851124287,0.211932502544781,0.177611356857347,0.0243631534259113,0.0743894624563581,0.134158948541858,0.310438145782035
"Gly_C0.N1",0.416681095317882,0.211149710273591,0.176955332907486,0.0242731658577122,0.0741146980998785,0.133663420062982,0.309291513820053
"Gly_C1.N0",0.0638457082594202,0.0853364119939768,0.160322391271882,0.0950810664330058,0.141537738973373,0.255258656482888,0.125000541158166
"Gly_C1.N1",0.0636098882287059,0.0850212140819468,0.159730225691041,0.0947298757113851,0.141014956243731,0.254315835026443,0.124538840125101
"Gly_C2.N0",0.0188535471927775,0.203656192034593,0.162991358459275,0.381480886737106,0.284997905170424,0.111507501576756,0.0654864196285247
"Gly_C2.N1",0.0187839098769269,0.20290396907111,0.162389334812969,0.380071851834879,0.283945239056236,0.111095638309074,0.0652445394861204
"Asn_C0.N0",0.282013260365218,0.103073705559947,0.0726601223498279,0.00100335953116284,0.0112966845533537,0.0456943759152348,0.19237575386421
"Asn_C0.N1",0.279929976281345,0.102312281044019,0.0721233685949595,0.000995947534985346,0.0112132338623229,0.0453568231138401,0.190954638610164
"Asn_C0.N2",0.280975465737103,0.102694399502524,0.0723927367504587,0.000999667234211795,0.0112551133227475,0.0455262229037654,0.191667820756096
"Asn_C1.N0",0.0369513482955919,0.0392738636479932,0.0640155287996037,0.00389406543811843,0.0212493685403148,0.0859523543339527,0.0733003542018656
"Asn_C1.N1",0.0366783818557342,0.0389837403590934,0.0635426342518966,0.00386529925643606,0.021092395529144,0.0853174084048454,0.0727588709388698
"Asn_C1.N2",0.0368153691825422,0.0391293378025913,0.0637799548666792,0.00387973548412811,0.0211711719262132,0.0856360539826528,0.0730306125804597
"Asn_C2.N0",0.0118148265587117,0.0466259326024304,0.0652688888144172,0.0156261255535991,0.0428157825426905,0.0817983857313929,0.0389282451758142
"Asn_C2.N1",0.0117275482552421,0.0462814982263385,0.0647867354668222,0.015510692472219,0.0424994944468087,0.0811941259358854,0.0386406750452989
"Asn_C2.N2",0.0117713485765484,0.0464543515100148,0.0650287025808352,0.0155686221982686,0.042658222615144,0.0814973717846506,0.0387849911961071
"Asn_C3.N0",0.00300299443252542,0.0467699526434655,0.0659545944919245,0.0626732308343882,0.0860915045350345,0.0829643688493559,0.019831612284178
"Asn_C3.N1",0.00298081075186938,0.0464244543574489,0.0654673757137172,0.0622102520848787,0.0854555306875091,0.0823514957184879,0.0196851124976381
"Asn_C3.N2",0.00299194356186629,0.046597841567746,0.0657118849009586,0.0624425964819634,0.0857746921211029,0.0826590641334285,0.0197586329353984
"Asn_C4.N0",0.000785138464459031,0.0988241136483152,0.0666684336479826,0.251370786740918,0.173114227927207,0.0381580832781215,0.010131602574711
"Asn_C4.N1",0.000779338488604805,0.0980940816518437,0.0661759416098824,0.24951386428734,0.171835401128318,0.0378762024654219,0.0100567585516878
"Asn_C4.N2",0.000782249192638472,0.098460445876229,0.0664230971600347,0.250445754867382,0.172477176262089,0.038017663448964,0.010094318787501
"Arg_C0.N0",0.163615008089357,0.0402575888400796,0.0317276751008032,0.000573614557626319,0.00576966189862198,0.0222843209094488,0.0986165739748823
"Arg_C0.N1",0.161197699475874,0.0396628083404322,0.0312589187000146,0.000565139760875312,0.00568441878028628,0.0219550841163127,0.0971595762551407
"Arg_C0.N2",0.161815419451778,0.0398147987788319,0.0313787048915605,0.000567305420247787,0.00570620184198543,0.0220392174158911,0.0975318980146841
"Arg_C0.N3",0.162413017223738,0.0399618381346724,0.0314945890526231,0.000569400522663656,0.00572727532290402,0.0221206100708268,0.0978920914075391
"Arg_C0.N4",0.163012904855344,0.0401094409121037,0.0316109172556091,0.000571503656118171,0.00574842954362456,0.0222023146117637,0.0982536649800963
"Arg_C1.N0",0.0178987508909988,0.0345971919860833,0.0272666222285456,0.00221380546890767,0.01072808356022,0.0191510458272773,0.0354423560893311
"Arg_C1.N1",0.0176343081158997,0.0340860402814767,0.0268637750715685,0.00218109789127675,0.0105695828896903,0.0188681011981939,0.0349187176128075
"Arg_C1.N2",0.0177018839220357,0.0342166601869972,0.0269667187908388,0.00218945599201309,0.0106100862169569,0.0189404049793168,0.0350525283943341
"Arg_C1.N3",0.0177672584545699,0.0343430251516332,0.0270663091204539,0.00219754183136753,0.01064927014305,0.0190103534642231,0.0351819802894107
"Arg_C1.N4",0.0178328834801038,0.0344698743208607,0.0271662810597582,0.00220565865521874,0.0106886042146435,0.0190805699812676,0.0353119282198014
"Arg_C2.N0",0.00640998664474726,0.0152711405957841,0.0278992773560058,0.00200189730459499,0.010094294435872,0.0418797198108572,0.0191543039210042
"Arg_C2.N1",0.00631528311989861,0.0150455191192737,0.0274870831174967,0.00197232053172127,0.0099451576009841,0.0412609733479332,0.0188713111572106
"Arg_C2.N2",0.00633948369989636,0.0151031745198014,0.027592415395761,0.00197987859297178,0.00998326808616772,0.0414190880622411,0.0189436272373214
"Arg_C2.N3",0.00636289593934021,0.0151589517939582,0.0276943164737145,0.00198719044371358,0.0100201371189412,0.0415720521867236,0.0190135876211902
"Arg_C2.N4",0.00638639788355168,0.015214942797707,0.02779660801649,0.00199453031527378,0.0100571474296534,0.0417256024431635,0.0190838160905901
"Arg_C3.N0",0.00926592735739146,0.0180302596710316,0.028186416451344,0.0089223615498603,0.0217927831443501,0.0394301627082387,0.0220659744379533
"Arg_C3.N1",0.00912902910877762,0.0177638739489259,0.0277699799138824,0.0087905392737309,0.0214708085092658,0.0388476069083535,0.0217399635797344
"Arg_C3.N2",0.00916401214575486,0.0178319462605903,0.0278763962704875,0.00882422519030716,0.0215530860287258,0.0389964734437839,0.0218232725226524
"Arg_C3.N3",0.00919785560181354,0.0178978011146441,0.0279793461116728,0.00885681378828586,0.0216326833671489,0.0391404906524446,0.021903867670499
"Arg_C3.N4",0.00923182873154563,0.0179639083152535,0.0280826904380329,0.00888952724856057,0.0217125856990402,0.0392850597080583,0.0219847716566653
"Arg_C4.N0",0.00150648281237067,0.0180704135582666,0.0284917076777274,0.00819931272700286,0.0206536111206823,0.0400289839626985,0.00980640880877158
"Arg_C4.N1",0.00148422547858326,0.0178034345884978,0.028070760657395,0.00807817305895052,0.020348467035101,0.0394375809589091,0.00966152529674085
"Arg_C4.N2",0.00148991312859563,0.0178716584958786,0.0281783296231204,0.00810912913087237,0.0204264436757788,0.0395887083120589,0.00969854888911104
"Arg_C4.N3",0.00149541549098932,0.0179376600125538,0.0282823945294133,0.00813907681856033,0.0205018802224224,0.039734912695386,0.00973436643482223
"Arg_C4.N4",0.00150093896116342,0.0180039144358819,0.0283868581933895,0.00816913926433347,0.020577605828569,0.0398816773041416,0.00977032122585205
"Arg_C5.N0",0.00235957378922016,0.0384002435672304,0.0287998568464292,0.0358657966879984,0.0440299401595265,0.0181713962433516,0.011252085638586
"Arg_C5.N1",0.00232471258225068,0.0378329041725289,0.0283743571155258,0.0353359021524715,0.0433794255485529,0.0179029253160122,0.0110858431724941
"Arg_C5.N2",0.00233362102138369,0.0379778823010123,0.0284830894808571,0.0354713116157266,0.0435456583011966,0.0179715304804759,0.0111283248316537
"Arg_C5.N3",0.00234223928469242,0.0381181377687524,0.0285882798934542,0.0356023101012675,0.0437064760283789,0.0180379008342986,0.0111694226573727
"Arg_C5.N4",0.00235089056196043,0.0382589306704215,0.0286938733735727,0.0357338105644167,0.043867909979298,0.0181045255044522,0.0112106779703338
"Arg_C6.N0",0.00042717452716367,0.0368560658718747,0.0291113484266256,0.143706115797927,0.088414529767103,0.0205372746217187,0.00514520121080621
"Arg_C6.N1",0.000420863283944727,0.0363115407300336,0.0286812466009913,0.141582948512683,0.0871082608211403,0.020233849333539,0.00506918410637047
"Arg_C6.N2",0.000422476060854847,0.0364506888948877,0.0287911549895118,0.14212550350074,0.0874420652929257,0.0203113867500059,0.00508860954930773
"Arg_C6.N3",0.000424036303567342,0.036585304312869,0.0288974831106598,0.14265038477779,0.0877649960886352,0.0203863983847088,0.00510740220186189
"Arg_C6.N4",0.000425602520844048,0.0367204355491699,0.0290042186646637,0.143177277293924,0.0880891642985571,0.0204616974519237,0.00512626687306743
"Short_C0.N0",0.393611968789533,0.204247319322632,0.170335119083096,0.0240335501064678,0.0724735988783951,0.1278725017325,0.293982287347767
"Short_C0.N1",0.390704284412983,0.202738506617639,0.169076822070282,0.0238560098451933,0.071938223026909,0.126927883911494,0.291810585845568
"Short_C1.N0",0.0856313918805698,0.0954964091315183,0.16480822398168,0.0953543793847157,0.142595633520542,0.251595900731963,0.137452246047036
"Short_C1.N1",0.0849988169493177,0.0947909595014746,0.163590755167185,0.0946499789727719,0.1415422531993,0.24973731532426,0.136436860892721
