"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",109.29187615,109.02566225,108.47228938,6.5824758,26.84976394,53.68277182,109.01728422
"Gly_C0.N1",110.7015183,110.43187079,109.87136054,6.6673763,27.1960711,54.37517002,110.4233847
"Gly_C1.N0",16.60039303,41.9247909,96.71777934,24.52013553,49.91826198,103.15187811,43.58246798
"Gly_C1.N1",16.81450422,42.46553514,97.96524131,24.83639523,50.56210568,104.48232682,44.14459287
"Gly_C2.N0",4.92854675,105.05983984,100.32993458,106.99315215,104.71452759,45.43506203,23.06284326
"Gly_C2.N1",4.99211494,106.41489736,101.62398598,108.37314546,106.06513129,46.02108161,23.36030688
"Asn_C0.N0",112.12149306,111.8426056,111.28058188,0.42202895,6.88617464,55.07826722,111.83978077
"Asn_C0.N1",110.83663137,110.56093982,110.00535664,0.41719269,6.80726219,54.44709514,110.55814737
"Asn_C0.N2",114.28241468,113.9981522,113.42529658,0.43016273,7.01889214,56.13979267,113.99527293
"Asn_C1.N0",14.60694609,41.74184911,96.84782226,1.57103692,12.66990984,103.52988428,42.29696362
"Asn_C1.N1",14.43955708,41.26350636,95.73798993,1.55303354,12.52471839,102.34347854,41.81225951
"Asn_C1.N2",14.88846629,42.54634128,98.71437386,1.60131557,12.91409747,105.52521951,43.11215454
"Asn_C2.N0",4.66186917,49.24883533,97.70683068,6.05976749,25.00997751,97.31141068,22.34447076
"Asn_C2.N1",4.60844626,48.68446591,96.5871545,5.99032529,24.72337445,96.19626584,22.08841322
"Asn_C2.N2",4.75171755,50.19800993,99.58993798,6.17655761,25.49199571,99.18689704,22.77511656
"Asn_C3.N0",1.18074297,46.50949768,97.57092098,22.91267875,49.04196025,99.84688379,11.31439539
"Asn_C3.N1",1.16721219,45.97651983,96.45280227,22.65010979,48.47996152,98.70268357,11.18473752
"Asn_C3.N2",1.20349947,47.40587692,99.45140889,23.35427564,49.98714774,101.77123641,11.53245814
"Asn_C4.N0",0.31181717,107.38369542,102.76552229,109.60782575,107.27168081,46.76458801,5.89862949
"Asn_C4.N1",0.30824389,106.15312675,101.58787579,108.35176954,106.04239577,46.22868694,5.83103386
"Asn_C4.N2",0.31782684,109.45330529,104.74612594,111.72030136,109.33913181,47.66588362,6.01231399
"Arg_C0.N0",115.44150876,114.56985787,114.57570298,0.43399334,7.08863353,57.2936966,115.15144544
"Arg_C0.N1",113.29592315,112.44047269,112.44620916,0.42592718,6.95688482,56.22884105,113.01125093
"Arg_C0.N2",113.31307912,112.45749912,112.46323646,0.42599167,6.95793827,56.23735557,113.02836379
"Arg_C0.N3",113.19296419,112.33829112,112.34402238,0.42554011,6.95056267,56.17774245,112.90855066
"Arg_C0.N4",119.17365604,118.27382526,118.27985934,0.44802405,7.31780434,59.14596375,118.87421518
"Arg_C1.N0",12.54572333,98.39032257,97.23889459,1.71155616,13.17554823,47.46801931,41.06468082
"Arg_C1.N1",12.31254964,96.56164879,95.43162115,1.67974533,12.93066866,46.58578293,40.30145632
"Arg_C1.N2",12.31441408,96.57627075,95.44607199,1.67999969,12.9326267,46.59283724,40.30755902
"Arg_C1.N3",12.30136047,96.47389729,95.34489657,1.67821885,12.91891777,46.54344757,40.26483191
"Arg_C1.N4",12.95131823,101.57121633,100.38256345,1.76688964,13.60150495,49.00262884,42.39227467
"Arg_C2.N0",4.32477195,42.25077933,98.45684939,1.36474732,11.81137665,105.43449476,21.64423219
"Arg_C2.N1",4.24439212,41.4655101,96.62693915,1.33938224,11.59185145,103.47489862,21.24195441
"Arg_C2.N2",4.24503483,41.47178907,96.641571,1.33958506,11.59360676,103.49056743,21.245171
"Arg_C2.N3",4.24053498,41.42782785,96.53912832,1.33816506,11.58131723,103.38086463,21.22265055
"Arg_C2.N4",4.46458895,43.61671896,101.63989392,1.40886869,12.19323061,108.84312193,22.34397583
"Arg_C3.N0",6.49198651,49.68494556,98.40415578,6.77554281,26.24444514,97.92128811,25.36252457
"Arg_C3.N1",6.37132703,48.76150558,96.5752249,6.64961317,25.75666822,96.10133176,24.89113895
"Arg_C3.N2",6.37229181,48.76888935,96.58984891,6.6506201,25.76056846,96.11588402,24.89490812
"Arg_C3.N3",6.36553701,48.71719301,96.48746106,6.64357026,25.73326156,96.01399858,24.86851884
"Arg_C3.N4",6.70186812,51.29122684,101.58549676,6.9945916,27.09291062,101.0870183,26.18247814
"Arg_C4.N0",0.97803246,46.35812994,98.40954016,5.18789769,23.18598984,101.25618029,10.80942304
"Arg_C4.N1",0.95985484,45.49652186,96.5805092,5.09147588,22.7550571,99.37424194,10.60852006
"Arg_C4.N2",0.96000019,45.50341123,96.59513402,5.09224686,22.75850281,99.3892898,10.61012647
"Arg_C4.N3",0.95898256,45.45517638,96.49274056,5.08684894,22.73437818,99.28393446,10.59887945
"Arg_C4.N4",1.0096516,47.85685748,101.59105521,5.35561897,23.93557749,104.52972534,11.1588845
"Arg_C5.N0",1.64346432,103.51376809,98.18279698,21.30775158,48.26760264,43.76042738,12.78256492
"Arg_C5.N1",1.61291904,101.58987041,96.35798026,20.91172761,47.37050527,42.94709997,12.54498931
"Arg_C5.N2",1.61316327,101.60525377,96.37257137,20.91489419,47.3776784,42.95360329,12.54688895
"Arg_C5.N3",1.61145328,101.49754945,96.27041384,20.89272384,47.32745678,42.90807131,12.53358891
"Arg_C5.N4",1.69659643,106.86029944,101.35698158,21.99661704,49.82806216,45.17517293,13.19581675
"Arg_C6.N0",0.30065213,105.42492338,105.65891612,112.69306707,110.28980602,53.0634508,6.00806373
"Arg_C6.N1",0.29506424,103.46550514,103.69514892,110.59856376,108.2399695,52.07721823,5.8963984
"Arg_C6.N2",0.29510892,103.48117253,103.71085107,110.61531128,108.25635987,52.08510408,5.89729126
"Arg_C6.N3",0.29479609,103.37147968,103.60091476,110.49805605,108.14160519,52.02989246,5.89103998
"Arg_C6.N4",0.31037201,108.83324112,109.07479869,116.33635907,113.85540218,54.77895692,6.20230044
"Short_C0.N0",102.7753021,102.52496769,102.00458975,6.1899997,25.24884212,50.48191693,102.51708404
"Short_C0.N1",103.71105316,103.4584395,102.93332361,6.24635856,25.47872839,50.94154591,103.45048407
"Short_C1.N0",22.27530396,46.07159814,97.56383547,23.45750423,48.57721794,100.27415505,47.63145773
"Short_C1.N1",22.47811669,46.49107195,98.45213704,23.67108068,49.01950498,101.18713362,48.06513378
