"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",0.415039344299275,0.211567788870568,0.176383272813028,0.0236802976064779,0.0734994062889408,0.131850662484524,0.308314751352604
"Gly_C0.N1",0.420392504792464,0.214296581572753,0.178658257064855,0.0239857251033688,0.0744473986329513,0.133551266948079,0.312291382425096
"Gly_C1.N0",0.0630405157362783,0.0813563992781334,0.157269645148126,0.0882105949712073,0.136647853839783,0.253352109144621,0.123256764968296
"Gly_C1.N1",0.0638536097285781,0.0824057307918366,0.15929810261165,0.0893483315986531,0.138410332265986,0.256619834298668,0.124846525683118
"Gly_C2.N0",0.0187163116191809,0.203871983488409,0.163143253668621,0.384905279069492,0.286648911509645,0.111593399997447,0.0652246553018285
"Gly_C2.N1",0.0189577138242238,0.2065015159983,0.16524746869372,0.389869771650801,0.290346097462694,0.113032727126661,0.0660659202690577
"Asn_C0.N0",0.280523323446256,0.1042367882813,0.0730921343905934,0.00099813292975349,0.0113970137556857,0.0454914727951053,0.191967937339245
"Asn_C0.N1",0.277308652809871,0.103042281734885,0.0722545315218299,0.00098669477992313,0.0112664091275486,0.0449701610517336,0.189768071437066
"Asn_C0.N2",0.285929859677671,0.106245747687863,0.0745008417538504,0.00101736998366027,0.011616668825764,0.0463682316070174,0.19566774237335
"Asn_C1.N0",0.0365459730399267,0.0389032092448768,0.0636123025281958,0.00371563060711949,0.0209694270445889,0.0855097146646222,0.0726008295611976
"Asn_C1.N1",0.0361271726822785,0.0384573960264691,0.0628833342531839,0.00367305114325838,0.020729126872234,0.08452981193403,0.0717688568268455
"Asn_C1.N2",0.0372503248993779,0.0396529922059263,0.0648383047478939,0.00378724208693262,0.0213735715694623,0.0871577465093804,0.0740000679929316
"Asn_C2.N0",0.0116638032311986,0.0458996854897469,0.0641765227885193,0.0143318449561781,0.0413929463907498,0.0803736140412758,0.0383532758487387
"Asn_C2.N1",0.0115301413270234,0.0453736958149769,0.0634410888031834,0.0141676084825084,0.0409186018979064,0.0794525687050304,0.037913764634969
"Asn_C2.N2",0.0118886001499336,0.0467843118026928,0.0654133992454733,0.0146080631270924,0.0421907141417999,0.0819226576301517,0.0390924599331551
"Asn_C3.N0",0.00295416991908012,0.0433466355395762,0.0640872535747036,0.054190356299581,0.0811672553769335,0.082467768629429,0.0194206491670948
"Asn_C3.N1",0.00292031646894466,0.0428499026620557,0.0633528425783261,0.0535693592677254,0.0802371152641221,0.0815227252246978,0.019198097283567
"Asn_C3.N2",0.00301110573785832,0.0441820568225334,0.0653224095445549,0.055234769005358,0.0827315948525341,0.0840571729313336,0.0197949440382025
"Asn_C4.N0",0.000780153621297184,0.100081104730254,0.0674992100062894,0.25923145850482,0.177540780723955,0.0386248531518567,0.0101247313659567
"Asn_C4.N1",0.000771213423001148,0.0989342204527264,0.0667256995268471,0.256260782998264,0.175506243518181,0.0381822297692184,0.0100087065170621
"Asn_C4.N2",0.000795189566281552,0.102009971504117,0.0688001247365557,0.264227635827826,0.180962530638535,0.0393692713551181,0.0103198656806182
"Arg_C0.N0",0.163699233986806,0.0411024319397154,0.0323893491017541,0.000583512821727539,0.00593432296982218,0.02274685762143,0.0993981371076472
"Arg_C0.N1",0.160656734589641,0.0403385057983938,0.0317873635415342,0.000572667706495803,0.00582402817285057,0.0223240865485082,0.0975507321833828
"Arg_C0.N2",0.160681062226879,0.0403446141037829,0.0317921769805934,0.000572754414604903,0.00582491007942765,0.0223274670002097,0.0975655039163653
"Arg_C0.N3",0.160510735953058,0.0403018477182975,0.031758476410974,0.000572147283053577,0.00581873551950563,0.0223037992804869,0.0974620818370546
"Arg_C0.N4",0.168991521461427,0.0424312462577636,0.0334364752406394,0.000602377395047813,0.00612617568671608,0.0234822484172458,0.102611612853634
"Arg_C1.N0",0.0177901806810325,0.0352979536864644,0.0274884152680603,0.00230122186775205,0.0110300466472681,0.0188458476392997,0.0354468218686403
"Arg_C1.N1",0.0174595339764903,0.0346419090602445,0.0269775180285234,0.00225845156354693,0.0108250431792596,0.0184955803932462,0.0347880103947153
"Arg_C1.N2",0.0174621778036812,0.0346471547516235,0.0269816031293729,0.00225879355571053,0.0108266823727232,0.018498381109463,0.0347932782140554
"Arg_C1.N3",0.0174436674257355,0.0346104278301599,0.0269530018996735,0.00225639918031886,0.0108152058000034,0.0184787723242365,0.034756396391845
"Arg_C1.N4",0.018365325402824,0.0364391130778483,0.0283770974713424,0.00237561885055092,0.0113866407266416,0.0194551213736707,0.0365927940709113
"Arg_C2.N0",0.00613264555346777,0.0151576497876235,0.0278327183112129,0.00183493036929621,0.00988801628165369,0.0418598132607337,0.0186831902160739
"Arg_C2.N1",0.00601866474413561,0.0148759310556595,0.0273154218858217,0.00180082650631033,0.00970423848706162,0.0410818104953809,0.0183359460996061
"Arg_C2.N2",0.00601957612458971,0.0148781836632989,0.027319558156299,0.0018010992019017,0.00970570796300619,0.041088031357558,0.0183387226435966
"Arg_C2.N3",0.00601319521354681,0.0148624123855245,0.0272905986854938,0.00179918998318684,0.0096954196556958,0.0410444769332434,0.018319283106661
"Arg_C2.N4",0.00633090990434278,0.0156476865365522,0.0287325316032735,0.00189425244347178,0.0102076892787631,0.0432131132138131,0.0192872053372315
"Arg_C3.N0",0.00920581539651454,0.0178246890698387,0.0278178223805283,0.00910985432126409,0.0219708090375128,0.0388769049812925,0.0218928011278721
"Arg_C3.N1",0.00903471693581866,0.0174934009838272,0.0273008028099337,0.00894053937376851,0.0215624615374968,0.0381543422836943,0.021485903478361
"Arg_C3.N2",0.00903608502038947,0.017496049943244,0.0273049368641253,0.00894189321151538,0.0215657266638038,0.038160119850965,0.0214891570065735
"Arg_C3.N3",0.00902650652823694,0.017477503657721,0.0272759928931858,0.00893241455907539,0.0215428664096774,0.038119669090499,0.0214663779154245
"Arg_C3.N4",0.00950343329109998,0.0184009494250026,0.0287171540968777,0.00940436984896528,0.0226811107008384,0.0401337694912322,0.0226005808440653
"Arg_C4.N0",0.00138687692352568,0.0166311795801771,0.0278193444882613,0.00697523335248804,0.0194103915096279,0.0402009305216742,0.00933063852806189
"Arg_C4.N1",0.00136110055849315,0.0163220739556672,0.0273022966261007,0.00684559227912692,0.0190496317035796,0.039453759606894,0.00915722010613005
"Arg_C4.N2",0.00136130666879018,0.0163245455469461,0.0273064309092708,0.00684662887732747,0.01905251631539,0.0394597339382645,0.00915860675100299
"Arg_C4.N3",0.00135986364146603,0.016307241085929,0.0272774853524431,0.00683937126473217,0.0190323201315498,0.0394179055511844,0.00914889838102343
"Arg_C4.N4",0.00143171373355111,0.0171688545660265,0.0287187254123733,0.00720073800506301,0.0200379165735862,0.0415005999022268,0.00963229186799341
"Arg_C5.N0",0.00233047759994164,0.0371360119218302,0.0277552465702695,0.0286487028789779,0.0404077234113697,0.0173738521013111,0.0110338444789005
"Arg_C5.N1",0.00228716355292665,0.0364458053097132,0.0272393900295411,0.0281162406430218,0.0396567090576967,0.0170509432318758,0.0108287704308417
"Arg_C5.N2",0.00228750987778281,0.0364513241566347,0.0272435147832478,0.0281204981738655,0.0396627141177614,0.0170535251929445,0.0108304101903467
"Arg_C5.N3",0.00228508506493922,0.0364126847660941,0.0272146359213558,0.0280906896899676,0.0396206705684812,0.017035447995491,0.0108189296640328
"Arg_C5.N4",0.00240582039301952,0.0383365945148851,0.0286525552530778,0.0295748964200014,0.0417140782587212,0.0179355371994306,0.0113905613390439
"Arg_C6.N0",0.000426332988074692,0.0378216471464333,0.0298686670115479,0.151518107524753,0.0923302532754459,0.0210673570022249,0.00518612979719121
"Arg_C6.N1",0.000418409206391413,0.0371186973798165,0.0293135306279947,0.14870200546997,0.0906142114045359,0.0206758009815333,0.00508974085705156
"Arg_C6.N2",0.000418472563860084,0.0371243181237288,0.0293179694610525,0.148724522849274,0.0906279327725208,0.0206789318374183,0.0050905115692242
"Arg_C6.N3",0.000418028962317466,0.0370849653394518,0.0292868916196695,0.148566870821435,0.0905318647037545,0.0206570116099986,0.00508511549639017
"Arg_C6.N4",0.000440116045204962,0.0390443958740806,0.0308343011745749,0.156416587292431,0.0953152290262515,0.0217484506613192,0.00535379392904944
"Short_C0.N0",0.390613035144463,0.203796324184154,0.169092317584319,0.0233457791733566,0.0715671221768214,0.125640590510217,0.291926493763037
"Short_C0.N1",0.394169498168338,0.205651853894563,0.170631873414026,0.0235583383920625,0.0722187282462669,0.126784526001868,0.294584433174676
"Short_C1.N0",0.0846606520320904,0.0915798615866063,0.161730909290163,0.0884707173267969,0.137690737452402,0.249564692063191,0.13563480251268
"Short_C1.N1",0.0854314723985842,0.0924136801431555,0.163203440786571,0.0892762276466648,0.138944387440725,0.251836934751935,0.136869733547746
"Short_C2.N0",0.0224604220294964,0.202357923430711,0.166910882331867,0.385917612696272,0.28847624956406,0.122528826626547,0.0701728129403285
"Short_C2.N1",0.0226649202270287,0.204200356760811,0.168430576593055,0.389431324764847,0.291102775119725,0.123644430046241,0.0708117240615331
