"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",107.82114425,107.82114425,107.82114425,6.73882152,26.95528606,53.91057212,107.82114425
"Gly_C0.N1",107.82114425,107.82114425,107.82114425,6.73882152,26.95528606,53.91057212,107.82114425
"Gly_C1.N0",18.79213666,45.74742272,99.65799485,26.44508922,51.86978477,103.73956955,45.74742272
"Gly_C1.N1",18.79213666,45.74742272,99.65799485,26.44508922,51.86978477,103.73956955,45.74742272
"Gly_C2.N0",5.05119579,104.09273117,100.01115647,105.8024295,103.82785995,45.92400353,23.22687298
"Gly_C2.N1",5.05119579,104.09273117,100.01115647,105.8024295,103.82785995,45.92400353,23.22687298
"Asn_C0.N0",107.82114425,107.82114425,107.82114425,0.42117634,6.73882152,53.91057212,107.82114425
"Asn_C0.N1",107.82114425,107.82114425,107.82114425,0.42117634,6.73882152,53.91057212,107.82114425
"Asn_C0.N2",107.82114425,107.82114425,107.82114425,0.42117634,6.73882152,53.91057212,107.82114425
"Asn_C1.N0",18.79213666,45.74742272,99.65799485,1.65281808,12.96744619,103.73956955,45.74742272
"Asn_C1.N1",18.79213666,45.74742272,99.65799485,1.65281808,12.96744619,103.73956955,45.74742272
"Asn_C1.N2",18.79213666,45.74742272,99.65799485,1.65281808,12.96744619,103.73956955,45.74742272
"Asn_C2.N0",5.05119579,50.18215905,100.01115647,6.61265184,25.95696499,99.83457566,23.22687298
"Asn_C2.N1",5.05119579,50.18215905,100.01115647,6.61265184,25.95696499,99.83457566,23.22687298
"Asn_C2.N2",5.05119579,50.18215905,100.01115647,6.61265184,25.95696499,99.83457566,23.22687298
"Asn_C3.N0",1.25133985,49.99411913,99.99969737,26.45056261,51.91321378,100.00542692,11.60197739
"Asn_C3.N1",1.25133985,49.99411913,99.99969737,26.45056261,51.91321378,100.00542692,11.60197739
"Asn_C3.N2",1.25133985,49.99411913,99.99969737,26.45056261,51.91321378,100.00542692,11.60197739
"Asn_C4.N0",0.31314481,103.91073066,100.00000722,105.80225166,103.82644693,46.08928017,5.80129854
"Asn_C4.N1",0.31314481,103.91073066,100.00000722,105.80225166,103.82644693,46.08928017,5.80129854
"Asn_C4.N2",0.31314481,103.91073066,100.00000722,105.80225166,103.82644693,46.08928017,5.80129854
"Arg_C0.N0",107.82114425,107.82114425,107.82114425,0.42117634,6.73882152,53.91057212,107.82114425
