"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",0.409454193539509,0.209230383119888,0.175324466826067,0.0242427475547722,0.0737882659338952,0.132410164530068,0.304931915326813
"Gly_C0.N1",0.409454193539509,0.209230383119888,0.175324466826067,0.0242427475547722,0.0737882659338952,0.132410164530068,0.304931915326813
"Gly_C1.N0",0.0713637312470327,0.0887743387350769,0.16205063425703,0.0951355693456455,0.141990015020552,0.254795542548102,0.12937953244987
"Gly_C1.N1",0.0713637312470327,0.0887743387350769,0.16205063425703,0.0951355693456455,0.141990015020552,0.254795542548102,0.12937953244987
"Gly_C2.N0",0.0191820752134581,0.201995278145035,0.162624898916903,0.380621683099582,0.284221719045553,0.11279429292183,0.0656885522233177
"Gly_C2.N1",0.0191820752134581,0.201995278145035,0.162624898916903,0.380621683099582,0.284221719045553,0.11279429292183,0.0656885522233177
"Asn_C0.N0",0.26976402915543,0.100488805005404,0.07081988099339,0.000996116437549794,0.0111531358957551,0.0445270239742582,0.185070129088161
"Asn_C0.N1",0.26976402915543,0.100488805005404,0.07081988099339,0.000996116437549794,0.0111531358957551,0.0445270239742582,0.185070129088161
"Asn_C0.N2",0.26976402915543,0.100488805005404,0.07081988099339,0.000996116437549794,0.0111531358957551,0.0445270239742582,0.185070129088161
"Asn_C1.N0",0.0470171461924646,0.0426363852209803,0.0654581008614817,0.00390904972906951,0.021461866759451,0.085682902606749,0.0785233869213094
"Asn_C1.N1",0.0470171461924646,0.0426363852209803,0.0654581008614817,0.00390904972906951,0.021461866759451,0.085682902606749,0.0785233869213094
"Asn_C1.N2",0.0470171461924646,0.0426363852209803,0.0654581008614817,0.00390904972906951,0.021461866759451,0.085682902606749,0.0785233869213094
"Asn_C2.N0",0.0126378822803427,0.0467695388562493,0.0656900670873441,0.0156394615937303,0.0429602649536897,0.0824576028237616,0.0398678794463166
"Asn_C2.N1",0.0126378822803427,0.0467695388562493,0.0656900670873441,0.0156394615937303,0.0429602649536897,0.0824576028237616,0.0398678794463166
"Asn_C2.N2",0.0126378822803427,0.0467695388562493,0.0656900670873441,0.0156394615937303,0.0429602649536897,0.0824576028237616,0.0398678794463166
"Asn_C3.N0",0.00313080038360612,0.0465942865253122,0.065682540436575,0.0625577405375168,0.0859193445553257,0.082598716112879,0.0199142706950564
"Asn_C3.N1",0.00313080038360612,0.0465942865253122,0.065682540436575,0.0625577405375168,0.0859193445553257,0.082598716112879,0.0199142706950564
"Asn_C3.N2",0.00313080038360612,0.0465942865253122,0.065682540436575,0.0625577405375168,0.0859193445553257,0.082598716112879,0.0199142706950564
"Asn_C4.N0",0.000783475321490214,0.0968443177253873,0.0656827439545425,0.250230965035467,0.171838721169112,0.0380670878156856,0.00995766718249013
"Asn_C4.N1",0.000783475321490214,0.0968443177253873,0.0656827439545425,0.250230965035467,0.171838721169112,0.0380670878156856,0.00995766718249013
