"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",100,100,100,6.25,25,50,100
"Gly_C0.N1",100,100,100,6.25,25,50,100
"Gly_C1.N0",25,50,100,25,50,100,50
"Gly_C1.N1",25,50,100,25,50,100,50
"Gly_C2.N0",6.25,100,100,100,100,50,25
"Gly_C2.N1",6.25,100,100,100,100,50,25
"Asn_C0.N0",100,100,100,0.390625,6.25,50,100
"Asn_C0.N1",100,100,100,0.390625,6.25,50,100
"Asn_C0.N2",100,100,100,0.390625,6.25,50,100
"Asn_C1.N0",25,50,100,1.5625,12.5,100,50
"Asn_C1.N1",25,50,100,1.5625,12.5,100,50
"Asn_C1.N2",25,50,100,1.5625,12.5,100,50
"Asn_C2.N0",6.25,50,100,6.25,25,100,25
"Asn_C2.N1",6.25,50,100,6.25,25,100,25
"Asn_C2.N2",6.25,50,100,6.25,25,100,25
"Asn_C3.N0",1.5625,50,100,25,50,100,12.5
"Asn_C3.N1",1.5625,50,100,25,50,100,12.5
"Asn_C3.N2",1.5625,50,100,25,50,100,12.5
"Asn_C4.N0",0.390625,100,100,100,100,50,6.25
"Asn_C4.N1",0.390625,100,100,100,100,50,6.25
"Asn_C4.N2",0.390625,100,100,100,100,50,6.25
"Arg_C0.N0",100,100,100,0.390625,6.25,50,100
"Arg_C0.N1",100,100,100,0.390625,6.25,50,100
"Arg_C0.N2",100,100,100,0.390625,6.25,50,100
"Arg_C0.N3",100,100,100,0.390625,6.25,50,100
"Arg_C0.N4",100,100,100,0.390625,6.25,50,100
"Arg_C1.N0",25,100,100,1.5625,12.5,50,50
"Arg_C1.N1",25,100,100,1.5625,12.5,50,50
"Arg_C1.N2",25,100,100,1.5625,12.5,50,50
"Arg_C1.N3",25,100,100,1.5625,12.5,50,50
"Arg_C1.N4",25,100,100,1.5625,12.5,50,50
"Arg_C2.N0",6.25,50,100,1.5625,12.5,100,25
"Arg_C2.N1",6.25,50,100,1.5625,12.5,100,25
"Arg_C2.N2",6.25,50,100,1.5625,12.5,100,25
"Arg_C2.N3",6.25,50,100,1.5625,12.5,100,25
"Arg_C2.N4",6.25,50,100,1.5625,12.5,100,25
"Arg_C3.N0",6.25,50,100,6.25,25,100,25
"Arg_C3.N1",6.25,50,100,6.25,25,100,25
"Arg_C3.N2",6.25,50,100,6.25,25,100,25
"Arg_C3.N3",6.25,50,100,6.25,25,100,25
"Arg_C3.N4",6.25,50,100,6.25,25,100,25
"Arg_C4.N0",1.5625,50,100,6.25,25,100,12.5
"Arg_C4.N1",1.5625,50,100,6.25,25,100,12.5
"Arg_C4.N2",1.5625,50,100,6.25,25,100,12.5
"Arg_C4.N3",1.5625,50,100,6.25,25,100,12.5
"Arg_C4.N4",1.5625,50,100,6.25,25,100,12.5
"Arg_C5.N0",1.5625,100,100,25,50,50,12.5
"Arg_C5.N1",1.5625,100,100,25,50,50,12.5
"Arg_C5.N2",1.5625,100,100,25,50,50,12.5
"Arg_C5.N3",1.5625,100,100,25,50,50,12.5
"Arg_C5.N4",1.5625,100,100,25,50,50,12.5
"Arg_C6.N0",0.390625,100,100,100,100,50,6.25
"Arg_C6.N1",0.390625,100,100,100,100,50,6.25
"Arg_C6.N2",0.390625,100,100,100,100,50,6.25
"Arg_C6.N3",0.390625,100,100,100,100,50,6.25
"Arg_C6.N4",0.390625,100,100,100,100,50,6.25
"Short_C0.N0",100,100,100,6.25,25,50,100
"Short_C0.N1",100,100,100,6.25,25,50,100
"Short_C1.N0",25,50,100,25,50,100,50
"Short_C1.N1",25,50,100,25,50,100,50
"Short_C2.N0",6.25,100,100,100,100,50,25
"Short_C2.N1",6.25,100,100,100,100,50,25
