"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",106.54464976,106.28512758,105.74566462,6.41701472,26.17485211,52.33336936,106.27696014
"Gly_C0.N1",108.71903037,108.45421181,107.90373941,6.54797421,26.70903277,53.4013973,108.44587769
"Gly_C1.N0",18.68818534,43.64008619,97.62760544,24.30518629,49.76717397,102.80132197,45.27357321
"Gly_C1.N1",19.06957688,44.5307002,99.62000555,24.8012105,50.78283058,104.89930813,46.19752369
"Gly_C2.N0",5.10169739,105.133445,101.01106292,106.8602368,104.86592561,46.38314938,23.45909408
"Gly_C2.N1",5.20581366,107.27902551,103.07251318,109.04105796,107.00604654,47.32974427,23.9378511
"Asn_C0.N0",106.55563021,106.29058709,105.75646299,0.40107886,6.5443356,52.34410739,106.28790249
"Asn_C0.N1",106.52268505,106.25772388,105.72376492,0.40095485,6.54231221,52.3279235,106.25504011
"Asn_C0.N2",109.81720108,109.54404523,108.99357208,0.41335552,6.74465176,53.94631289,109.54127846
"Asn_C1.N0",18.6904933,44.74856224,97.66786489,1.52689085,12.45853806,101.75323508,45.28176698
"Asn_C1.N1",18.68471452,44.73472676,97.63766767,1.52641876,12.4546861,101.72177474,45.26776664
"Asn_C1.N2",19.26259229,46.11827501,100.65738935,1.57362758,12.83988258,104.86780901,46.66780066
"Asn_C2.N0",5.06411441,49.22307908,98.02240492,5.93524846,24.69436689,97.8105283,23.10997267
"Asn_C2.N1",5.06254868,49.20786015,97.99209809,5.93341339,24.68673182,97.78028698,23.10282747
"Asn_C2.N2",5.21912235,50.72975273,101.02278153,6.11692102,25.45023899,100.80441956,23.8173479
"Asn_C3.N0",1.26383921,46.72559226,97.90775628,22.62600451,48.68712887,100.13604217,11.59840139
"Asn_C3.N1",1.26344845,46.71114551,97.8774849,22.61900894,48.67207565,100.10508183,11.59481537
"Asn_C3.N2",1.30252418,48.15582012,100.90462361,23.31856591,50.17739758,103.20111529,11.95341791
"Asn_C4.N0",0.32273055,107.0915643,103.06112887,109.04098706,107.00470055,47.500129,5.97888334
"Asn_C4.N1",0.32263077,107.05845344,103.02926414,109.00727347,106.97161654,47.48544278,5.97703477
"Asn_C4.N2",0.33260904,110.36953963,106.21573623,112.37863244,110.28001705,48.95406472,6.16189151
"Arg_C0.N0",106.55551525,105.75095881,105.756354,0.40058714,6.54299312,52.88357219,106.28777927
"Arg_C0.N1",106.55550965,105.75095325,105.75634844,0.40058712,6.54299278,52.88356941,106.28777368
"Arg_C0.N2",106.55663012,105.75206526,105.7574605,0.40059133,6.54306158,52.8841255,106.28889133
"Arg_C0.N3",106.44458319,105.64086435,105.64625392,0.4001701,6.53618139,52.82851653,106.17712594
"Arg_C0.N4",112.04692967,111.20090984,111.20658307,0.42123168,6.88019094,55.60896477,111.76539572
"Arg_C1.N0",18.69201751,98.74182598,97.66776938,1.62333345,12.72319017,47.75982809,45.28582278
"Arg_C1.N1",18.69201652,98.74182079,97.66776425,1.62333336,12.7231895,47.75982558,45.2858204
"Arg_C1.N2",18.69221308,98.74285909,97.66879126,1.62335043,12.72332329,47.76032779,45.2862966
"Arg_C1.N3",18.67255775,98.63902854,97.56609011,1.62164344,12.7099444,47.71010663,45.23867694
"Arg_C1.N4",19.65532395,103.83055635,102.70114748,1.70699309,13.37888884,50.22116487,47.61965993
"Arg_C2.N0",4.90993546,45.06041464,98.02127866,1.37534175,11.82511032,101.97150335,22.70081646
"Arg_C2.N1",4.9099352,45.06041227,98.02127351,1.37534168,11.8251097,101.97149799,22.70081527
"Arg_C2.N2",4.90998683,45.0608861,98.02230424,1.37535614,11.82523404,101.97257025,22.70105397
"Arg_C2.N3",4.90482386,45.01350346,97.91923136,1.37390992,11.81279952,101.86534358,22.67718325
"Arg_C2.N4",5.16297248,47.38263522,103.07287512,1.44622097,12.43452581,107.22667745,23.87071922
"Arg_C3.N0",6.38589632,49.23445144,98.00965435,6.51942852,25.52884398,97.78003009,25.12688063
"Arg_C3.N1",6.38589598,49.23444885,98.0096492,6.51942817,25.52884264,97.78002495,25.12687931
"Arg_C3.N2",6.38596313,49.23496657,98.01067981,6.51949673,25.52911108,97.78105314,25.12714353
"Arg_C3.N3",6.37924814,49.18319479,97.90761916,6.51264132,25.50226659,97.67823395,25.10072172
"Arg_C3.N4",6.71499804,51.77178399,103.06065174,6.85541191,26.84449115,102.81919363,26.42181233
"Arg_C4.N0",1.14887944,46.27356779,98.01365125,5.21403539,23.18054099,100.74690909,11.22856521
"Arg_C4.N1",1.14887938,46.27356535,98.01364609,5.21403512,23.18053978,100.74690379,11.22856462
"Arg_C4.N2",1.14889147,46.27405194,98.01467674,5.21408995,23.18078353,100.74796318,11.22868269
"Arg_C4.N3",1.14768338,46.22539363,97.91161189,5.2086072,23.15640836,100.64202421,11.21687545
"Arg_C4.N4",1.20808777,48.65830908,103.06485462,5.48274442,24.3751667,105.93897285,11.80723732
"Arg_C5.N0",1.62450704,101.87475299,97.79282114,20.87741574,47.5374188,44.81447872,12.69393658
"Arg_C5.N1",1.62450696,101.87474764,97.792816,20.87741464,47.5374163,44.81447636,12.69393591
"Arg_C5.N2",1.62452404,101.87581889,97.79384432,20.87763417,47.53791617,44.8149476,12.69406939
