"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",0.404606665481852,0.206249693580655,0.171949596697705,0.0230850553691794,0.0716518809656928,0.128536384881538,0.300564766170018
"Gly_C0.N1",0.412863944379312,0.210458870988391,0.175458772143502,0.0235561789694334,0.0731141642635561,0.131159576394695,0.306698740978848
"Gly_C1.N0",0.0709689728330497,0.0846849847147812,0.158749083873039,0.0874373202720141,0.136234260667896,0.252491105553897,0.128039425738366
"Gly_C1.N1",0.0724173192266977,0.0864132497208412,0.161988861093279,0.0892217553796062,0.139014551697465,0.257643985252562,0.130652475261123
"Gly_C2.N0",0.019373856631141,0.204014816654451,0.164250814381051,0.38442711929631,0.287063353312865,0.113922004519022,0.0663453030405396
"Gly_C2.N1",0.0197692414479478,0.20817838434088,0.167602871811425,0.392272570713457,0.292921789092525,0.116246943398286,0.0676992888111055
"Asn_C0.N0",0.266597765529895,0.09906233285033,0.0694637417862763,0.000948584256113212,0.0108312505495489,0.0432332144336401,0.1824383887794
"Asn_C0.N1",0.26651533810655,0.0990317044914445,0.0694422647982306,0.00094829096233652,0.010827901723115,0.0432198474736969,0.182381981986922
"Asn_C0.N2",0.274758080516027,0.1020945407062,0.0715899637078909,0.000977619559528742,0.0111627852767843,0.0445565437901263,0.188022661835463
"Asn_C1.N0",0.0467628387220015,0.0417054518989447,0.0641509289902915,0.00361122154658892,0.0206195946321809,0.0840423048721363,0.0777241098505323
"Asn_C1.N1",0.0467483804542174,0.0416925572959283,0.0641310946290294,0.00361010501518792,0.0206132194175805,0.0840163204453652,0.0777000788986353
"Asn_C1.N2",0.0481942066571855,0.0429820178305657,0.0661145305450526,0.00372175772957352,0.021250741672045,0.0866147633454819,0.0801031741226584
"Asn_C2.N0",0.0126702041312411,0.0458756807845295,0.0643838005936009,0.0140373472819689,0.0408705927226705,0.0807858564165597,0.0396672253368386
"Asn_C2.N1",0.0126662867397471,0.0458614968125471,0.0643638942374884,0.0140330071915666,0.0408579562441663,0.0807608788300173,0.0396549609234391
"Asn_C2.N2",0.0130580275654599,0.047279893619357,0.0663545301377455,0.0144670177218016,0.0421216043759411,0.0832586379632999,0.040881403001468
"Asn_C3.N0",0.00316207326361856,0.0435480346831616,0.0643084962263789,0.0535123483120814,0.0805799891022006,0.0827065967791954,0.0199081326513846
"Asn_C3.N1",0.00316109559831216,0.043534570379348,0.0642886131547974,0.0534958032177712,0.0805550751602265,0.0826810253235933,0.0199019774098603
"Asn_C3.N2",0.00325886145342388,0.0448810003972296,0.0662769207792928,0.0551503125778413,0.0830464692417831,0.085238170437801,0.0205175024891699
"Asn_C4.N0",0.000807458445214651,0.0998088398850062,0.0676933725053263,0.257890838714762,0.17709891308699,0.0392323675974058,0.0102624834783264
"Asn_C4.N1",0.000807208799794769,0.0997779807174724,0.0676724428778196,0.25781110332135,0.177044157154013,0.0392202376265239,0.0102593104913312
"Asn_C4.N2",0.000832174017311772,0.102863897647936,0.0697654050307791,0.265784642591528,0.182519749640753,0.0404332346651571,0.0105766087445712
"Arg_C0.N0",0.151098650841395,0.0379386137665327,0.0298962116777345,0.000538597510281791,0.00547753444991597,0.0209959412376168,0.091747065929454
"Arg_C0.N1",0.151098642900441,0.0379386117718587,0.0298962101059809,0.000538597483391387,0.00547753416528145,0.0209959401338956,0.0917470611041947
"Arg_C0.N2",0.151100231757714,0.0379390107102548,0.0298965244736751,0.00053860314382152,0.00547759176191395,0.0209961609138558,0.0917480258539424
"Arg_C0.N3",0.150941346129746,0.0378991169029319,0.0298650875402911,0.000538036791568535,0.00547183193960391,0.0209740829297475,0.0916515505425247
"Arg_C0.N4",0.158885627499772,0.0398938072654888,0.0314369342518965,0.000566354511779425,0.00575982309696357,0.02207798203194,0.0964753163551006
