"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",98.8161000344503,98.5754031082526,98.075071782932,5.95153646778537,24.2761772676055,48.53720457542,98.5678281190825
"Gly_C0.N1",99.8244275882582,99.5812745627319,99.0758378232198,6.01226643717653,24.5238933664828,49.0324821675068,99.5736222800026
"Gly_C1.N0",17.1723760296753,40.1004140524069,89.7089750016603,22.3337788474217,45.7305302681201,94.4630484500835,41.601408013923
"Gly_C1.N1",17.3476043587366,40.5096019564704,90.6243727048306,22.5616745499464,46.1971683305953,95.426957105324,42.0259121830856
"Gly_C2.N0",4.64456452419743,95.7130601103062,91.960060255496,97.2851243316525,95.46951154728,42.2270302729379,21.3570636994951
"Gly_C2.N1",4.69195803680747,96.6897239887988,92.8984282139759,98.2778296827112,96.4436902358022,42.657918341178,21.5749929190792
"Asn_C0.N0",98.8262839831335,98.5804665956029,98.085086859358,0.371985349247848,6.06962172915602,48.5471636887968,98.5779767314684
"Asn_C0.N1",97.8077713174197,97.5644873492096,97.0742130397697,0.368151631354417,6.00706766096338,48.046832210445,97.5620231458119
"Asn_C0.N2",99.8244263938802,99.5761262571601,99.0757432032891,0.375742390763399,6.13092472351395,49.0374885477735,99.5736112483501
"Asn_C1.N0",17.1744967897309,41.1189809814145,89.7459689848411,1.40304386731165,11.4480189731649,93.4999724820638,41.6089371825919
"Asn_C1.N1",16.9974948625551,40.6952050279925,88.8210388676942,1.38858396811127,11.3300346533465,92.5363532690004,41.1801116939273
"Asn_C1.N2",17.3479586753612,41.5342814200437,90.652400493368,1.41721455852133,11.5636436176852,94.4443193155054,42.029186162029
"Asn_C2.N0",4.61034913228419,44.8124907045364,89.2391981853608,5.4034260231992,22.4816510343452,89.0463065735048,21.0392249898331
"Asn_C2.N1",4.56283446108885,44.350649098126,88.3194909010635,5.34773782911615,22.2499530967384,88.1285872489628,20.8223928285676
"Asn_C2.N2",4.65691352168229,45.2650954695354,90.140511326586,5.4580004642161,22.7087150165347,89.9456715158821,21.2517205093154
"Asn_C3.N0",1.13995848390693,42.1455790348228,88.3108994629768,20.4082177495434,43.9148470575039,90.3207701686622,10.4615333656949
"Asn_C3.N1",1.12820996569729,41.7112228627281,87.4007593119976,20.1978888021147,43.4622566512331,89.3899160963387,10.3537158566732
"Asn_C3.N2",1.151472031038,42.5712480822254,89.2028368251345,20.6143401109692,44.3583856567208,91.2330071510562,10.5671945365911
"Asn_C4.N0",0.288405838221464,95.7016073265742,92.099837650333,97.4436949756852,95.6239821602247,42.4481491444571,5.34298615765085
"Asn_C4.N1",0.285433503835653,94.7152978638874,91.1506483435824,96.4394313974249,94.638472703568,42.0106746603333,5.28792085438295
"Asn_C4.N2",0.291318729635325,96.6681906043423,93.0300431575895,98.4278732790184,96.5897814177511,42.8768741364212,5.39695014556398
"Arg_C0.N0",98.8261773621169,98.079981942286,98.0849857752889,0.371529297697457,6.06837663014567,49.0474967206473,98.5778624496169
"Arg_C0.N1",97.8379104466472,97.0991770177421,97.1041308124149,0.367813986356737,6.00769255166055,48.5570192008802,97.592078692454
"Arg_C0.N2",96.8605498554367,96.1291960706352,96.1341003728115,0.364139673405812,5.94767816571396,48.0719544976722,96.6171738553903
"Arg_C0.N3",95.7911116075282,95.0678327069373,95.072682863572,0.360119205339675,5.88200979564133,47.5411915884207,95.5504227296426
"Arg_C0.N4",99.8244215666681,99.070688819038,99.0757431913875,0.375282115497488,6.12967336879754,49.5429259724978,99.5735984178955
"Arg_C1.N0",17.1758973701935,90.7328204818265,89.7458812217113,1.49166395333653,11.6912050004481,43.8860013507405,41.612664014354
"Arg_C1.N1",17.004137495888,89.8254875556624,88.8484177427305,1.47674723193011,11.5742923409442,43.4471390538848,41.1965352091232
"Arg_C1.N2",16.8342731435597,88.9281677767543,87.9608584941378,1.46199513291312,11.4586699092815,43.0131199554463,40.7849987244344
"Arg_C1.N3",16.6484057690759,87.9463110404024,86.9896818208262,1.44585323357107,11.3321546253402,42.5382116952948,40.3346911674838
"Arg_C1.N4",17.3493912774651,91.6493136035561,90.652405262197,1.50673126027715,11.8092979761278,44.3292942897395,42.0329939474437
"Arg_C2.N0",4.4699852441885,41.0228179532559,89.2381728428442,1.25210552731306,10.765532270622,92.8344413110104,20.666730842778
"Arg_C2.N1",4.42528515741071,40.6125876376614,88.3457864727621,1.23958440894949,10.6578763891147,91.9060920669753,20.4600624618128
"Arg_C2.N2",4.38107837420385,40.206884549866,87.4632483068176,1.22720146721503,10.5514085712004,90.9879879014375,20.2556748242034
"Arg_C2.N3",4.33270684860509,39.7629599528271,86.4975657502241,1.21365192505618,10.4349103744376,89.9833886725091,20.0320317260787
"Arg_C2.N4",4.51513660696942,41.4371898446572,90.1395685223368,1.26475306012358,10.874275021322,93.7721629301029,20.8754857017775
"Arg_C3.N0",5.75995477093486,44.4085214127292,88.4028095481136,5.88039822850472,23.0265227167128,88.195692913951,22.6639595619804
"Arg_C3.N1",5.70235491961883,43.9644338858334,87.5187768538842,5.82159393368338,22.7962562929782,87.3137313949929,22.4373187876523
"Arg_C3.N2",5.64539073311861,43.5252472276147,86.6445001767539,5.76343860352652,22.5685310393873,86.441503033096,22.2131791785029
"Arg_C3.N3",5.58305992763881,43.0446845645517,85.6878574318506,5.69980442503632,22.3193516756022,85.4871015832242,21.9679232590167
"Arg_C3.N4",5.81813613329426,44.8570923361467,89.2957672120705,5.93979618528479,23.2591138536971,89.0865584906235,22.8928884429418
"Arg_C4.N0",1.02668786053445,41.352041528057,87.5891955251912,4.65948528011782,20.7151239777206,90.031751764198,10.0343266586148
"Arg_C4.N1",1.01642092884672,40.9385189540929,86.7132990048543,4.61289018844592,20.5079716674487,89.1314295576121,9.93398287005189
"Arg_C4.N2",1.00626730869751,40.5295599489414,85.8470687192202,4.56680930992831,20.3031054414849,88.2410431386475,9.834746454062
"Arg_C4.N3",0.995157099886174,40.0820726931914,84.8992304250612,4.51638712028595,20.0789386592995,87.2667729487359,9.72616092306436
"Arg_C4.N4",1.03705845281574,41.7697389082377,88.4739348631075,4.70655078760491,20.9243676599986,90.9411633864236,10.1356834918605
"Arg_C5.N0",1.43830894777884,90.1980509596783,86.5839828396174,18.4844836777936,42.0887648565377,39.6779232997478,11.2389802666236
"Arg_C5.N1",1.42392578817881,89.2960657606568,85.7181385058674,18.2996378768349,41.6678750166524,39.2811419981443,11.1265898766836
"Arg_C5.N2",1.40970135168378,88.4040346938324,84.8618494585386,18.11683199801,41.2516300350219,38.8887395026532,11.0154398068807
"Arg_C5.N3",1.39413682328881,87.4279649024139,83.9248889788823,17.9168038915405,40.7961704004646,38.4593685659095,10.8938182382932
"Arg_C5.N4",1.45283732245438,91.1091423724368,87.4585685117018,18.6711956325517,42.513903892801,40.0787103993683,11.3525053197727
"Arg_C6.N0",0.275288436553456,92.082642994937,92.240379748786,97.5919064869617,95.7686047021834,46.277926628242,5.31284497187621
"Arg_C6.N1",0.272535534819424,91.1618117712824,91.3179711489086,96.6159823418067,94.8109136704029,45.8151449477384,5.25971625294574
"Arg_C6.N2",0.269813016615263,90.251142661054,90.4057420698138,95.6508283117408,93.8637915331211,45.3574704479653,5.20717383869872
"Arg_C6.N3",0.266834009189778,89.2546789402398,89.4075714207538,94.5947466144315,92.8274405302896,44.8566781908909,5.14968139050384
"Arg_C6.N4",0.278069127140151,93.0127706886399,93.1721007463938,98.5776833108821,96.7359643354389,46.7453804225245,5.36651007442145
"Short_C0.N0",98.7550661576251,98.5145240200362,98.0145015714492,5.94786701916422,24.2611894339899,48.5072283371376,98.5069487447586
"Short_C0.N1",99.3942500607108,99.152151032789,98.6488922321037,5.98636408606041,24.418217955132,48.8211873104873,99.1445267329007
"Short_C1.N0",23.5604745757737,46.441909730238,95.9549484053185,22.6894895972415,47.2451890919212,97.4905128826194,47.9419770845061
"Short_C1.N1",23.7129677751032,46.7425011106968,96.5760087799375,22.8363454202497,47.5509796279678,98.1215120640405,48.2522775195801
"Short_C2.N0",5.93230601480667,98.4913816843363,97.9559206069216,98.7482533481782,98.4826945805789,48.4424992357087,24.2299367216117
"Short_C2.N1",5.97070236371659,99.128858908704,98.5899321083097,99.3873931482187,99.1201155878111,48.7560392537606,24.3867629525564
