"","sample1","sample2","sample3","sample4","sample5","sample6","sample7"
"Gly_C0.N0",0.407494062097637,0.209214322568016,0.174404440207596,0.0235777052277549,0.0729801178533902,0.130355587921118,0.303565066232236
"Gly_C0.N1",0.411652164782149,0.211349162581892,0.17618407735557,0.0238182940781377,0.0737248129464833,0.13168574696644,0.306662668937927
"Gly_C1.N0",0.0708147889034368,0.0851082592222127,0.159527220142036,0.0884778673770479,0.137477142783882,0.253697886502668,0.128122272957498
"Gly_C1.N1",0.0715373887993936,0.0859767108587499,0.161155048917345,0.0893807027584463,0.138879970767008,0.256286640440091,0.129429643107442
"Gly_C2.N0",0.0191530779294059,0.203139347144228,0.163530268586637,0.385406356317048,0.287004668293614,0.113408454515307,0.0657745897437318
"Gly_C2.N1",0.0193485174879779,0.205212197624901,0.165198944790817,0.389339074241565,0.289933287355623,0.114565683654376,0.0664457590211663
"Asn_C0.N0",0.269948334231757,0.10194348757811,0.0714724242686189,0.000991788142270925,0.0112697306335284,0.0444769822544064,0.185626510675526
"Asn_C0.N1",0.267166222161751,0.100892848731885,0.0707358229683697,0.00098156667533626,0.0111535837746268,0.0440185984355982,0.183713426989223
"Asn_C0.N2",0.272674804055849,0.102973113647505,0.0721942935433983,0.00100180517448114,0.0113835545692317,0.0449261984061758,0.187501332693635
"Asn_C1.N0",0.0469128921254166,0.0425217334799098,0.0653958942900288,0.00374079859193188,0.0212560347039997,0.085660959382307,0.0783513932646589
"Asn_C1.N1",0.0464294035890565,0.0420835006318061,0.0647219182568901,0.0037022455774264,0.0210369680862324,0.0847781297506078,0.0775438966838924
"Asn_C1.N2",0.0473867108828495,0.0429512016754728,0.066056390797931,0.00377858051946735,0.0214707200100183,0.0865261324256228,0.0791427399148378
"Asn_C2.N0",0.0125933710985162,0.0463412453526148,0.0650266216641164,0.0144066261434303,0.041742659206752,0.0815806876520814,0.0396177528863131
"Asn_C2.N1",0.0124635826877434,0.0458636482617094,0.064356451393273,0.0142581501599871,0.0413124555694099,0.0807399096743229,0.0392094487312421
"Asn_C2.N2",0.0127205637728323,0.0468092904921022,0.0656833885314476,0.014552132636041,0.042164258777539,0.0824046500742483,0.0400178909609982
"Asn_C3.N0",0.00311384665517278,0.0435833533881889,0.06435019100316,0.0544124342794861,0.081538606396726,0.0827483005546409,0.0196995109798152
"Asn_C3.N1",0.00308175506179744,0.0431341793827944,0.063686992089874,0.0538516547851917,0.08069826210616,0.0818954890428999,0.0194964860380075
"Asn_C3.N2",0.00314529641472928,0.0440235439121828,0.0650001259485261,0.0549619981650862,0.0823621438034702,0.0835840558283751,0.0198984754454867
"Asn_C4.N0",0.000787793211205687,0.0989664175330344,0.0671111061058055,0.259804590184431,0.177549206382077,0.0388893074852506,0.0100610695199606
"Asn_C4.N1",0.000779674149313546,0.0979464606396465,0.0664194529400129,0.257127020461195,0.175719368113909,0.0384885107468076,0.00995737921870036
"Asn_C4.N2",0.000795749902009766,0.0999659752930375,0.0677889261985477,0.262428608504238,0.17934244786632,0.0392820882866553,0.0101626859977033
"Arg_C0.N0",0.154815421073174,0.0398012843313605,0.0313619366683281,0.000578610153763395,0.00583492481858671,0.0220236890018845,0.0947931114990358
