"Measurements/Samples","sample1"
"NoDeriv_C0",100
"NoDeriv_C1",100
"NoDeriv_C2",100
"NoDeriv_C3",100
"NoDeriv_C4",100
"NoDeriv_C5",100
"NoDeriv_C6",100
"NoDeriv2Tracer_C0.N0",100
"NoDeriv2Tracer_C0.N1",100
"NoDeriv2Tracer_C0.N2",100
"NoDeriv2Tracer_C1.N0",100
"NoDeriv2Tracer_C1.N1",100
"NoDeriv2Tracer_C1.N2",100
"NoDeriv2Tracer_C2.N0",100
"NoDeriv2Tracer_C2.N1",100
"NoDeriv2Tracer_C2.N2",100
"NoDeriv2Tracer_C3.N0",100
"NoDeriv2Tracer_C3.N1",100
"NoDeriv2Tracer_C3.N2",100
"NoDeriv2Tracer_C4.N0",100
"NoDeriv2Tracer_C4.N1",100
"NoDeriv2Tracer_C4.N2",100
"NoDeriv2Tracer_C5.N0",100
"NoDeriv2Tracer_C5.N1",100
"NoDeriv2Tracer_C5.N2",100
"NoDeriv2Tracer_C6.N0",100
"NoDeriv2Tracer_C6.N1",100
"NoDeriv2Tracer_C6.N2",100
