"","sample1"
"NoDeriv_C0",0.152382082871429
"NoDeriv_C1",0.140968664857143
"NoDeriv_C2",0.141335035571429
"NoDeriv_C3",0.141328501971429
"NoDeriv_C4",0.141328571871429
"NoDeriv_C5",0.141328571428571
"NoDeriv_C6",0.141328571428571
"NoDeriv2Tracer_C0.N0",0.0511699454571429
"NoDeriv2Tracer_C0.N1",0.0506050292571429
"NoDeriv2Tracer_C0.N2",0.050607108152381
"NoDeriv2Tracer_C1.N0",0.0473373165428571
"NoDeriv2Tracer_C1.N1",0.0468147125666667
"NoDeriv2Tracer_C1.N2",0.0468166357476191
"NoDeriv2Tracer_C2.N0",0.0474603439285714
"NoDeriv2Tracer_C2.N1",0.0469363817333333
"NoDeriv2Tracer_C2.N2",0.0469383099142857
"NoDeriv2Tracer_C3.N0",0.0474581499428571
"NoDeriv2Tracer_C3.N1",0.0469342119666667
"NoDeriv2Tracer_C3.N2",0.0469361400571429
"NoDeriv2Tracer_C4.N0",0.0474581734190476
"NoDeriv2Tracer_C4.N1",0.0469342351809524
"NoDeriv2Tracer_C4.N2",0.0469361632761905
"NoDeriv2Tracer_C5.N0",0.0474581732666667
"NoDeriv2Tracer_C5.N1",0.0469342350333333
"NoDeriv2Tracer_C5.N2",0.0469361631285714
"NoDeriv2Tracer_C6.N0",0.0474581732666667
"NoDeriv2Tracer_C6.N1",0.0469342350333333
"NoDeriv2Tracer_C6.N2",0.0469361631285714
