"","sample1"
"NoDeriv_C0",100.000000003604
"NoDeriv_C1",93.5105630229443
"NoDeriv_C2",94.7676058174558
"NoDeriv_C3",95.7881582176581
"NoDeriv_C4",96.8242247991015
"NoDeriv_C5",97.871449
"NoDeriv_C6",98.93
"NoDeriv2Tracer_C0.N0",100.000000000923
"NoDeriv2Tracer_C0.N1",99.2612815126715
"NoDeriv2Tracer_C0.N2",99.632005024313
"NoDeriv2Tracer_C1.N0",93.510563026121
"NoDeriv2Tracer_C1.N1",92.8197832094471
"NoDeriv2Tracer_C1.N2",93.1664488424387
"NoDeriv2Tracer_C2.N0",94.7676058182791
"NoDeriv2Tracer_C2.N1",94.0675400007089
"NoDeriv2Tracer_C2.N2",94.4188657902847
"NoDeriv2Tracer_C3.N0",95.7881582164068
"NoDeriv2Tracer_C3.N1",95.0805533844949
"NoDeriv2Tracer_C3.N2",95.4356625989427
"NoDeriv2Tracer_C4.N0",96.8242248054899
"NoDeriv2Tracer_C4.N1",96.1089663525742
"NoDeriv2Tracer_C4.N2",96.4679165171683
"NoDeriv2Tracer_C5.N0",97.8714489988903
"NoDeriv2Tracer_C5.N1",97.1484545135846
"NoDeriv2Tracer_C5.N2",97.511286984501
"NoDeriv2Tracer_C6.N0",98.9299999988783
"NoDeriv2Tracer_C6.N1",98.1991858016624
"NoDeriv2Tracer_C6.N2",98.56594257
