"","sample1"
"NoDeriv_C0",0.147559658187776
"NoDeriv_C1",0.137983867161148
"NoDeriv_C2",0.139838755211937
"NoDeriv_C3",0.141344678845248
"NoDeriv_C4",0.142873495151368
"NoDeriv_C5",0.144418775602618
"NoDeriv_C6",0.145980769839905
"NoDeriv2Tracer_C0.N0",0.0493686759892461
"NoDeriv2Tracer_C0.N1",0.049003980452312
"NoDeriv2Tracer_C0.N2",0.0491870017415886
"NoDeriv2Tracer_C1.N0",0.0461649268756594
"NoDeriv2Tracer_C1.N1",0.0458238980261697
"NoDeriv2Tracer_C1.N2",0.0459950422592858
"NoDeriv2Tracer_C2.N0",0.0467855122587604
"NoDeriv2Tracer_C2.N1",0.0464398990335759
"NoDeriv2Tracer_C2.N2",0.0466133439242966
"NoDeriv2Tracer_C3.N0",0.0472893454654879
"NoDeriv2Tracer_C3.N1",0.0469400103287403
"NoDeriv2Tracer_C3.N2",0.0471153230462274
"NoDeriv2Tracer_C4.N0",0.0478008378228804
"NoDeriv2Tracer_C4.N1",0.047447724194778
"NoDeriv2Tracer_C4.N2",0.0476249331384977
"NoDeriv2Tracer_C5.N0",0.0483178385417965
"NoDeriv2Tracer_C5.N1",0.0479609057369291
"NoDeriv2Tracer_C5.N2",0.0481400313238779
"NoDeriv2Tracer_C6.N0",0.0488404311551566
"NoDeriv2Tracer_C6.N1",0.0484796378620531
"NoDeriv2Tracer_C6.N2",0.0486607008226806
