"","sample1"
"NoDeriv_C0",105.67003108
"NoDeriv_C1",97.67539943
"NoDeriv_C2",97.93461954
"NoDeriv_C3",97.92991167
"NoDeriv_C4",97.93376303
"NoDeriv_C5",97.70814934
"NoDeriv_C6",105.14812591
"NoDeriv2Tracer_C0.N0",105.39552885
"NoDeriv2Tracer_C0.N1",104.18774367
"NoDeriv2Tracer_C0.N2",107.42682071
"NoDeriv2Tracer_C1.N0",97.4216651
"NoDeriv2Tracer_C1.N1",96.3052568
"NoDeriv2Tracer_C1.N2",99.2992764
"NoDeriv2Tracer_C2.N0",97.68021183
"NoDeriv2Tracer_C2.N1",96.56084069
"NoDeriv2Tracer_C2.N2",99.5628061
"NoDeriv2Tracer_C3.N0",97.67551619
"NoDeriv2Tracer_C3.N1",96.55619886
"NoDeriv2Tracer_C3.N2",99.55801996
"NoDeriv2Tracer_C4.N0",97.67935754
"NoDeriv2Tracer_C4.N1",96.5599962
"NoDeriv2Tracer_C4.N2",99.56193535
"NoDeriv2Tracer_C5.N0",97.45432994
"NoDeriv2Tracer_C5.N1",96.33754731
"NoDeriv2Tracer_C5.N2",99.33257078
"NoDeriv2Tracer_C6.N0",104.87497945
"NoDeriv2Tracer_C6.N1",103.67315953
"NoDeriv2Tracer_C6.N2",106.89623874
