"","sample1"
"NoDeriv_C0",0.150957187257143
"NoDeriv_C1",0.1395362849
"NoDeriv_C2",0.139906599342857
"NoDeriv_C3",0.139899873814286
"NoDeriv_C4",0.139905375757143
"NoDeriv_C5",0.139583070485714
"NoDeriv_C6",0.150211608442857
"NoDeriv2Tracer_C0.N0",0.0501883470714286
"NoDeriv2Tracer_C0.N1",0.0496132112714286
"NoDeriv2Tracer_C0.N2",0.0511556289095238
"NoDeriv2Tracer_C1.N0",0.0463912690952381
"NoDeriv2Tracer_C1.N1",0.0458596460952381
"NoDeriv2Tracer_C1.N2",0.0472853697142857
"NoDeriv2Tracer_C2.N0",0.0465143865857143
"NoDeriv2Tracer_C2.N1",0.0459813527095238
"NoDeriv2Tracer_C2.N2",0.047410860047619
"NoDeriv2Tracer_C3.N0",0.0465121505666667
"NoDeriv2Tracer_C3.N1",0.0459791423142857
"NoDeriv2Tracer_C3.N2",0.0474085809333333
"NoDeriv2Tracer_C4.N0",0.0465139797809524
"NoDeriv2Tracer_C4.N1",0.0459809505714286
"NoDeriv2Tracer_C4.N2",0.0474104454047619
"NoDeriv2Tracer_C5.N0",0.0464068237809524
"NoDeriv2Tracer_C5.N1",0.0458750225285714
"NoDeriv2Tracer_C5.N2",0.0473012241809524
"NoDeriv2Tracer_C6.N0",0.0499404664047619
"NoDeriv2Tracer_C6.N1",0.0493681712047619
"NoDeriv2Tracer_C6.N2",0.0509029708285714
