"","sample1"
"NoDeriv_C0",99.0649191939138
"NoDeriv_C1",91.6848553170979
"NoDeriv_C2",92.0233637158159
"NoDeriv_C3",92.0941046145242
"NoDeriv_C4",92.15282996565
"NoDeriv_C5",91.9754534650911
"NoDeriv_C6",98.994873290982
"NoDeriv2Tracer_C0.N0",98.0816896002493
"NoDeriv2Tracer_C0.N1",96.3462760578749
"NoDeriv2Tracer_C0.N2",98.7077304980821
"NoDeriv2Tracer_C1.N0",90.7748736262728
"NoDeriv2Tracer_C1.N1",89.168743618415
"NoDeriv2Tracer_C1.N2",91.3542762054817
"NoDeriv2Tracer_C2.N0",91.1100222976852
"NoDeriv2Tracer_C2.N1",89.4979623087778
"NoDeriv2Tracer_C2.N2",91.6915640715342
"NoDeriv2Tracer_C3.N0",91.1800610858548
"NoDeriv2Tracer_C3.N1",89.5667618620306
"NoDeriv2Tracer_C3.N2",91.7620499062117
"NoDeriv2Tracer_C4.N0",91.2382035769242
"NoDeriv2Tracer_C4.N1",89.6238756152742
"NoDeriv2Tracer_C4.N2",91.8205635172797
"NoDeriv2Tracer_C5.N0",91.0625875626034
"NoDeriv2Tracer_C5.N1",89.4513668677841
"NoDeriv2Tracer_C5.N2",91.6438265674454
"NoDeriv2Tracer_C6.N0",98.0123389112719
"NoDeriv2Tracer_C6.N1",96.2781524279238
"NoDeriv2Tracer_C6.N2",98.6379371516353
