"","sample1"
"NoDeriv_C0",0.150556785113728
"NoDeriv_C1",0.139340718919272
"NoDeriv_C2",0.139855176879362
"NoDeriv_C3",0.139962687412578
"NoDeriv_C4",0.140051936968749
"NoDeriv_C5",0.139782363885804
"NoDeriv_C6",0.150450330820507
"NoDeriv2Tracer_C0.N0",0.0503755225238783
"NoDeriv2Tracer_C0.N1",0.0494842005620684
"NoDeriv2Tracer_C0.N2",0.0506970620230262
"NoDeriv2Tracer_C1.N0",0.0466226847192372
"NoDeriv2Tracer_C1.N1",0.045797763791418
"NoDeriv2Tracer_C1.N2",0.0469202704133489
"NoDeriv2Tracer_C2.N0",0.0467948196968706
"NoDeriv2Tracer_C2.N1",0.0459668530844272
"NoDeriv2Tracer_C2.N2",0.0470935040980724
"NoDeriv2Tracer_C3.N0",0.0468307921659967
"NoDeriv2Tracer_C3.N1",0.0460021890728124
"NoDeriv2Tracer_C3.N2",0.0471297061737797
"NoDeriv2Tracer_C4.N0",0.0468606546039339
"NoDeriv2Tracer_C4.N1",0.0460315231429602
"NoDeriv2Tracer_C4.N2",0.0471597592218493
"NoDeriv2Tracer_C5.N0",0.0467704568461157
"NoDeriv2Tracer_C5.N1",0.045942921301677
"NoDeriv2Tracer_C5.N2",0.0470689857427886
"NoDeriv2Tracer_C6.N0",0.0503399034678765
"NoDeriv2Tracer_C6.N1",0.0494492117331749
"NoDeriv2Tracer_C6.N2",0.0506612156146877
