"","sample1"
"NoDeriv_C0",99
"NoDeriv_C1",99
"NoDeriv_C2",99.00000022
"NoDeriv_C3",98.99996305
"NoDeriv_C4",99.0036806
"NoDeriv_C5",98.78062757
"NoDeriv_C6",106.21572857
"NoDeriv2Tracer_C0.N0",98.01010101
"NoDeriv2Tracer_C0.N1",97.97979798
"NoDeriv2Tracer_C0.N2",101.01010101
"NoDeriv2Tracer_C1.N0",98.01010101
"NoDeriv2Tracer_C1.N1",97.97979798
"NoDeriv2Tracer_C1.N2",101.01010101
"NoDeriv2Tracer_C2.N0",98.01010123
"NoDeriv2Tracer_C2.N1",97.9797982
"NoDeriv2Tracer_C2.N2",101.01010124
"NoDeriv2Tracer_C3.N0",98.01006443
"NoDeriv2Tracer_C3.N1",97.97976141
"NoDeriv2Tracer_C3.N2",101.01006331
"NoDeriv2Tracer_C4.N0",98.01374481
"NoDeriv2Tracer_C4.N1",97.98344065
"NoDeriv2Tracer_C4.N2",101.01385634
"NoDeriv2Tracer_C5.N0",97.79292208
"NoDeriv2Tracer_C5.N1",97.7626862
"NoDeriv2Tracer_C5.N2",100.78627443
"NoDeriv2Tracer_C6.N0",105.15367965
"NoDeriv2Tracer_C6.N1",105.12116795
"NoDeriv2Tracer_C6.N2",108.3723381
