"","sample1"
"NoDeriv_C0",0.141428571426551
"NoDeriv_C1",0.141428571426551
"NoDeriv_C2",0.141428571740837
"NoDeriv_C3",0.141428518640837
"NoDeriv_C4",0.141433829426551
"NoDeriv_C5",0.141115182240841
"NoDeriv_C6",0.151736755097832
"NoDeriv2Tracer_C0.N0",0.0466714766707618
"NoDeriv2Tracer_C0.N1",0.0466570466564763
"NoDeriv2Tracer_C0.N2",0.0481000480993129
"NoDeriv2Tracer_C1.N0",0.0466714766707618
"NoDeriv2Tracer_C1.N1",0.0466570466564763
"NoDeriv2Tracer_C1.N2",0.0481000480993129
"NoDeriv2Tracer_C2.N0",0.0466714767755237
"NoDeriv2Tracer_C2.N1",0.0466570467612382
"NoDeriv2Tracer_C2.N2",0.0481000482088367
"NoDeriv2Tracer_C3.N0",0.0466714592517142
"NoDeriv2Tracer_C3.N1",0.0466570292421906
"NoDeriv2Tracer_C3.N2",0.0481000301469319
"NoDeriv2Tracer_C4.N0",0.046673211813619
"NoDeriv2Tracer_C4.N1",0.0466587812612382
"NoDeriv2Tracer_C4.N2",0.0481018363516938
"NoDeriv2Tracer_C5.N0",0.0465680581326681
"NoDeriv2Tracer_C5.N1",0.046553660094573
"NoDeriv2Tracer_C5.N2",0.0479934640136001
"NoDeriv2Tracer_C6.N0",0.0500731807849989
"NoDeriv2Tracer_C6.N1",0.0500576990230944
"NoDeriv2Tracer_C6.N2",0.0516058752849771
