"","sample1"
"NoDeriv_C0",99
"NoDeriv_C1",98.01
"NoDeriv_C2",97.029900215622
"NoDeriv_C3",96.059565147452
"NoDeriv_C4",95.1025405596744
"NoDeriv_C5",93.9393939419476
"NoDeriv_C6",100.00000000282
"NoDeriv2Tracer_C0.N0",98.01010101
"NoDeriv2Tracer_C0.N1",97.0000000002
"NoDeriv2Tracer_C0.N2",98.999999999901
"NoDeriv2Tracer_C1.N0",97.0299999999
"NoDeriv2Tracer_C1.N1",96.030000000198
"NoDeriv2Tracer_C1.N2",98.009999999902
"NoDeriv2Tracer_C2.N0",96.059700215523
"NoDeriv2Tracer_C2.N1",95.0697002136618
"NoDeriv2Tracer_C2.N2",97.02990022084
"NoDeriv2Tracer_C3.N0",95.0990675063646
"NoDeriv2Tracer_C3.N1",94.118967871198
"NoDeriv2Tracer_C3.N2",96.0595651475791
"NoDeriv2Tracer_C4.N0",94.1516121896442
"NoDeriv2Tracer_C4.N1",93.1812771131172
"NoDeriv2Tracer_C4.N2",95.1025405585543
"NoDeriv2Tracer_C5.N0",93.000095848726
"NoDeriv2Tracer_C5.N1",92.0416284094191
"NoDeriv2Tracer_C5.N2",93.9393939408473
"NoDeriv2Tracer_C6.N0",99.0001020269469
"NoDeriv2Tracer_C6.N1",97.9797979777059
"NoDeriv2Tracer_C6.N2",100.000000004524
