"","sample1"
"NoDeriv_C0",0.145772294281151
"NoDeriv_C1",0.144314571338339
"NoDeriv_C2",0.142871425942448
"NoDeriv_C3",0.141442658577714
"NoDeriv_C4",0.140033490195454
"NoDeriv_C5",0.138320817962611
"NoDeriv_C6",0.147244741702284
"NoDeriv2Tracer_C0.N0",0.048594103528647
"NoDeriv2Tracer_C0.N1",0.048093288280639
"NoDeriv2Tracer_C0.N2",0.0490849024718421
"NoDeriv2Tracer_C1.N0",0.0481081624933605
"NoDeriv2Tracer_C1.N1",0.0476123553978326
"NoDeriv2Tracer_C1.N2",0.0485940534471236
"NoDeriv2Tracer_C2.N0",0.0476270809753338
"NoDeriv2Tracer_C2.N1",0.0471362319496921
"NoDeriv2Tracer_C2.N2",0.0481081130221946
"NoDeriv2Tracer_C3.N0",0.0471507924617949
"NoDeriv2Tracer_C3.N1",0.0466648521082102
"NoDeriv2Tracer_C3.N2",0.0476270140076888
"NoDeriv2Tracer_C4.N0",0.0466810373929293
"NoDeriv2Tracer_C4.N1",0.0461999383768043
"NoDeriv2Tracer_C4.N2",0.0471525144257143
"NoDeriv2Tracer_C5.N0",0.0461101074203156
"NoDeriv2Tracer_C5.N1",0.0456348924629331
"NoDeriv2Tracer_C5.N2",0.046575818079344
"NoDeriv2Tracer_C6.N0",0.0490849530575754
"NoDeriv2Tracer_C6.N1",0.0485790790702151
"NoDeriv2Tracer_C6.N2",0.0495807095698097
